# Date: 20210201
# Operator: RDP
# Notes: 15 inLb TFMC Omelette
# Tap_cm: 5.0
# Sample: PbSn_05
# Fit of Tap:
#	Ic = 44.4 +/- 1 A
#	n = 50 +/- 2.2 
#	Vc = 5 uV
#	Vfloor = 3.16 +/- 4.7e+132 uV
#	R = 4.62 +/- 2.6e+125 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.800000,0.230000,0.000000,0.038772,37.144650,-4.506652
1.200000,0.270000,0.250000,0.052073,37.230040,-4.510347
0.900000,0.370000,0.500000,0.061701,38.852450,-4.745011
0.900000,0.650000,0.750000,0.075670,38.340110,-4.665558
1.100000,0.890000,1.000000,0.090010,37.827770,-4.575018
1.200000,1.210000,1.250000,0.104778,37.315430,-4.514043
1.300000,1.450000,1.500000,0.121543,37.059260,-4.517738
1.000000,1.550000,1.750000,0.137380,36.888480,-4.514043
1.100000,1.890000,2.000000,0.153216,36.888480,-4.499261
1.100000,2.070000,2.250000,0.169017,36.803090,-4.502956
0.800000,2.390000,2.500000,0.184794,37.144650,-4.519586
1.100000,2.610000,2.750000,0.204183,36.888480,-4.512195
0.900000,2.790000,3.000000,0.217004,37.144650,-4.560237
1.100000,3.070000,3.250000,0.232828,37.400820,-4.587953
1.000000,3.330000,3.500000,0.250031,37.400820,-4.567627
1.100000,3.570000,3.750000,0.265310,37.571600,-4.641537
1.000000,3.790000,4.000000,0.281105,38.169330,-4.676644
0.900000,4.030000,4.250000,0.296877,38.596280,-4.717295
0.900000,4.310000,4.500000,0.313631,38.340110,-4.711752
1.100000,4.470000,4.750000,0.329388,38.596280,-4.737620
1.000000,4.770000,5.000000,0.345147,38.937840,-4.741316
1.100000,4.970000,5.250000,0.360892,38.852450,-4.741316
1.000000,5.190000,5.500000,0.377625,38.937840,-4.746859
1.000000,5.390000,5.750000,0.394855,39.023230,-4.748707
0.900000,5.690000,6.000000,0.409697,38.767060,-4.733925
0.800000,5.930000,6.250000,0.425469,38.510890,-4.706208
1.000000,6.170000,6.500000,0.441224,38.425500,-4.656319
0.800000,6.390000,6.750000,0.456983,37.998550,-4.608278
1.000000,6.610000,7.000000,0.472741,37.656990,-4.576866
0.900000,6.930000,7.250000,0.489507,37.742380,-4.573171
0.900000,7.150000,7.500000,0.505355,37.400820,-4.536216
1.200000,7.330000,7.750000,0.521129,37.486210,-4.512195
1.100000,7.710000,8.000000,0.546154,38.681670,-4.724686
0.900000,7.690000,8.250000,0.553281,36.973870,-4.510347
0.900000,8.110000,8.500000,0.569062,36.888480,-4.506652
0.900000,8.330000,8.750000,0.585271,36.973870,-4.508500
0.600000,8.530000,9.000000,0.601083,37.059260,-4.530673
1.000000,8.770000,9.250000,0.616843,37.315430,-4.556541
1.100000,9.010000,9.500000,0.633575,37.315430,-4.556541
1.100000,9.270000,9.750000,0.649494,37.571600,-4.584257
1.100000,9.510000,10.000000,0.665319,37.656990,-4.619364
0.900000,9.730000,10.250000,0.681082,38.425500,-4.665558
0.900000,10.010000,10.500000,0.696864,38.425500,-4.711752
1.000000,10.270000,10.750000,0.713637,38.425500,-4.704361
1.200000,10.470000,11.000000,0.729409,38.767060,-4.726534
1.100000,10.790000,11.250000,0.745171,38.767060,-4.739468
1.100000,11.170000,11.500000,0.763186,38.340110,-4.711752
0.900000,11.170000,11.750000,0.777359,38.852450,-4.741316
1.000000,11.230000,12.000000,0.794088,38.681670,-4.741316
1.100000,11.710000,12.250000,0.810623,38.681670,-4.741316
0.800000,11.890000,12.500000,0.827098,38.510890,-4.726534
1.000000,12.210000,12.750000,0.852951,37.059260,-4.490022
0.900000,12.270000,13.000000,0.862234,38.852450,-4.732077
0.900000,12.490000,13.250000,0.874732,38.254720,-4.639690
1.000000,12.850000,13.500000,0.891792,38.340110,-4.672949
1.000000,13.050000,13.750000,0.905429,37.400820,-4.556541
1.100000,13.310000,14.000000,0.920955,37.315430,-4.525129
1.200000,13.550000,14.250000,0.937514,37.144650,-4.528825
0.900000,13.790000,14.500000,0.953050,37.059260,-4.523282
1.000000,14.050000,14.750000,0.969210,37.059260,-4.523282
0.800000,14.270000,15.000000,0.984781,36.973870,-4.525129
0.900000,14.550000,15.250000,1.001346,36.973870,-4.526977
1.000000,14.750000,15.500000,1.016869,37.144650,-4.560237
0.800000,15.030000,15.750000,1.033410,37.059260,-4.563932
1.100000,15.270000,16.000000,1.048995,37.400820,-4.610126
1.100000,15.470000,16.250000,1.064518,37.913160,-4.660015
0.800000,15.770000,16.500000,1.081038,37.742380,-4.656319
1.200000,15.970000,16.750000,1.096577,38.340110,-4.715447
1.100000,16.250000,17.000000,1.113093,38.425500,-4.713599
1.100000,16.410000,17.250000,1.128615,38.852450,-4.733925
0.900000,16.650000,17.500000,1.146088,38.596280,-4.722838
1.200000,16.850000,17.750000,1.160724,38.937840,-4.750554
