# Date: 20210201
# Operator: RDP
# Notes: 15inLb Post test Peanut Butter
# Tap_cm: 5.0
# Sample: DCC_PbSn_11
# Fit of Tap:
#	Ic = 173 +/- 0.13 A
#	n = 31.5 +/- 1 
#	Vc = 5 uV
#	Vfloor = 1.17 +/- 0.015 uV
#	R = 0.00238 +/- 0.00017 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.000000,0.230000,0.000000,0.024527,10.844530,-4.780118
0.900000,0.310000,0.250000,0.041050,10.759140,-4.774575
0.900000,0.530000,0.500000,0.056086,10.844530,-4.765336
0.900000,0.750000,0.750000,0.071635,11.015310,-4.745011
0.900000,0.970000,1.000000,0.088321,10.929920,-4.746859
1.100000,1.230000,1.250000,0.103902,10.844530,-4.717295
1.200000,1.450000,1.500000,0.120464,11.015310,-4.706208
0.900000,1.730000,1.750000,0.135996,10.929920,-4.669254
0.900000,1.910000,2.000000,0.152515,10.759140,-4.663710
0.700000,2.150000,2.250000,0.168023,10.929920,-4.623060
1.000000,2.350000,2.500000,0.184540,10.929920,-4.621212
0.800000,2.670000,2.750000,0.203843,10.929920,-4.708056
1.000000,2.830000,3.000000,0.216423,10.673750,-4.597191
1.000000,3.090000,3.250000,0.231967,10.417580,-4.604582
1.000000,3.350000,3.500000,0.248546,10.332190,-4.615669
1.100000,3.630000,3.750000,0.264090,10.246800,-4.610126
1.100000,3.810000,4.000000,0.279607,10.076020,-4.635994
1.000000,4.090000,4.250000,0.296115,10.161410,-4.634146
0.800000,4.310000,4.500000,0.311673,9.990630,-4.661863
1.100000,4.530000,4.750000,0.328230,10.161410,-4.665558
1.000000,4.770000,5.000000,0.344607,10.161410,-4.678492
1.000000,5.010000,5.250000,0.360671,10.332190,-4.693274
1.000000,5.190000,5.500000,0.376221,10.502970,-4.728381
1.000000,5.470000,5.750000,0.393105,10.161410,-4.724686
1.000000,5.710000,6.000000,0.407701,10.673750,-4.759793
1.000000,5.990000,6.250000,0.424273,10.759140,-4.763489
0.900000,6.210000,6.500000,0.439836,11.015310,-4.763489
1.100000,6.450000,6.750000,0.456353,10.844530,-4.767184
1.100000,6.610000,7.000000,0.471855,10.844530,-4.754250
1.200000,6.950000,7.250000,0.488373,10.929920,-4.750554
1.000000,7.150000,7.500000,0.503887,10.759140,-4.720990
0.900000,7.390000,7.750000,0.520390,10.844530,-4.719143
1.000000,7.570000,8.000000,0.535930,10.929920,-4.678492
1.000000,7.850000,8.250000,0.552496,10.844530,-4.676644
1.100000,8.150000,8.500000,0.568010,10.759140,-4.641537
1.300000,8.350000,8.750000,0.583895,10.502970,-4.619364
1.100000,8.570000,9.000000,0.600580,10.588360,-4.619364
1.100000,8.790000,9.250000,0.616125,10.673750,-4.615669
0.900000,9.050000,9.500000,0.640426,10.844530,-4.787509
0.800000,9.250000,9.750000,0.648462,10.332190,-4.615669
1.100000,9.490000,10.000000,0.664018,10.076020,-4.626755
0.900000,9.710000,10.250000,0.680577,10.332190,-4.623060
1.300000,9.970000,10.500000,0.696093,10.161410,-4.645233
1.100000,10.250000,10.750000,0.713256,10.076020,-4.639690
0.900000,10.490000,11.000000,0.729683,9.990630,-4.641537
0.900000,10.750000,11.250000,0.746084,9.990630,-4.652624
0.800000,10.950000,11.500000,0.761500,10.246800,-4.678492
1.000000,11.270000,11.750000,0.780227,10.246800,-4.634146
1.000000,11.390000,12.000000,0.793714,10.246800,-4.706208
0.900000,11.690000,12.250000,0.809675,10.759140,-4.722838
1.000000,11.850000,12.500000,0.824748,10.502970,-4.752402
1.100000,12.150000,12.750000,0.840555,10.673750,-4.770880
1.000000,12.410000,13.000000,0.856153,11.100700,-4.756098
1.000000,12.650000,13.250000,0.871705,10.929920,-4.754250
1.000000,12.890000,13.500000,0.888249,11.015310,-4.752402
1.100000,13.090000,13.750000,0.903782,11.100700,-4.732077
1.100000,13.290000,14.000000,0.920303,11.100700,-4.720990
1.100000,13.630000,14.250000,0.940736,10.759140,-4.761641
1.100000,13.770000,14.500000,0.951797,10.759140,-4.652624
0.800000,13.950000,14.750000,0.967903,10.929920,-4.630451
1.100000,14.290000,15.000000,0.984471,11.356870,-4.654472
1.400000,14.530000,15.250000,1.000037,10.844530,-4.608278
1.200000,14.730000,15.500000,1.016594,10.502970,-4.604582
1.100000,14.990000,15.750000,1.032126,10.246800,-4.597191
1.200000,15.230000,16.000000,1.047645,10.332190,-4.613821
1.300000,15.430000,16.250000,1.064419,9.990630,-4.626755
0.900000,15.750000,16.500000,1.080044,10.417580,-4.624908
1.000000,15.970000,16.750000,1.096734,10.332190,-4.615669
1.200000,16.190000,17.000000,1.112334,9.990630,-4.634146
1.200000,16.450000,17.250000,1.127854,10.161410,-4.665558
1.100000,16.690000,17.500000,1.144404,10.332190,-4.674797
1.100000,16.870000,17.750000,1.160641,10.332190,-4.632299
