# Date: 20210201
# Operator: RDP
# Notes: 15inLb Post test Peanut Butter
# Tap_cm: 5.0
# Sample: DCC_PbSn_11
# Fit of Tap:
#	Ic = 171 +/- 0.14 A
#	n = 49.9 +/- 2.2 
#	Vc = 5 uV
#	Vfloor = 1.12 +/- 0.013 uV
#	R = 0.00294 +/- 0.00015 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.100000,0.010000,0.000000,0.030003,10.417580,-4.650776
1.000000,0.310000,0.250000,0.043139,10.673750,-4.743163
1.000000,0.550000,0.500000,0.058723,11.015310,-4.756098
1.000000,0.770000,0.750000,0.075245,11.186090,-4.754250
1.000000,1.090000,1.000000,0.089681,11.015310,-4.724686
0.900000,1.270000,1.250000,0.105272,11.186090,-4.700665
1.300000,1.470000,1.500000,0.120850,11.186090,-4.658167
0.900000,1.710000,1.750000,0.142509,10.759140,-4.750554
1.000000,1.870000,2.000000,0.153600,11.015310,-4.626755
0.900000,2.090000,2.250000,0.169192,10.759140,-4.593496
0.900000,2.330000,2.500000,0.184740,10.673750,-4.571323
1.100000,2.650000,2.750000,0.204050,10.929920,-4.652624
1.000000,2.830000,3.000000,0.216749,10.417580,-4.591648
1.000000,3.110000,3.250000,0.233382,10.502970,-4.591648
1.100000,3.330000,3.500000,0.248943,10.502970,-4.617517
0.900000,3.610000,3.750000,0.265491,10.502970,-4.611973
1.100000,3.850000,4.000000,0.281050,10.246800,-4.637842
1.100000,4.030000,4.250000,0.296603,10.417580,-4.669254
0.800000,4.350000,4.500000,0.313143,10.332190,-4.663710
1.100000,4.530000,4.750000,0.328698,10.502970,-4.695122
0.800000,4.770000,5.000000,0.345237,10.502970,-4.700665
1.000000,5.010000,5.250000,0.360778,10.246800,-4.724686
1.000000,5.210000,5.500000,0.377363,10.588360,-4.728381
1.000000,5.470000,5.750000,0.394282,10.588360,-4.717295
1.000000,5.730000,6.000000,0.408932,10.844530,-4.748707
0.900000,5.950000,6.250000,0.425486,10.929920,-4.743163
1.000000,6.170000,6.500000,0.441453,10.929920,-4.748707
1.200000,6.470000,6.750000,0.457601,11.613040,-4.735772
1.100000,6.590000,7.000000,0.473257,11.186090,-4.724686
1.100000,6.930000,7.250000,0.488872,11.100700,-4.702513
0.900000,7.190000,7.500000,0.505496,11.015310,-4.706208
0.900000,7.410000,7.750000,0.521049,10.929920,-4.672949
0.800000,7.670000,8.000000,0.536626,11.100700,-4.639690
1.000000,7.810000,8.250000,0.553193,10.929920,-4.630451
1.000000,8.090000,8.500000,0.568764,10.844530,-4.610126
1.000000,8.330000,8.750000,0.584968,10.673750,-4.595344
0.800000,8.590000,9.000000,0.600842,10.588360,-4.586105
1.000000,8.790000,9.250000,0.617533,10.759140,-4.595344
1.200000,8.990000,9.500000,0.633102,10.588360,-4.600887
1.000000,9.310000,9.750000,0.648643,10.417580,-4.623060
1.000000,9.570000,10.000000,0.665189,10.246800,-4.611973
0.900000,9.770000,10.250000,0.680745,10.246800,-4.639690
