# Date: 20210201
# Operator: RDP
# Notes: 15inLb Post test Peanut Butter
# Tap_cm: 5.0
# Sample: DCC_PbSn_2
# Fit of Tap:
#	Ic = 171 +/- 0.09 A
#	n = 47 +/- 1.5 
#	Vc = 5 uV
#	Vfloor = 1.04 +/- 0.013 uV
#	R = 0.00293 +/- 0.00015 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.900000,0.190000,0.000000,0.029504,38.083940,-4.571323
0.700000,0.270000,0.250000,0.040659,37.913160,-4.663710
0.900000,0.510000,0.500000,0.056206,37.913160,-4.700665
0.800000,0.790000,0.750000,0.071736,38.169330,-4.728381
0.700000,1.010000,1.000000,0.088270,38.340110,-4.733925
0.800000,1.250000,1.250000,0.103990,38.340110,-4.737620
0.800000,1.490000,1.500000,0.120627,38.169330,-4.746859
1.000000,1.670000,1.750000,0.136166,38.767060,-4.746859
0.900000,1.910000,2.000000,0.151714,38.767060,-4.737620
0.700000,2.110000,2.250000,0.168239,38.681670,-4.735772
0.900000,2.430000,2.500000,0.183753,38.681670,-4.693274
0.700000,2.670000,2.750000,0.202895,38.681670,-4.746859
1.100000,2.850000,3.000000,0.216479,38.425500,-4.678492
1.000000,3.050000,3.250000,0.232025,38.510890,-4.634146
1.000000,3.330000,3.500000,0.248530,38.425500,-4.634146
0.900000,3.630000,3.750000,0.264044,38.254720,-4.593496
0.600000,3.830000,4.000000,0.280388,38.169330,-4.587953
1.200000,4.030000,4.250000,0.296429,38.083940,-4.584257
0.800000,4.290000,4.500000,0.312020,37.998550,-4.576866
0.800000,4.530000,4.750000,0.328563,37.913160,-4.573171
1.000000,4.770000,5.000000,0.344073,37.656990,-4.589800
1.000000,5.030000,5.250000,0.360756,37.742380,-4.597191
1.000000,5.270000,5.500000,0.376337,37.571600,-4.619364
0.800000,5.430000,5.750000,0.392075,37.656990,-4.641537
0.900000,5.730000,6.000000,0.407678,37.742380,-4.671101
1.000000,5.890000,6.250000,0.424296,37.913160,-4.671101
0.700000,6.170000,6.500000,0.439853,37.913160,-4.706208
0.900000,6.430000,6.750000,0.456391,37.998550,-4.708056
1.000000,6.650000,7.000000,0.471948,38.254720,-4.730229
1.000000,6.910000,7.250000,0.488464,38.169330,-4.733925
0.900000,7.190000,7.500000,0.503976,38.254720,-4.743163
1.100000,7.410000,7.750000,0.520510,38.254720,-4.750554
0.600000,7.630000,8.000000,0.536029,38.681670,-4.748707
0.900000,7.890000,8.250000,0.552537,38.767060,-4.752402
1.000000,8.150000,8.500000,0.575950,37.827770,-4.630451
0.800000,8.350000,8.750000,0.588225,38.169330,-4.748707
0.700000,8.550000,9.000000,0.599815,38.767060,-4.702513
1.000000,8.810000,9.250000,0.616478,38.510890,-4.700665
0.900000,8.990000,9.500000,0.632064,38.340110,-4.656319
0.900000,9.310000,9.750000,0.647601,38.340110,-4.615669
1.100000,9.550000,10.000000,0.664126,38.083940,-4.617517
0.900000,9.770000,10.250000,0.679686,38.169330,-4.595344
0.900000,9.970000,10.500000,0.696211,38.254720,-4.597191
0.900000,10.210000,10.750000,0.713367,37.998550,-4.586105
1.100000,10.450000,11.000000,0.729865,38.083940,-4.576866
1.100000,10.710000,11.250000,0.746261,37.998550,-4.569475
1.000000,10.990000,11.500000,0.761753,37.400820,-4.575018
0.800000,11.170000,11.750000,0.780318,37.742380,-4.587953
1.000000,11.470000,12.000000,0.793825,37.486210,-4.597191
1.000000,11.710000,12.250000,0.809696,38.169330,-4.606430
0.900000,11.970000,12.500000,0.824260,37.656990,-4.663710
0.800000,12.150000,12.750000,0.839776,37.998550,-4.700665
0.800000,12.410000,13.000000,0.856533,37.827770,-4.696970
0.900000,12.690000,13.250000,0.876050,37.571600,-4.624908
0.700000,12.830000,13.500000,0.888095,38.169330,-4.750554
0.900000,13.110000,13.750000,0.903664,38.340110,-4.750554
1.000000,13.290000,14.000000,0.920235,38.254720,-4.761641
0.800000,13.590000,14.250000,0.935803,38.596280,-4.745011
0.800000,13.770000,14.500000,0.952561,38.340110,-4.745011
0.600000,14.090000,14.750000,0.971652,38.254720,-4.735772
0.900000,14.270000,15.000000,0.984275,38.767060,-4.724686
0.900000,14.510000,15.250000,0.999810,38.340110,-4.689579
1.200000,14.750000,15.500000,1.016344,38.596280,-4.685883
0.900000,15.010000,15.750000,1.031887,38.425500,-4.645233
1.100000,15.330000,16.000000,1.048422,38.340110,-4.645233
0.900000,15.510000,16.250000,1.063955,38.169330,-4.602735
0.900000,15.750000,16.500000,1.080558,38.254720,-4.595344
1.000000,15.970000,16.750000,1.096107,37.998550,-4.584257
0.800000,16.270000,17.000000,1.111724,37.913160,-4.578714
1.000000,16.470000,17.250000,1.128329,37.913160,-4.584257
1.100000,16.670000,17.500000,1.143872,37.656990,-4.613821
1.100000,16.890000,17.750000,1.160459,37.656990,-4.619364
1.000000,17.210000,18.000000,1.182083,38.254720,-4.652624
0.800000,17.370000,18.250000,1.191741,37.656990,-4.643385
0.800000,17.650000,18.500000,1.208259,37.571600,-4.656319
1.000000,17.890000,18.750000,1.223777,37.656990,-4.698817
1.000000,18.090000,19.000000,1.240322,37.913160,-4.700665
1.100000,18.390000,19.250000,1.255845,37.913160,-4.735772
1.000000,18.610000,19.500000,1.272360,38.083940,-4.737620
0.800000,18.850000,19.750000,1.287867,38.254720,-4.746859
1.000000,19.070000,20.000000,1.304467,38.254720,-4.743163
0.900000,19.330000,20.250000,1.320354,38.340110,-4.757945
1.100000,19.550000,20.500000,1.335942,38.425500,-4.752402
1.100000,19.770000,20.750000,1.352520,38.510890,-4.750554
1.000000,20.010000,21.000000,1.371718,37.913160,-4.735772
0.900000,20.150000,21.250000,1.384356,38.510890,-4.726534
1.200000,20.450000,21.500000,1.399907,38.340110,-4.693274
1.000000,20.730000,21.750000,1.416439,38.681670,-4.691426
1.000000,20.990000,22.000000,1.432023,38.425500,-4.650776
0.900000,21.210000,22.250000,1.448559,38.425500,-4.647081
1.000000,21.390000,22.500000,1.464089,38.340110,-4.602735
0.900000,21.570000,22.750000,1.480180,38.169330,-4.600887
1.000000,21.910000,23.000000,1.496218,37.998550,-4.589800
1.000000,22.190000,23.250000,1.511756,37.742380,-4.580562
1.200000,22.370000,23.500000,1.529984,37.827770,-4.597191
1.200000,22.610000,23.750000,1.545473,37.742380,-4.591648
0.800000,22.850000,24.000000,1.561891,37.827770,-4.589800
1.100000,23.110000,24.250000,1.580901,37.913160,-4.615669
1.000000,23.330000,24.500000,1.593395,37.486210,-4.615669
1.100000,23.550000,24.750000,1.610423,37.400820,-4.615669
1.100000,23.730000,25.000000,1.624693,37.571600,-4.656319
1.000000,23.990000,25.250000,1.640247,37.742380,-4.695122
1.200000,24.230000,25.500000,1.655828,37.998550,-4.730229
1.100000,24.470000,25.750000,1.672353,37.998550,-4.724686
1.000000,24.690000,26.000000,1.687877,38.340110,-4.733925
1.000000,24.890000,26.250000,1.704426,38.083940,-4.745011
1.000000,25.250000,26.500000,1.719993,38.425500,-4.750554
0.900000,25.390000,26.750000,1.736535,38.425500,-4.752402
1.000000,25.670000,27.000000,1.752058,38.767060,-4.759793
1.000000,25.950000,27.250000,1.782254,38.425500,-4.669254
0.900000,26.010000,27.500000,1.788839,37.827770,-4.741316
1.000000,26.310000,27.750000,1.800404,38.767060,-4.722838
1.100000,26.570000,28.000000,1.815934,38.425500,-4.674797
1.000000,26.850000,28.250000,1.832452,38.425500,-4.663710
1.000000,27.130000,28.500000,1.847965,38.425500,-4.624908
1.100000,27.330000,28.750000,1.864603,38.425500,-4.610126
1.200000,27.510000,29.000000,1.880179,38.169330,-4.584257
1.200000,27.770000,29.250000,1.895706,37.998550,-4.580562
1.100000,27.950000,29.500000,1.912238,37.913160,-4.580562
0.800000,28.210000,29.750000,1.927761,37.827770,-4.589800
1.400000,28.510000,30.000000,1.944298,37.656990,-4.586105
1.100000,28.730000,30.250000,1.959819,37.827770,-4.606430
1.200000,28.970000,30.500000,1.976146,37.656990,-4.621212
0.900000,29.210000,30.750000,1.991705,37.571600,-4.647081
1.100000,29.450000,31.000000,2.008228,37.742380,-4.648928
1.100000,29.690000,31.250000,2.023740,37.827770,-4.689579
1.000000,29.910000,31.500000,2.040321,37.827770,-4.689579
1.100000,30.190000,31.750000,2.055869,38.083940,-4.717295
1.200000,30.430000,32.000000,2.075992,37.913160,-4.632299
1.200000,30.630000,32.250000,2.088021,38.254720,-4.750554
1.100000,30.910000,32.500000,2.104667,38.169330,-4.750554
1.100000,31.150000,32.750000,2.120614,38.340110,-4.761641
1.100000,31.330000,33.000000,2.136186,38.681670,-4.765336
1.300000,31.550000,33.250000,2.151729,38.852450,-4.754250
1.200000,31.790000,33.500000,2.172171,37.998550,-4.737620
1.300000,32.030000,33.750000,2.183754,38.767060,-4.719143
1.300000,32.230000,34.000000,2.200269,38.596280,-4.719143
1.500000,32.510000,34.250000,2.215797,38.681670,-4.676644
1.300000,32.750000,34.500000,2.232314,38.510890,-4.665558
0.900000,32.990000,34.750000,2.247821,38.510890,-4.626755
1.000000,33.290000,35.000000,2.264367,38.340110,-4.628603
1.000000,33.530000,35.250000,2.279885,38.254720,-4.602735
1.300000,33.670000,35.500000,2.296387,38.254720,-4.591648
1.200000,33.950000,35.750000,2.311941,37.998550,-4.567627
1.000000,34.150000,36.000000,2.329704,37.913160,-4.571323
1.000000,34.430000,36.250000,2.346145,38.083940,-4.575018
1.100000,34.670000,36.500000,2.361955,37.998550,-4.576866
1.300000,34.930000,36.750000,2.395941,37.998550,-4.571323
1.200000,35.050000,37.000000,2.412752,37.913160,-4.565780
1.100000,35.370000,37.250000,2.427629,38.425500,-4.565780
1.200000,35.590000,37.500000,2.442207,37.827770,-4.617517
1.100000,35.850000,37.750000,2.458774,37.571600,-4.610126
0.900000,36.050000,38.000000,2.474333,37.656990,-4.643385
1.300000,36.310000,38.250000,2.490856,37.656990,-4.648928
1.300000,36.570000,38.500000,2.506370,38.083940,-4.693274
1.300000,36.790000,38.750000,2.522888,37.827770,-4.704361
1.400000,37.030000,39.000000,2.538412,38.169330,-4.728381
1.100000,37.270000,39.250000,2.554958,38.169330,-4.741316
