# Date: 20210201
# Operator: RDP
# Notes: 15 inLb TFMC Peanut Butter
# Tap_cm: 5.0
# Sample: DCC_PbSn_4
# Fit of Tap:
#	Ic = 171 +/- 0.13 A
#	n = 52 +/- 2.2 
#	Vc = 5 uV
#	Vfloor = 0.957 +/- 0.013 uV
#	R = 0.0035 +/- 0.00015 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.600000,0.290000,0.000000,0.048920,37.656990,-4.737620
0.800000,0.330000,0.250000,0.066886,37.998550,-4.728381
0.900000,0.530000,0.500000,0.080839,38.340110,-4.719143
0.800000,0.750000,0.750000,0.096929,38.425500,-4.709904
0.900000,0.990000,1.000000,0.112874,38.083940,-4.687731
0.700000,1.230000,1.250000,0.129234,37.656990,-4.691426
0.900000,1.570000,1.500000,0.144412,38.169330,-4.632299
0.600000,1.910000,1.750000,0.160609,37.998550,-4.624908
0.600000,1.990000,2.000000,0.176846,37.913160,-4.604582
0.800000,2.130000,2.250000,0.192988,37.913160,-4.597191
0.900000,2.530000,2.500000,0.208489,37.827770,-4.586105
0.800000,2.770000,2.750000,0.224683,37.742380,-4.573171
0.900000,2.890000,3.000000,0.240942,37.656990,-4.575018
0.900000,3.090000,3.250000,0.257087,37.486210,-4.569475
0.700000,3.290000,3.500000,0.272153,37.400820,-4.600887
1.000000,3.630000,3.750000,0.288931,37.400820,-4.600887
1.000000,3.810000,4.000000,0.304710,37.315430,-4.621212
0.800000,4.070000,4.250000,0.320479,37.230040,-4.648928
0.900000,4.290000,4.500000,0.336240,37.400820,-4.671101
0.800000,4.530000,4.750000,0.351995,37.571600,-4.704361
0.800000,4.750000,5.000000,0.368744,37.571600,-4.706208
0.900000,5.050000,5.250000,0.391383,37.742380,-4.571323
0.800000,5.190000,5.500000,0.403984,37.486210,-4.650776
0.700000,5.410000,5.750000,0.417036,37.998550,-4.743163
0.900000,5.730000,6.000000,0.432169,38.083940,-4.748707
1.000000,6.050000,6.250000,0.448348,38.169330,-4.748707
0.800000,6.350000,6.500000,0.464592,38.254720,-4.737620
0.800000,6.450000,6.750000,0.480896,38.340110,-4.752402
0.700000,6.590000,7.000000,0.497040,38.340110,-4.739468
0.900000,6.930000,7.250000,0.512168,38.083940,-4.685883
0.700000,7.130000,7.500000,0.528269,38.083940,-4.667406
0.900000,7.390000,7.750000,0.544052,38.083940,-4.628603
0.700000,7.610000,8.000000,0.560810,38.083940,-4.634146
0.600000,7.830000,8.250000,0.576552,38.083940,-4.602735
0.700000,8.130000,8.500000,0.592639,37.998550,-4.584257
0.800000,8.350000,8.750000,0.608460,37.742380,-4.571323
0.700000,8.570000,9.000000,0.624259,37.486210,-4.565780
0.900000,8.870000,9.250000,0.640030,37.486210,-4.589800
0.800000,9.050000,9.500000,0.656784,37.230040,-4.582409
1.000000,9.290000,9.750000,0.672519,37.400820,-4.600887
0.900000,9.570000,10.000000,0.690564,37.571600,-4.573171
