# Date: 20210201
# Operator: RDP
# Notes: 15 inLb TFMC Peanut Butter
# Tap_cm: 5.0
# Sample: DCC_PbSn_4
# Fit of Tap:
#	Ic = 170 +/- 0.098 A
#	n = 57.6 +/- 2.2 
#	Vc = 5 uV
#	Vfloor = 0.925 +/- 0.013 uV
#	R = 0.00306 +/- 0.00014 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.000000,0.170000,0.000000,0.034174,38.340110,-4.643385
0.800000,0.230000,0.250000,0.041140,37.656990,-4.685883
0.900000,0.530000,0.500000,0.056717,37.742380,-4.708056
0.800000,0.730000,0.750000,0.073332,38.254720,-4.711752
0.700000,0.970000,1.000000,0.089166,38.340110,-4.715447
0.800000,1.230000,1.250000,0.104719,38.340110,-4.726534
0.700000,1.490000,1.500000,0.121286,38.254720,-4.722838
1.000000,1.650000,1.750000,0.136813,38.596280,-4.708056
0.700000,1.910000,2.000000,0.153330,38.510890,-4.713599
0.800000,2.130000,2.250000,0.168854,38.510890,-4.684035
0.900000,2.370000,2.500000,0.185363,38.510890,-4.682188
0.600000,2.610000,2.750000,0.204546,38.340110,-4.732077
0.600000,2.810000,3.000000,0.217123,38.425500,-4.637842
0.600000,3.150000,3.250000,0.232703,38.083940,-4.599039
0.700000,3.310000,3.500000,0.249277,37.998550,-4.578714
0.700000,3.550000,3.750000,0.264803,38.083940,-4.573171
0.900000,3.830000,4.000000,0.281415,38.340110,-4.575018
0.700000,4.090000,4.250000,0.297921,37.998550,-4.562084
0.700000,4.290000,4.500000,0.313057,37.656990,-4.556541
0.900000,4.530000,4.750000,0.328635,37.571600,-4.576866
1.000000,4.790000,5.000000,0.345192,37.571600,-4.578714
0.800000,4.990000,5.250000,0.360746,37.742380,-4.600887
0.900000,5.270000,5.500000,0.377270,37.571600,-4.597191
0.800000,5.450000,5.750000,0.394065,37.656990,-4.582409
0.700000,5.750000,6.000000,0.408676,37.656990,-4.641537
0.900000,5.870000,6.250000,0.425260,37.742380,-4.652624
0.700000,6.190000,6.500000,0.440808,38.169330,-4.687731
0.700000,6.410000,6.750000,0.457324,37.998550,-4.682188
0.700000,6.650000,7.000000,0.472904,38.083940,-4.717295
0.800000,6.870000,7.250000,0.489566,38.083940,-4.700665
0.800000,7.170000,7.500000,0.505188,38.169330,-4.711752
0.900000,7.390000,7.750000,0.520748,38.510890,-4.713599
0.900000,7.650000,8.000000,0.537289,38.681670,-4.713599
0.700000,7.830000,8.250000,0.552845,38.681670,-4.687731
1.000000,8.090000,8.500000,0.569375,38.596280,-4.685883
1.000000,8.370000,8.750000,0.584893,38.596280,-4.648928
0.600000,8.630000,9.000000,0.606543,37.913160,-4.708056
0.900000,8.710000,9.250000,0.617186,38.254720,-4.610126
0.900000,9.030000,9.500000,0.632699,38.169330,-4.580562
0.800000,9.290000,9.750000,0.649213,38.254720,-4.567627
0.600000,9.550000,10.000000,0.664721,37.998550,-4.550998
0.800000,9.710000,10.250000,0.681269,38.083940,-4.549150
0.900000,9.970000,10.500000,0.696801,37.827770,-4.541759
0.700000,10.230000,10.750000,0.713323,37.998550,-4.547302
0.900000,10.450000,11.000000,0.730628,37.913160,-4.554693
0.800000,10.710000,11.250000,0.747135,37.742380,-4.554693
0.900000,10.950000,11.500000,0.762663,37.571600,-4.562084
0.900000,11.190000,11.750000,0.779137,37.571600,-4.563932
1.000000,11.450000,12.000000,0.798843,38.083940,-4.563932
0.600000,11.690000,12.250000,0.810320,37.656990,-4.621212
0.700000,11.870000,12.500000,0.826267,38.425500,-4.632299
1.000000,12.170000,12.750000,0.840822,38.083940,-4.691426
0.900000,12.370000,13.000000,0.857357,38.169330,-4.698817
0.400000,12.630000,13.250000,0.872901,38.340110,-4.706208
0.800000,12.870000,13.500000,0.896402,37.827770,-4.541759
0.700000,13.010000,13.750000,0.905445,38.425500,-4.709904
0.900000,13.350000,14.000000,0.921000,38.681670,-4.720990
0.800000,13.570000,14.250000,0.936518,38.681670,-4.700665
0.900000,13.790000,14.500000,0.953040,38.510890,-4.695122
0.800000,14.030000,14.750000,0.969012,38.169330,-4.656319
1.000000,14.270000,15.000000,0.984788,38.510890,-4.626755
