# Date: 20210201
# Operator: RDP
# Notes: 15 inLb TFMC Peanut Butter
# Tap_cm: 5.0
# Sample: PbSn_4
# Fit of Tap:
#	Ic = 179 +/- 0.11 A
#	n = 33.7 +/- 1 
#	Vc = 5 uV
#	Vfloor = 1.08 +/- 0.015 uV
#	R = 0.0026 +/- 0.00016 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.800000,0.210000,0.000000,0.036207,38.681670,-4.680340
0.800000,0.270000,0.250000,0.044996,37.059260,-4.510347
0.900000,0.510000,0.500000,0.057024,38.083940,-4.647081
0.800000,0.750000,0.750000,0.073568,38.083940,-4.647081
0.600000,0.970000,1.000000,0.089287,38.425500,-4.665558
0.900000,1.270000,1.250000,0.104899,38.510890,-4.674797
0.900000,1.470000,1.500000,0.121560,38.083940,-4.680340
1.000000,1.670000,1.750000,0.137285,38.510890,-4.685883
1.000000,1.930000,2.000000,0.152832,38.510890,-4.663710
0.800000,2.070000,2.250000,0.169568,38.596280,-4.672949
0.900000,2.430000,2.500000,0.185160,38.596280,-4.648928
1.000000,2.610000,2.750000,0.200704,38.169330,-4.587953
0.900000,2.850000,3.000000,0.217271,38.254720,-4.591648
0.900000,3.070000,3.250000,0.233540,38.083940,-4.563932
0.800000,3.370000,3.500000,0.249185,37.913160,-4.528825
0.900000,3.630000,3.750000,0.268664,38.767060,-4.628603
1.100000,3.790000,4.000000,0.281745,37.742380,-4.508500
1.200000,4.050000,4.250000,0.297375,37.400820,-4.484479
1.200000,4.270000,4.500000,0.312953,37.059260,-4.493718
0.800000,4.530000,4.750000,0.329471,37.059260,-4.491870
0.800000,4.770000,5.000000,0.345001,37.059260,-4.506652
0.900000,5.070000,5.250000,0.361513,37.059260,-4.508500
0.700000,5.250000,5.500000,0.377224,37.144650,-4.538064
0.800000,5.490000,5.750000,0.392817,37.315430,-4.576866
0.700000,5.730000,6.000000,0.409360,37.230040,-4.589800
0.900000,5.970000,6.250000,0.424945,37.571600,-4.611973
1.000000,6.130000,6.500000,0.441813,37.230040,-4.613821
0.900000,6.450000,6.750000,0.457372,37.913160,-4.645233
0.900000,6.650000,7.000000,0.472888,38.254720,-4.674797
0.700000,6.950000,7.250000,0.489398,38.083940,-4.674797
0.900000,7.170000,7.500000,0.504944,38.425500,-4.691426
0.900000,7.350000,7.750000,0.521463,38.340110,-4.682188
1.000000,7.570000,8.000000,0.536997,38.340110,-4.680340
1.000000,7.850000,8.250000,0.553512,38.510890,-4.672949
0.900000,8.110000,8.500000,0.569873,38.596280,-4.671101
0.700000,8.370000,8.750000,0.584980,38.254720,-4.621212
0.900000,8.550000,9.000000,0.601616,38.169330,-4.617517
0.900000,8.770000,9.250000,0.617289,37.998550,-4.587953
0.800000,9.010000,9.500000,0.632969,38.254720,-4.538064
0.800000,9.290000,9.750000,0.649805,37.998550,-4.549150
1.000000,9.530000,10.000000,0.665359,37.742380,-4.523282
0.800000,9.750000,10.250000,0.680890,37.571600,-4.499261
1.100000,9.990000,10.500000,0.697416,37.400820,-4.497413
1.100000,10.250000,10.750000,0.712929,36.973870,-4.510347
1.000000,10.510000,11.000000,0.730899,37.230040,-4.495565
1.100000,10.690000,11.250000,0.747345,37.144650,-4.490022
0.900000,10.930000,11.500000,0.762831,36.803090,-4.499261
0.800000,11.170000,11.750000,0.779269,36.888480,-4.502956
0.900000,11.470000,12.000000,0.794724,37.400820,-4.526977
0.900000,11.730000,12.250000,0.811114,37.230040,-4.536216
0.900000,11.890000,12.500000,0.826523,37.230040,-4.578714
1.100000,12.130000,12.750000,0.842970,37.486210,-4.582409
0.800000,12.410000,13.000000,0.861538,37.059260,-4.526977
0.700000,12.650000,13.250000,0.884458,38.083940,-4.600887
0.900000,12.770000,13.500000,0.893672,37.315430,-4.562084
1.200000,13.050000,13.750000,0.907140,37.998550,-4.658167
1.000000,13.310000,14.000000,0.922567,38.340110,-4.678492
1.100000,13.550000,14.250000,0.937730,38.510890,-4.687731
1.000000,13.810000,14.500000,0.953309,38.852450,-4.674797
1.100000,14.050000,14.750000,0.968833,38.681670,-4.647081
1.100000,14.270000,15.000000,0.985348,38.254720,-4.648928
1.200000,14.510000,15.250000,1.000855,38.425500,-4.604582
0.800000,14.810000,15.500000,1.017366,38.254720,-4.608278
0.900000,15.070000,15.750000,1.032882,38.083940,-4.554693
1.100000,15.210000,16.000000,1.049674,37.913160,-4.562084
0.900000,15.490000,16.250000,1.065786,37.913160,-4.549150
0.900000,15.730000,16.500000,1.081357,37.571600,-4.508500
0.900000,15.950000,16.750000,1.096893,37.315430,-4.493718
0.900000,16.270000,17.000000,1.113431,37.400820,-4.504804
1.000000,16.430000,17.250000,1.129151,37.144650,-4.499261
1.000000,16.650000,17.500000,1.144725,37.059260,-4.517738
0.900000,16.930000,17.750000,1.168255,38.425500,-4.632299
0.900000,17.070000,18.000000,1.177365,37.230040,-4.543607
1.000000,17.410000,18.250000,1.192933,37.230040,-4.576866
0.900000,17.670000,18.500000,1.209484,37.059260,-4.582409
1.200000,17.870000,18.750000,1.225015,37.400820,-4.613821
1.100000,18.090000,19.000000,1.241528,37.400820,-4.624908
1.000000,18.370000,19.250000,1.257040,37.913160,-4.660015
1.300000,18.630000,19.500000,1.273270,37.913160,-4.674797
1.000000,18.830000,19.750000,1.288831,38.083940,-4.704361
0.900000,19.070000,20.000000,1.305352,38.340110,-4.693274
1.100000,19.290000,20.250000,1.320868,38.596280,-4.696970
1.300000,19.550000,20.500000,1.337383,38.596280,-4.700665
1.000000,19.770000,20.750000,1.352893,38.510890,-4.691426
1.100000,19.990000,21.000000,1.369402,38.425500,-4.696970
1.100000,20.210000,21.250000,1.385062,38.425500,-4.660015
1.200000,20.450000,21.500000,1.401679,38.510890,-4.665558
1.300000,20.710000,21.750000,1.417262,38.254720,-4.617517
1.100000,20.930000,22.000000,1.432796,37.998550,-4.575018
0.900000,21.230000,22.250000,1.449341,38.169330,-4.556541
0.900000,21.430000,22.500000,1.474398,37.400820,-4.660015
0.900000,21.450000,22.750000,1.480989,37.315430,-4.525129
1.100000,21.870000,23.000000,1.497509,37.400820,-4.519586
1.300000,22.110000,23.250000,1.513026,37.144650,-4.508500
1.100000,22.350000,23.500000,1.529542,37.230040,-4.521434
1.100000,22.650000,23.750000,1.545048,36.973870,-4.530673
1.300000,22.870000,24.000000,1.561564,37.059260,-4.538064
1.000000,23.090000,24.250000,1.577066,37.315430,-4.562084
0.900000,23.330000,24.500000,1.593573,37.315430,-4.575018
1.100000,23.490000,24.750000,1.609102,37.315430,-4.597191
0.900000,23.790000,25.000000,1.626023,37.486210,-4.587953
0.900000,23.930000,25.250000,1.643014,37.486210,-4.591648
1.000000,24.210000,25.500000,1.658479,37.827770,-4.624908
1.100000,24.490000,25.750000,1.677835,37.059260,-4.545455
1.100000,24.730000,26.000000,1.691360,37.998550,-4.645233
1.000000,24.930000,26.250000,1.706917,38.169330,-4.671101
1.000000,25.210000,26.500000,1.723426,38.254720,-4.682188
1.100000,25.370000,26.750000,1.738817,38.510890,-4.706208
1.200000,25.630000,27.000000,1.753380,38.596280,-4.698817
1.000000,25.890000,27.250000,1.769804,38.596280,-4.691426
1.100000,26.110000,27.500000,1.784903,38.254720,-4.630451
1.100000,26.370000,27.750000,1.801452,38.340110,-4.630451
1.100000,26.610000,28.000000,1.817000,38.083940,-4.589800
1.000000,26.830000,28.250000,1.833517,38.083940,-4.580562
1.000000,27.090000,28.500000,1.849020,37.913160,-4.543607
1.300000,27.290000,28.750000,1.865325,37.742380,-4.530673
0.900000,27.530000,29.000000,1.881027,37.486210,-4.515891
1.100000,27.790000,29.250000,1.897626,37.144650,-4.502956
1.300000,27.990000,29.500000,1.913157,36.973870,-4.495565
1.100000,28.190000,29.750000,1.928671,37.059260,-4.506652
1.100000,28.550000,30.000000,1.945190,36.888480,-4.515891
1.300000,28.670000,30.250000,1.960694,36.973870,-4.547302
1.100000,28.950000,30.500000,1.977235,37.144650,-4.552846
1.000000,29.190000,30.750000,1.992745,37.230040,-4.591648
0.900000,29.430000,31.000000,2.009255,37.230040,-4.591648
1.100000,29.690000,31.250000,2.024797,37.315430,-4.639690
1.100000,29.950000,31.500000,2.041367,37.571600,-4.645233
1.000000,30.110000,31.750000,2.056887,37.913160,-4.674797
1.100000,30.350000,32.000000,2.079051,36.888480,-4.517738
1.200000,30.550000,32.250000,2.088687,38.254720,-4.708056
1.100000,30.890000,32.500000,2.105196,38.254720,-4.702513
1.200000,31.050000,32.750000,2.120746,38.425500,-4.687731
1.000000,31.310000,33.000000,2.137425,38.852450,-4.691426
1.500000,31.530000,33.250000,2.153020,38.510890,-4.678492
1.200000,31.710000,33.500000,2.169556,38.596280,-4.669254
1.100000,32.050000,33.750000,2.185084,38.510890,-4.635994
1.200000,32.270000,34.000000,2.201634,38.340110,-4.647081
1.100000,32.530000,34.250000,2.217221,38.169330,-4.587953
1.100000,32.710000,34.500000,2.232734,38.083940,-4.541759
1.100000,33.010000,34.750000,2.249267,38.169330,-4.536216
1.100000,33.230000,35.000000,2.265775,37.742380,-4.534368
1.200000,33.450000,35.250000,2.281339,37.656990,-4.493718
1.300000,33.690000,35.500000,2.296898,37.144650,-4.475240
1.400000,33.950000,35.750000,2.313407,36.546920,-4.480783
1.100000,34.210000,36.000000,2.328914,36.888480,-4.491870
1.300000,34.470000,36.250000,2.345425,36.973870,-4.499261
1.300000,34.690000,36.500000,2.368927,38.425500,-4.660015
1.200000,34.870000,36.750000,2.377002,37.144650,-4.547302
1.100000,35.050000,37.000000,2.393666,36.973870,-4.539911
1.200000,35.330000,37.250000,2.409215,37.486210,-4.575018
1.400000,35.530000,37.500000,2.424780,37.827770,-4.617517
1.200000,35.830000,37.750000,2.441297,37.400820,-4.626755
1.100000,36.050000,38.000000,2.458417,37.571600,-4.626755
1.300000,36.290000,38.250000,2.483169,37.827770,-4.569475
1.100000,36.430000,38.500000,2.491745,37.486210,-4.645233
1.200000,36.770000,38.750000,2.507203,38.169330,-4.672949
1.400000,37.030000,39.000000,2.522702,38.340110,-4.713599
1.300000,37.330000,39.250000,2.539319,38.083940,-4.709904
1.500000,37.510000,39.500000,2.555058,38.681670,-4.711752
1.100000,37.750000,39.750000,2.570684,38.596280,-4.717295
1.100000,37.990000,40.000000,2.587137,38.340110,-4.702513
1.300000,38.150000,40.250000,2.602570,38.596280,-4.671101
1.300000,38.390000,40.500000,2.619015,38.681670,-4.676644
1.100000,38.610000,40.750000,2.634716,38.169330,-4.635994
1.100000,38.950000,41.000000,2.651204,38.083940,-4.626755
1.300000,39.130000,41.250000,2.687686,38.596280,-4.696970
1.300000,39.410000,41.500000,2.704328,38.681670,-4.702513
1.200000,39.650000,41.750000,2.719766,38.425500,-4.685883
1.500000,39.950000,42.000000,2.736180,38.340110,-4.672949
1.200000,40.150000,42.250000,2.751593,38.169330,-4.634146
1.100000,40.290000,42.500000,2.766412,38.083940,-4.578714
1.300000,40.530000,42.750000,2.781935,37.486210,-4.550998
1.300000,40.830000,43.000000,2.798453,37.400820,-4.547302
1.300000,41.090000,43.250000,2.814017,37.315430,-4.517738
1.200000,41.350000,43.500000,2.830551,37.486210,-4.523282
1.100000,41.590000,43.750000,2.846065,37.315430,-4.515891
1.300000,41.830000,44.000000,2.864863,37.742380,-4.526977
1.100000,42.010000,44.250000,2.878527,37.230040,-4.523282
1.300000,42.290000,44.500000,2.894148,36.973870,-4.536216
1.200000,42.430000,44.750000,2.909679,37.059260,-4.563932
