# Date: 20210201
# Operator: RDP
# Notes: 15 inLb TFMC Peanut Butter
# Tap_cm: 5.0
# Sample: PbSn_4
# Fit of Tap:
#	Ic = 178 +/- 0.14 A
#	n = 48 +/- 2 
#	Vc = 5 uV
#	Vfloor = 1.11 +/- 0.014 uV
#	R = 0.00244 +/- 0.00014 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.000000,0.250000,0.000000,0.040213,37.059260,-4.519586
0.900000,0.330000,0.250000,0.052171,37.656990,-4.632299
1.000000,0.430000,0.500000,0.061307,38.340110,-4.634146
1.000000,0.710000,0.750000,0.074426,37.742380,-4.530673
0.900000,0.910000,1.000000,0.088989,36.973870,-4.526977
0.800000,1.250000,1.250000,0.104530,37.144650,-4.549150
0.800000,1.470000,1.500000,0.121039,37.144650,-4.554693
1.200000,1.670000,1.750000,0.136597,37.144650,-4.584257
0.700000,1.870000,2.000000,0.153117,37.315430,-4.584257
0.700000,2.130000,2.250000,0.168640,37.400820,-4.624908
0.800000,2.410000,2.500000,0.185161,37.486210,-4.632299
0.800000,2.630000,2.750000,0.204320,37.059260,-4.554693
0.900000,2.870000,3.000000,0.216935,37.827770,-4.678492
0.600000,3.070000,3.250000,0.232601,38.254720,-4.715447
0.700000,3.310000,3.500000,0.249147,38.254720,-4.719143
0.800000,3.590000,3.750000,0.264700,38.510890,-4.720990
1.000000,3.850000,4.000000,0.281281,38.510890,-4.715447
0.800000,4.070000,4.250000,0.302845,37.230040,-4.593496
1.000000,4.250000,4.500000,0.312882,38.596280,-4.696970
0.800000,4.510000,4.750000,0.329423,38.681670,-4.687731
0.900000,4.790000,5.000000,0.344955,38.340110,-4.639690
0.900000,5.050000,5.250000,0.361481,38.340110,-4.635994
0.900000,5.230000,5.500000,0.376998,38.083940,-4.593496
0.800000,5.490000,5.750000,0.394076,38.169330,-4.611973
0.800000,5.710000,6.000000,0.409612,37.998550,-4.571323
0.900000,5.970000,6.250000,0.425203,37.486210,-4.532520
1.200000,6.170000,6.500000,0.440749,37.400820,-4.510347
1.300000,6.370000,6.750000,0.457313,37.144650,-4.499261
1.200000,6.650000,7.000000,0.472903,36.888480,-4.501109
1.000000,6.930000,7.250000,0.488521,37.144650,-4.523282
0.900000,7.150000,7.500000,0.505062,37.059260,-4.521434
1.100000,7.390000,7.750000,0.520604,37.059260,-4.549150
0.900000,7.630000,8.000000,0.537140,37.059260,-4.562084
0.900000,7.850000,8.250000,0.552667,37.656990,-4.591648
0.800000,8.110000,8.500000,0.569189,37.230040,-4.591648
1.100000,8.330000,8.750000,0.584722,37.913160,-4.624908
0.900000,8.630000,9.000000,0.607293,37.486210,-4.504804
0.900000,8.770000,9.250000,0.616956,37.827770,-4.665558
0.900000,9.010000,9.500000,0.633479,37.913160,-4.667406
0.900000,9.210000,9.750000,0.648997,38.425500,-4.698817
1.100000,9.510000,10.000000,0.664521,38.425500,-4.713599
1.100000,9.710000,10.250000,0.681034,38.340110,-4.706208
0.900000,9.970000,10.500000,0.696566,38.596280,-4.696970
0.900000,10.170000,10.750000,0.713078,38.681670,-4.693274
0.800000,10.490000,11.000000,0.728735,38.510890,-4.660015
1.200000,10.730000,11.250000,0.745331,38.510890,-4.656319
1.000000,11.010000,11.500000,0.760885,38.169330,-4.613821
0.900000,11.190000,11.750000,0.777453,38.169330,-4.613821
0.800000,11.510000,12.000000,0.804251,36.888480,-4.560237
1.200000,11.570000,12.250000,0.812784,38.596280,-4.684035
1.000000,11.930000,12.500000,0.827216,37.913160,-4.597191
0.900000,12.150000,12.750000,0.842726,37.998550,-4.554693
1.000000,12.330000,13.000000,0.859155,37.913160,-4.539911
1.200000,12.610000,13.250000,0.874593,37.230040,-4.517738
1.100000,12.850000,13.500000,0.889747,37.230040,-4.517738
1.200000,13.050000,13.750000,0.906125,37.230040,-4.512195
0.900000,13.350000,14.000000,0.921243,37.230040,-4.521434
0.900000,13.530000,14.250000,0.936804,37.144650,-4.550998
1.100000,13.810000,14.500000,0.953360,37.315430,-4.560237
1.000000,14.010000,14.750000,0.969265,37.400820,-4.584257
0.900000,14.310000,15.000000,0.984905,37.656990,-4.632299
1.000000,14.490000,15.250000,1.001011,37.656990,-4.643385
1.100000,14.770000,15.500000,1.016601,37.998550,-4.676644
0.900000,15.010000,15.750000,1.033151,38.083940,-4.682188
0.900000,15.230000,16.000000,1.048676,38.425500,-4.708056
1.000000,15.550000,16.250000,1.065192,38.510890,-4.717295
1.100000,15.770000,16.500000,1.080725,38.681670,-4.706208
1.000000,15.970000,16.750000,1.097510,38.937840,-4.711752
1.300000,16.210000,17.000000,1.113107,38.681670,-4.708056
1.200000,16.430000,17.250000,1.128633,38.510890,-4.674797
0.800000,16.610000,17.500000,1.145175,38.681670,-4.661863
1.000000,16.910000,17.750000,1.160719,38.425500,-4.606430
1.000000,17.190000,18.000000,1.177326,38.425500,-4.604582
0.900000,17.450000,18.250000,1.201478,37.656990,-4.626755
0.900000,17.650000,18.500000,1.215211,38.169330,-4.702513
1.600000,17.810000,18.750000,1.224965,37.742380,-4.528825
