# Date: 20210609
# Operator: RDP
# Notes: 
# Tap_cm: 1.0
# Sample: AW_PbSn_004
# Fit of Tap:
#	Ic = 173 +/- 0.026 A
#	n = 36.5 +/- 0.27 
#	Vc = 3 uV
#	Vfloor = 0.885 +/- 0.0061 uV
#	R = 0.0001 +/- 7e-06 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.900000,0.190000,0.000000,-21.000000,0.038394,11.790000,0.260250
0.900000,0.190000,0.040000,-20.800000,0.061066,11.770000,0.262032
1.100000,0.130000,0.080000,-20.200000,0.069156,11.790000,0.256684
0.900000,0.270000,0.120000,-21.200000,0.076710,11.810000,0.260250
0.800000,0.210000,0.160000,-20.600000,0.084247,11.690000,0.258467
1.000000,0.250000,0.200000,-21.000000,0.091756,11.770000,0.262032
0.900000,0.330000,0.240000,-21.000000,0.099235,11.730000,0.256684
0.900000,0.330000,0.280000,-20.600000,0.106792,12.090000,0.258467
0.900000,0.370000,0.320000,-16.200000,0.116735,11.670000,0.258467
1.200000,0.430000,0.360000,-16.000000,0.126746,11.790000,0.258467
1.200000,0.430000,0.400000,-15.800000,0.136728,11.710000,0.256684
1.000000,0.510000,0.440000,-16.000000,0.146668,11.790000,0.258467
0.800000,0.590000,0.480000,-16.000000,0.156642,11.770000,0.256684
0.900000,0.570000,0.520000,-16.400000,0.166602,11.750000,0.256684
1.200000,0.650000,0.560000,-16.200000,0.176570,11.810000,0.260250
1.000000,0.630000,0.600000,-16.000000,0.186429,11.770000,0.256684
0.900000,0.710000,0.640000,-16.200000,0.196350,11.730000,0.253119
0.800000,0.850000,0.680000,-16.200000,0.209374,11.790000,0.281640
1.000000,0.870000,0.720000,-20.800000,0.221537,11.770000,0.263815
1.000000,0.850000,0.760000,-20.600000,0.229154,11.730000,0.262032
0.900000,0.850000,0.800000,-20.800000,0.236665,11.730000,0.258467
0.800000,0.890000,0.840000,-21.000000,0.244183,11.750000,0.256684
0.800000,0.970000,0.880000,-20.800000,0.251665,11.810000,0.258467
0.800000,1.070000,0.920000,-21.400000,0.259184,11.770000,0.262032
0.900000,1.050000,0.960000,-20.600000,0.266710,11.710000,0.258467
1.000000,1.090000,1.000000,-20.800000,0.281442,11.770000,0.258467
0.900000,1.150000,1.040000,-20.600000,0.291736,11.790000,0.258467
