# Date: 20210609
# Operator: RDP
# Notes: OCT02_01
# Tap_cm: 1.0
# Sample: AW_BARE_001
# Fit of Tap:
#	Ic = 34.6 A
#	n = 177 
#	Vc = 3 uV
#	Vfloor = 1.66 uV
#	R = 0.00772 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.700000,0.210000,0.000000,-16.600000,0.026022,10.410000,0.256684
1.500000,0.270000,0.040000,-16.800000,0.035812,10.390000,0.260250
1.800000,0.210000,0.080000,-16.600000,0.045278,10.430000,0.260250
1.700000,0.170000,0.120000,-16.400000,0.054678,10.390000,0.260250
1.500000,0.210000,0.160000,-16.600000,0.064072,10.470000,0.258467
1.700000,0.310000,0.200000,-17.000000,0.073535,10.410000,0.260250
1.600000,0.310000,0.240000,-16.800000,0.082268,10.790000,0.258467
1.800000,0.310000,0.280000,-21.400000,0.096625,10.470000,0.256684
1.600000,0.390000,0.320000,-21.200000,0.106872,10.010000,0.253119
1.700000,0.390000,0.360000,-21.200000,0.114823,10.430000,0.260250
1.700000,0.490000,0.400000,-21.600000,0.122300,10.410000,0.262032
1.700000,0.550000,0.440000,-21.200000,0.129773,10.410000,0.256684
1.800000,0.530000,0.480000,-25.400000,0.139699,10.490000,0.256684
1.600000,0.590000,0.520000,-21.400000,0.147168,10.410000,0.262032
1.600000,0.650000,0.560000,-21.400000,0.154725,10.130000,0.263815
1.800000,0.690000,0.600000,-21.400000,0.162186,10.370000,0.260250
1.900000,0.730000,0.640000,-21.400000,0.169690,10.450000,0.258467
1.800000,0.770000,0.680000,-21.000000,0.176979,10.410000,0.258467
1.600000,0.850000,0.720000,-21.600000,0.184281,10.450000,0.260250
1.700000,0.830000,0.760000,-21.400000,0.191550,10.410000,0.258467
1.600000,0.870000,0.800000,-21.600000,0.198832,10.450000,0.256684
1.700000,0.950000,0.840000,-21.600000,0.206092,10.490000,0.254902
1.500000,0.930000,0.880000,-21.400000,0.213339,10.430000,0.258467
1.700000,1.030000,0.920000,-21.600000,0.220598,10.370000,0.249554
1.700000,1.110000,0.960000,-21.600000,0.233171,10.410000,0.256684
1.800000,1.070000,1.000000,-21.000000,0.240522,10.470000,0.253119
1.800000,1.130000,1.040000,-21.000000,0.247778,10.430000,0.260250
1.600000,1.130000,1.080000,-21.400000,0.255037,10.410000,0.258467
1.600000,1.210000,1.120000,-21.400000,0.262322,10.430000,0.256684
1.600000,1.270000,1.160000,-21.400000,0.269619,10.430000,0.258467
1.700000,1.250000,1.200000,-21.200000,0.276888,10.450000,0.256684
1.500000,1.370000,1.240000,-21.600000,0.284134,10.430000,0.256684
1.700000,1.330000,1.280000,-21.600000,0.291387,10.470000,0.254902
1.700000,1.410000,1.320000,-21.400000,0.298640,10.430000,0.260250
1.400000,1.490000,1.360000,-21.400000,0.305889,10.410000,0.258467
1.600000,1.490000,1.400000,-21.600000,0.313185,10.450000,0.262032
1.400000,1.530000,1.440000,-21.600000,0.320482,10.390000,0.251337
1.600000,1.530000,1.480000,-21.200000,0.327748,10.470000,0.254902
1.700000,1.630000,1.520000,-21.600000,0.335002,10.450000,0.256684
1.800000,1.710000,1.560000,-21.200000,0.342248,10.450000,0.256684
1.600000,1.750000,1.600000,-21.400000,0.349492,10.470000,0.260250
1.500000,1.730000,1.640000,-21.400000,0.356733,10.450000,0.254902
1.800000,1.790000,1.680000,-21.000000,0.364008,10.450000,0.260250
1.700000,1.830000,1.720000,-21.400000,0.371326,10.670000,0.258467
1.600000,1.850000,1.760000,-21.400000,0.378664,10.430000,0.253119
1.800000,1.910000,1.800000,-21.400000,0.385939,10.430000,0.262032
1.600000,1.950000,1.840000,-21.400000,0.402685,10.450000,0.258467
1.900000,2.030000,1.880000,-21.200000,0.410516,10.370000,0.254902
2.000000,2.050000,1.920000,-21.600000,0.417833,10.470000,0.265597
1.600000,2.090000,1.960000,-21.200000,0.425101,10.430000,0.256684
1.500000,2.070000,2.000000,-21.000000,0.432356,10.490000,0.256684
1.500000,2.250000,2.040000,-21.400000,0.445027,10.470000,0.256684
1.600000,2.270000,2.080000,-21.600000,0.452345,10.430000,0.258467
1.800000,2.270000,2.120000,-21.600000,0.459639,10.470000,0.258467
1.800000,2.250000,2.160000,-21.600000,0.466888,10.450000,0.256684
1.600000,2.330000,2.200000,-21.400000,0.474136,10.390000,0.258467
1.800000,2.350000,2.240000,-21.400000,0.481390,10.430000,0.258467
1.500000,2.410000,2.280000,-21.600000,0.488657,10.350000,0.254902
1.600000,2.410000,2.320000,-21.400000,0.495917,10.410000,0.258467
1.700000,2.470000,2.360000,-21.400000,0.503165,10.390000,0.253119
1.600000,2.510000,2.400000,-21.200000,0.510434,10.410000,0.258467
1.400000,2.610000,2.440000,-21.400000,0.517702,10.490000,0.256684
1.800000,2.530000,2.480000,-21.400000,0.524956,10.410000,0.258467
1.700000,2.610000,2.520000,-21.600000,0.532217,10.430000,0.258467
1.700000,2.750000,2.560000,-21.600000,0.539478,10.390000,0.260250
1.800000,2.670000,2.600000,-21.400000,0.546718,10.450000,0.256684
1.600000,2.750000,2.640000,-21.400000,0.553964,10.350000,0.256684
1.400000,2.770000,2.680000,-21.800000,0.561291,10.430000,0.256684
1.500000,2.830000,2.720000,-21.400000,0.568549,10.430000,0.258467
1.700000,2.890000,2.760000,-21.200000,0.575798,10.430000,0.258467
1.900000,2.910000,2.800000,-21.400000,0.583047,10.430000,0.256684
1.800000,3.010000,2.840000,-21.200000,0.590343,10.410000,0.254902
1.700000,3.010000,2.880000,-21.000000,0.597613,10.390000,0.258467
1.500000,3.090000,2.920000,-21.600000,0.604876,10.370000,0.262032
1.800000,3.090000,2.960000,-21.400000,0.612147,10.410000,0.262032
2.000000,3.130000,3.000000,-21.400000,0.619400,10.430000,0.262032
1.900000,3.130000,3.040000,-21.000000,0.626707,10.410000,0.260250
1.600000,3.270000,3.080000,-21.400000,0.634030,10.410000,0.256684
1.700000,3.290000,3.120000,-21.600000,0.641314,10.390000,0.256684
1.600000,3.330000,3.160000,-21.200000,0.654057,10.450000,0.256684
1.700000,3.350000,3.200000,-21.400000,0.661434,10.430000,0.258467
1.800000,3.630000,3.240000,-25.800000,0.668929,10.310000,0.260250
1.700000,3.470000,3.280000,-21.200000,0.676304,10.410000,0.258467
1.700000,3.490000,3.320000,-21.600000,0.683612,10.430000,0.260250
1.600000,3.590000,3.360000,-21.000000,0.697926,10.430000,0.262032
1.500000,3.570000,3.400000,-21.000000,0.707604,10.410000,0.265597
1.700000,3.610000,3.440000,-21.600000,0.715431,10.450000,0.258467
1.500000,3.610000,3.480000,-21.400000,0.722768,10.410000,0.256684
1.900000,3.850000,3.520000,-21.200000,0.730062,10.330000,0.262032
1.700000,3.750000,3.560000,-21.600000,0.737384,10.390000,0.254902
