# Date: 20210609
# Operator: RDP
# Notes: OCT02_02
# Tap_cm: 1.0
# Sample: AW_BARE_001
# Fit of Tap:
#	Ic = 132 +/- 4.2e+03 A
#	n = 194 +/- 1.2e+05 
#	Vc = 3 uV
#	Vfloor = 2.03 +/- 0.0052 uV
#	R = 0.0001 +/- 6.4e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.000000,0.170000,0.000000,-21.400000,0.031066,10.450000,0.254902
1.800000,0.250000,0.040000,-21.400000,0.052032,10.430000,0.254902
1.900000,0.230000,0.080000,-21.400000,0.059664,10.410000,0.247772
1.900000,0.210000,0.120000,-21.600000,0.067205,10.410000,0.256684
1.900000,0.270000,0.160000,-21.400000,0.074715,10.410000,0.256684
1.800000,0.250000,0.200000,-21.400000,0.082234,10.470000,0.258467
2.000000,0.330000,0.240000,-21.600000,0.089757,10.450000,0.254902
1.900000,0.330000,0.280000,-21.200000,0.097291,10.410000,0.260250
2.000000,0.370000,0.320000,-21.400000,0.104801,10.430000,0.256684
1.900000,0.410000,0.360000,-21.400000,0.112293,10.410000,0.253119
2.200000,0.450000,0.400000,-21.000000,0.119793,10.430000,0.262032
1.900000,0.510000,0.440000,-21.400000,0.127302,10.510000,0.258467
1.900000,0.550000,0.480000,-21.600000,0.134825,10.410000,0.256684
1.900000,0.490000,0.520000,-21.000000,0.142323,10.430000,0.258467
1.900000,0.630000,0.560000,-21.600000,0.149817,10.470000,0.258467
2.100000,0.650000,0.600000,-21.400000,0.157330,10.470000,0.260250
1.900000,0.670000,0.640000,-21.400000,0.164854,10.450000,0.256684
2.000000,0.730000,0.680000,-21.400000,0.172395,10.430000,0.253119
1.800000,0.870000,0.720000,-21.200000,0.179892,10.410000,0.256684
2.000000,0.810000,0.760000,-21.000000,0.197163,10.390000,0.256684
2.100000,0.890000,0.800000,-21.400000,0.206994,10.350000,0.256684
1.900000,0.850000,0.840000,-21.400000,0.219059,10.430000,0.260250
2.100000,0.990000,0.880000,-25.600000,0.226702,10.370000,0.256684
1.900000,0.990000,0.920000,-21.600000,0.234311,10.350000,0.254902
1.900000,1.050000,0.960000,-21.400000,0.241837,10.430000,0.260250
1.900000,1.110000,1.000000,-21.400000,0.249389,10.410000,0.258467
1.900000,1.150000,1.040000,-21.400000,0.256950,10.410000,0.260250
1.900000,1.170000,1.080000,-21.400000,0.264528,10.450000,0.260250
1.900000,1.190000,1.120000,-21.200000,0.272038,10.410000,0.253119
2.300000,1.250000,1.160000,-21.200000,0.279565,10.430000,0.258467
2.000000,1.350000,1.200000,-16.200000,0.289467,10.390000,0.254902
2.000000,1.390000,1.240000,-16.400000,0.299520,10.430000,0.253119
2.100000,1.390000,1.280000,-16.200000,0.309591,10.410000,0.253119
1.900000,1.450000,1.320000,-16.800000,0.319603,10.390000,0.262032
1.900000,1.450000,1.360000,-16.800000,0.329599,10.370000,0.258467
1.900000,1.470000,1.400000,-16.000000,0.339634,10.410000,0.256684
2.100000,1.590000,1.440000,-16.600000,0.349625,10.410000,0.254902
1.900000,1.650000,1.480000,-16.200000,0.359618,10.430000,0.262032
1.900000,1.590000,1.520000,-16.800000,0.369612,10.410000,0.256684
1.900000,1.670000,1.560000,-16.400000,0.379624,10.410000,0.258467
1.800000,1.710000,1.600000,-21.600000,0.387871,10.410000,0.260250
2.000000,1.790000,1.640000,-21.200000,0.397048,10.410000,0.254902
1.900000,1.830000,1.680000,-21.600000,0.408637,10.390000,0.256684
2.000000,1.870000,1.720000,-21.400000,0.416253,10.390000,0.262032
1.900000,1.910000,1.760000,-21.400000,0.423785,10.390000,0.256684
2.000000,1.870000,1.800000,-21.400000,0.431295,10.470000,0.256684
1.900000,1.970000,1.840000,-21.000000,0.438841,10.430000,0.258467
1.900000,1.970000,1.880000,-21.200000,0.446356,10.450000,0.262032
2.000000,2.050000,1.920000,-21.200000,0.453859,10.370000,0.260250
1.900000,2.150000,1.960000,-21.400000,0.461370,10.390000,0.258467
1.900000,2.110000,2.000000,-21.200000,0.468859,10.450000,0.258467
