# Date: 20210609
# Operator: RDP
# Notes: OCT02_03
# Tap_cm: 1.0
# Sample: AW_BARE_002
# Fit of Tap:
#	Ic = 10.8 +/- 0.18 A
#	n = 3.72 +/- 0.25 
#	Vc = 3 uV
#	Vfloor = 3.89 +/- 0.051 uV
#	R = 0.0001 +/- 0.00079 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
4.000000,0.190000,0.000000,-21.600000,0.034156,10.230000,0.258467
4.000000,0.210000,0.040000,-21.800000,0.044140,10.190000,0.272727
3.900000,0.250000,0.080000,-21.600000,0.052045,10.190000,0.258467
4.200000,0.190000,0.120000,-21.400000,0.059444,10.250000,0.254902
3.900000,-0.210000,0.160000,-21.400000,0.066896,10.230000,0.254902
4.000000,0.290000,0.200000,-21.400000,0.074355,10.230000,0.258467
4.200000,0.270000,0.240000,-21.600000,0.081806,10.210000,0.258467
4.000000,0.370000,0.280000,-21.800000,0.089262,10.190000,0.256684
3.900000,0.410000,0.320000,-21.600000,0.098403,10.230000,0.258467
4.000000,0.430000,0.360000,-21.400000,0.105848,10.250000,0.254902
3.900000,0.050000,0.400000,-21.400000,0.113338,10.230000,0.254902
4.000000,0.530000,0.440000,-21.800000,0.120825,10.250000,0.253119
4.000000,0.950000,0.480000,-21.800000,0.128280,10.190000,0.260250
3.800000,0.590000,0.520000,-21.800000,0.135686,10.230000,0.249554
4.100000,0.610000,0.560000,-22.000000,0.143098,10.210000,0.258467
4.000000,0.670000,0.600000,-21.400000,0.150339,10.190000,0.258467
4.100000,0.730000,0.640000,-21.800000,0.157629,10.250000,0.258467
3.900000,0.750000,0.680000,-21.400000,0.164881,10.270000,0.256684
3.900000,0.830000,0.720000,-22.200000,0.172108,10.210000,0.256684
4.000000,0.830000,0.760000,-22.400000,0.179337,10.230000,0.262032
4.000000,0.870000,0.800000,-21.400000,0.186576,10.270000,0.254902
3.900000,0.890000,0.840000,-21.800000,0.193840,10.210000,0.256684
4.000000,0.930000,0.880000,-21.600000,0.201074,10.210000,0.258467
3.900000,0.990000,0.920000,-21.600000,0.210095,10.210000,0.260250
3.900000,1.090000,0.960000,-22.000000,0.221070,10.230000,0.258467
4.000000,1.090000,1.000000,-21.600000,0.228430,10.190000,0.258467
4.200000,1.090000,1.040000,-21.400000,0.235676,10.290000,0.256684
4.100000,1.150000,1.080000,-21.600000,0.242907,10.210000,0.254902
3.900000,1.230000,1.120000,-21.600000,0.250143,10.230000,0.260250
3.900000,1.230000,1.160000,-21.600000,0.257397,10.250000,0.254902
4.100000,1.290000,1.200000,-21.800000,0.264636,10.270000,0.260250
4.000000,1.310000,1.240000,-21.800000,0.271864,10.250000,0.256684
4.200000,1.410000,1.280000,-21.400000,0.279137,10.270000,0.256684
4.100000,1.410000,1.320000,-21.800000,0.286375,10.230000,0.256684
3.700000,1.470000,1.360000,-21.800000,0.293599,10.230000,0.256684
4.000000,1.470000,1.400000,-22.000000,0.300853,10.250000,0.253119
4.200000,1.570000,1.440000,-21.600000,0.308118,10.190000,0.256684
3.900000,1.570000,1.480000,-21.600000,0.325390,10.230000,0.260250
3.900000,1.650000,1.520000,-22.200000,0.333180,10.250000,0.260250
4.100000,1.670000,1.560000,-22.800000,0.340468,10.210000,0.256684
4.000000,1.750000,1.600000,-21.600000,0.347727,10.210000,0.256684
4.200000,1.750000,1.640000,-21.600000,0.354973,10.270000,0.254902
3.800000,1.810000,1.680000,-21.800000,0.362241,10.290000,0.260250
4.100000,1.870000,1.720000,-21.800000,0.369489,10.250000,0.256684
4.000000,1.810000,1.760000,-21.400000,0.376728,10.250000,0.258467
3.900000,1.890000,1.800000,-21.600000,0.384011,10.230000,0.254902
4.000000,2.030000,1.840000,-21.600000,0.391270,10.250000,0.258467
4.100000,1.990000,1.880000,-21.800000,0.398524,10.210000,0.249554
3.900000,2.070000,1.920000,-21.800000,0.405759,10.190000,0.256684
4.000000,2.070000,1.960000,-21.800000,0.418437,10.210000,0.263815
4.000000,2.050000,2.000000,-21.600000,0.425747,10.250000,0.254902
3.800000,2.150000,2.040000,-21.800000,0.433030,10.290000,0.260250
4.000000,2.170000,2.080000,-21.800000,0.440274,10.230000,0.256684
4.200000,2.250000,2.120000,-21.600000,0.447537,10.250000,0.251337
4.000000,2.290000,2.160000,-21.600000,0.454768,10.210000,0.260250
3.900000,2.250000,2.200000,-21.800000,0.462044,10.170000,0.294118
4.000000,2.370000,2.240000,-21.800000,0.469540,10.190000,0.258467
4.000000,2.350000,2.280000,-21.600000,0.476938,10.290000,0.262032
3.800000,2.390000,2.320000,-21.600000,0.484212,10.230000,0.258467
4.100000,2.470000,2.360000,-21.600000,0.491506,10.230000,0.260250
3.900000,2.550000,2.400000,-21.600000,0.498769,10.210000,0.253119
4.000000,2.590000,2.440000,-21.600000,0.506012,10.190000,0.256684
3.900000,2.530000,2.480000,-21.600000,0.513251,10.250000,0.258467
3.900000,2.630000,2.520000,-21.600000,0.520488,10.250000,0.258467
4.000000,2.690000,2.560000,-21.600000,0.527731,10.230000,0.256684
3.900000,2.730000,2.600000,-21.600000,0.534969,10.270000,0.256684
4.000000,2.790000,2.640000,-21.600000,0.542240,10.170000,0.260250
3.900000,2.830000,2.680000,-21.800000,0.549495,10.290000,0.256684
3.900000,2.810000,2.720000,-21.600000,0.556734,10.190000,0.260250
3.900000,2.870000,2.760000,-22.000000,0.564055,10.370000,0.251337
4.000000,2.970000,2.800000,-21.600000,0.571353,10.270000,0.256684
3.800000,2.970000,2.840000,-21.800000,0.578613,10.290000,0.258467
4.000000,3.090000,2.880000,-21.600000,0.585884,10.190000,0.260250
4.000000,3.030000,2.920000,-21.400000,0.593186,10.210000,0.256684
4.000000,3.090000,2.960000,-22.400000,0.600431,10.210000,0.258467
3.900000,3.130000,3.000000,-21.400000,0.607706,10.230000,0.260250
4.000000,3.190000,3.040000,-21.800000,0.629823,10.130000,0.258467
