# Date: 20210609
# Operator: RDP
# Notes: OCT02_04
# Tap_cm: 1.0
# Sample: AW_BARE_003
# Fit of Tap:
#	Ic = 132 A
#	n = 132 
#	Vc = 3 uV
#	Vfloor = 1.81 uV
#	R = 0.000332 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.700000,0.170000,0.000000,-21.800000,0.030267,10.090000,0.260250
1.600000,0.250000,0.020000,-22.000000,0.050435,10.050000,0.249554
1.600000,0.210000,0.040000,-22.000000,0.057785,10.130000,0.263815
1.800000,0.210000,0.060000,-21.600000,0.065036,10.150000,0.254902
2.000000,0.210000,0.080000,-22.000000,0.072274,10.090000,0.256684
1.700000,0.210000,0.100000,-22.200000,0.079517,10.070000,0.251337
2.100000,0.170000,0.120000,-22.000000,0.086754,10.110000,0.260250
1.900000,0.190000,0.140000,-22.000000,0.093997,10.070000,0.256684
1.700000,0.310000,0.160000,-22.200000,0.101240,10.070000,0.260250
1.800000,0.310000,0.180000,-21.600000,0.108486,10.130000,0.258467
1.800000,0.310000,0.200000,-21.800000,0.115746,10.070000,0.258467
1.600000,0.290000,0.220000,-21.800000,0.122993,10.110000,0.256684
1.700000,0.350000,0.240000,-21.800000,0.130285,10.090000,0.256684
1.800000,0.330000,0.260000,-22.000000,0.147491,10.070000,0.260250
1.700000,0.290000,0.280000,-21.800000,0.155284,10.110000,0.253119
1.800000,0.370000,0.300000,-21.600000,0.162614,10.070000,0.256684
1.800000,0.370000,0.320000,-21.800000,0.169875,10.150000,0.256684
1.900000,0.450000,0.340000,-21.800000,0.177116,10.090000,0.254902
1.700000,0.510000,0.360000,-22.200000,0.184358,10.070000,0.253119
1.800000,0.450000,0.380000,-22.000000,0.191597,10.090000,0.253119
1.900000,0.470000,0.400000,-22.000000,0.198846,10.050000,0.256684
1.800000,0.530000,0.420000,-22.200000,0.206071,10.050000,0.262032
1.600000,0.470000,0.440000,-21.800000,0.213349,10.070000,0.258467
1.600000,0.530000,0.460000,-21.400000,0.220598,10.110000,0.263815
1.600000,0.630000,0.480000,-21.800000,0.233800,10.030000,0.254902
1.500000,0.610000,0.500000,-22.200000,0.241137,10.130000,0.254902
1.800000,0.630000,0.520000,-22.000000,0.248384,10.050000,0.258467
