# Date: 20210609
# Operator: RDP
# Notes: OCT02_04
# Tap_cm: 1.0
# Sample: AW_BARE_003
# Fit of Tap:
#	Ic = 176 +/- 0.015 A
#	n = 47.6 +/- 0.35 
#	Vc = 3 uV
#	Vfloor = 1.76 +/- 0.0043 uV
#	R = 0.000134 +/- 4.5e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.000000,0.210000,0.000000,-22.200000,0.040270,10.010000,0.256684
1.700000,0.210000,0.028000,-22.400000,0.060772,9.910000,0.253119
2.000000,0.190000,0.056000,-22.400000,0.068147,9.990000,0.254902
1.900000,0.670000,0.084000,-27.200000,0.075471,10.010000,0.224599
1.700000,0.270000,0.112000,-22.200000,0.082871,9.950000,0.256684
1.700000,0.190000,0.140000,-22.000000,0.090169,9.990000,0.269162
1.700000,0.250000,0.168000,-21.800000,0.097452,9.970000,0.262032
1.900000,0.190000,0.196000,-22.400000,0.104697,9.990000,0.260250
1.800000,0.310000,0.224000,-22.200000,0.111999,9.930000,0.260250
1.800000,0.290000,0.252000,-21.800000,0.119244,9.930000,0.260250
1.800000,0.430000,0.280000,-22.200000,0.126487,9.910000,0.256684
1.800000,0.470000,0.308000,-22.200000,0.133750,9.990000,0.260250
2.000000,0.370000,0.336000,-22.200000,0.141004,9.950000,0.256684
1.700000,0.430000,0.364000,-22.000000,0.148254,9.970000,0.262032
1.800000,0.510000,0.392000,-22.400000,0.165343,9.990000,0.258467
1.800000,0.550000,0.420000,-22.400000,0.173148,9.950000,0.256684
1.600000,0.490000,0.448000,-21.800000,0.180510,9.970000,0.258467
1.600000,0.570000,0.476000,-22.200000,0.187791,10.010000,0.258467
2.000000,0.550000,0.504000,-22.200000,0.195072,9.970000,0.260250
1.600000,0.630000,0.532000,-22.200000,0.204361,9.970000,0.258467
1.900000,0.650000,0.560000,-22.000000,0.216227,9.970000,0.256684
1.700000,0.690000,0.588000,-22.200000,0.223583,9.990000,0.256684
1.800000,0.710000,0.616000,-21.600000,0.230851,9.970000,0.254902
1.700000,0.770000,0.644000,-22.200000,0.238094,9.970000,0.256684
1.700000,0.770000,0.672000,-22.400000,0.245322,9.950000,0.258467
1.800000,0.830000,0.700000,-22.000000,0.252585,9.990000,0.260250
1.800000,0.830000,0.728000,-22.400000,0.259833,9.950000,0.262032
1.600000,0.810000,0.756000,-22.000000,0.267093,9.950000,0.258467
2.000000,0.910000,0.784000,-21.800000,0.274381,9.990000,0.260250
1.700000,0.830000,0.812000,-22.400000,0.281633,9.970000,0.254902
1.700000,0.910000,0.840000,-22.000000,0.288871,9.970000,0.256684
2.000000,0.970000,0.868000,-22.200000,0.296114,9.970000,0.256684
2.000000,0.950000,0.896000,-22.000000,0.303354,10.030000,0.256684
1.900000,1.050000,0.924000,-22.200000,0.310590,9.950000,0.256684
1.800000,1.050000,0.952000,-22.200000,0.317828,10.010000,0.253119
1.900000,1.090000,0.980000,-22.400000,0.325122,9.950000,0.254902
1.900000,1.170000,1.008000,-22.200000,0.332377,10.010000,0.256684
1.900000,1.130000,1.036000,-22.000000,0.339659,10.030000,0.258467
1.900000,1.130000,1.064000,-22.000000,0.346907,10.050000,0.254902
1.800000,1.230000,1.092000,-22.400000,0.354141,9.990000,0.258467
1.900000,1.210000,1.120000,-22.400000,0.361396,10.050000,0.253119
1.800000,1.250000,1.148000,-22.000000,0.368649,10.030000,0.253119
1.600000,1.290000,1.176000,-22.400000,0.375928,10.030000,0.260250
1.700000,1.310000,1.204000,-22.000000,0.383178,9.970000,0.256684
1.900000,1.390000,1.232000,-22.200000,0.390441,9.990000,0.256684
1.900000,1.410000,1.260000,-22.200000,0.402877,9.990000,0.256684
1.700000,1.410000,1.288000,-22.600000,0.410217,10.030000,0.260250
1.700000,1.430000,1.316000,-22.000000,0.417470,9.950000,0.258467
1.900000,1.490000,1.344000,-22.200000,0.424712,9.990000,0.258467
1.700000,1.430000,1.372000,-22.200000,0.432006,9.930000,0.256684
1.900000,1.470000,1.400000,-22.200000,0.439253,9.890000,0.260250
1.800000,1.590000,1.428000,-22.200000,0.446484,9.990000,0.256684
1.900000,1.590000,1.456000,-22.000000,0.461033,9.990000,0.249554
2.000000,1.610000,1.484000,-22.200000,0.470717,9.970000,0.256684
1.900000,1.690000,1.512000,-22.200000,0.478521,9.970000,0.262032
1.900000,1.650000,1.540000,-22.200000,0.485856,10.010000,0.256684
1.900000,1.710000,1.568000,-22.800000,0.493101,9.930000,0.256684
1.800000,1.670000,1.596000,-22.000000,0.500375,10.010000,0.262032
1.900000,1.790000,1.624000,-22.200000,0.507638,10.030000,0.254902
1.900000,1.770000,1.652000,-22.200000,0.514886,9.990000,0.254902
1.800000,1.850000,1.680000,-22.200000,0.522183,9.950000,0.258467
1.500000,1.770000,1.708000,-22.200000,0.529453,9.970000,0.260250
1.500000,1.910000,1.736000,-22.200000,0.536694,10.050000,0.256684
2.000000,1.930000,1.764000,-22.200000,0.543938,9.910000,0.258467
1.800000,1.950000,1.792000,-21.800000,0.551228,10.010000,0.254902
1.800000,1.930000,1.820000,-22.400000,0.558476,9.970000,0.258467
1.800000,1.990000,1.848000,-22.800000,0.565709,9.930000,0.253119
1.900000,1.950000,1.876000,-22.600000,0.572991,9.970000,0.254902
1.800000,2.030000,1.904000,-22.200000,0.580244,10.010000,0.256684
1.700000,2.090000,1.932000,-22.400000,0.592880,9.950000,0.258467
1.700000,2.090000,1.960000,-22.200000,0.600192,9.970000,0.263815
