# Date: 20210609
# Operator: RDP
# Notes: OCT02_07
# Tap_cm: 1.0
# Sample: AW_PbSn_002
# Fit of Tap:
#	Ic = 133 +/- 0.16 A
#	n = 51.9 +/- 2.9 
#	Vc = 3 uV
#	Vfloor = 0.585 +/- 0.0084 uV
#	R = 0.0785 +/- 0.00012 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.500000,0.190000,0.000000,-23.000000,0.029403,9.710000,0.256684
0.100000,0.210000,0.028000,-25.400000,0.050174,9.770000,0.256684
0.600000,0.230000,0.056000,-25.600000,0.057831,9.710000,0.265597
0.500000,0.270000,0.084000,-22.800000,0.065406,9.710000,0.260250
0.400000,0.150000,0.112000,-23.000000,0.072897,9.710000,0.253119
0.500000,0.250000,0.140000,-22.200000,0.080386,9.630000,0.254902
0.600000,0.250000,0.168000,-22.400000,0.087865,9.710000,0.262032
0.500000,0.250000,0.196000,-23.000000,0.095362,9.650000,0.258467
0.600000,0.230000,0.224000,-22.400000,0.102849,9.750000,0.256684
0.300000,0.330000,0.252000,-23.000000,0.110345,9.670000,0.253119
0.400000,0.370000,0.280000,-23.000000,0.117829,9.710000,0.258467
0.400000,0.390000,0.308000,-22.800000,0.125304,9.770000,0.254902
0.400000,0.430000,0.336000,-23.000000,0.132763,9.690000,0.254902
0.400000,0.490000,0.364000,-23.000000,0.140243,9.730000,0.260250
0.500000,0.430000,0.392000,-22.800000,0.147729,9.710000,0.260250
0.500000,0.570000,0.420000,-23.200000,0.155219,9.710000,0.256684
0.500000,0.510000,0.448000,-23.200000,0.162699,9.750000,0.256684
0.600000,0.510000,0.476000,-22.800000,0.170187,9.770000,0.258467
0.400000,0.510000,0.504000,-23.000000,0.177676,9.690000,0.256684
0.500000,0.650000,0.532000,-22.600000,0.185146,9.690000,0.258467
0.400000,0.910000,0.560000,-22.800000,0.192647,9.790000,0.254902
0.500000,0.690000,0.588000,-22.600000,0.200206,9.690000,0.258467
0.500000,0.730000,0.616000,-22.800000,0.207715,9.770000,0.262032
0.600000,0.730000,0.644000,-22.600000,0.230950,9.690000,0.256684
0.300000,0.790000,0.672000,-22.800000,0.238601,9.730000,0.253119
0.500000,0.770000,0.700000,-23.200000,0.246111,9.690000,0.260250
0.500000,0.850000,0.728000,-22.600000,0.253616,9.770000,0.256684
0.600000,0.810000,0.756000,-22.800000,0.261097,9.710000,0.263815
0.400000,0.890000,0.784000,-22.800000,0.268579,9.730000,0.256684
0.400000,0.910000,0.812000,-23.000000,0.276051,9.710000,0.254902
0.500000,0.950000,0.840000,-23.000000,0.283518,9.710000,0.258467
0.500000,0.970000,0.868000,-23.400000,0.290997,9.710000,0.256684
0.400000,1.070000,0.896000,-23.000000,0.298487,9.730000,0.253119
0.400000,1.030000,0.924000,-22.800000,0.306012,9.850000,0.251337
0.500000,1.070000,0.952000,-22.400000,0.313576,9.730000,0.256684
0.600000,1.090000,0.980000,-23.000000,0.321096,9.730000,0.254902
0.400000,1.130000,1.008000,-23.200000,0.328589,9.670000,0.249554
0.300000,1.110000,1.036000,-22.800000,0.336080,9.730000,0.253119
0.500000,1.150000,1.064000,-23.000000,0.343550,9.690000,0.254902
0.300000,1.210000,1.092000,-24.000000,0.351038,9.730000,0.256684
0.300000,1.190000,1.120000,-23.000000,0.358530,9.710000,0.258467
0.200000,1.270000,1.148000,-22.800000,0.366006,9.690000,0.254902
0.300000,1.310000,1.176000,-23.200000,0.373469,9.730000,0.258467
0.600000,1.270000,1.204000,-22.800000,0.380956,9.750000,0.260250
0.400000,1.330000,1.232000,-22.800000,0.388464,9.730000,0.253119
0.600000,1.350000,1.260000,-23.200000,0.395936,9.750000,0.258467
0.600000,1.390000,1.288000,-23.000000,0.403438,9.750000,0.256684
0.400000,1.450000,1.316000,-23.200000,0.410945,9.710000,0.254902
0.100000,1.450000,1.344000,-22.400000,0.423686,9.750000,0.254902
0.400000,1.430000,1.372000,-22.600000,0.431234,9.750000,0.260250
0.500000,1.490000,1.400000,-23.000000,0.438712,9.710000,0.253119
0.400000,1.550000,1.428000,-23.000000,0.446181,9.750000,0.256684
0.300000,1.550000,1.456000,-23.000000,0.453658,9.670000,0.262032
0.400000,1.610000,1.484000,-23.200000,0.461145,9.750000,0.256684
