# Date: 20210609
# Operator: RDP
# Notes: OCT02_07
# Tap_cm: 1.0
# Sample: AW_PbSn_002
# Fit of Tap:
#	Ic = 172 +/- 0.025 A
#	n = 40.4 +/- 0.32 
#	Vc = 3 uV
#	Vfloor = -0.582 +/- 0.0063 uV
#	R = 0.00616 +/- 6.8e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
-0.500000,0.230000,0.000000,-18.200000,0.039917,9.690000,0.260250
-0.300000,0.170000,0.028000,-22.600000,0.051651,9.710000,0.258467
-0.400000,0.210000,0.056000,-23.200000,0.059477,9.750000,0.254902
-0.200000,0.270000,0.084000,-23.200000,0.066780,9.690000,0.260250
-0.200000,0.210000,0.112000,-22.800000,0.074043,9.710000,0.260250
-0.200000,0.230000,0.140000,-22.800000,0.081305,9.650000,0.254902
-0.400000,0.210000,0.168000,-23.200000,0.088602,9.750000,0.258467
-0.500000,0.330000,0.196000,-23.200000,0.095879,9.670000,0.254902
-0.200000,0.370000,0.224000,-23.000000,0.103189,9.710000,0.254902
-0.400000,0.370000,0.252000,-23.200000,0.110443,9.710000,0.258467
-0.400000,0.350000,0.280000,-22.400000,0.117732,9.730000,0.260250
-0.500000,0.310000,0.308000,-23.200000,0.125048,9.850000,0.254902
-0.400000,0.450000,0.336000,-23.000000,0.132452,9.670000,0.262032
-0.200000,0.450000,0.364000,-22.800000,0.139739,9.770000,0.258467
-0.300000,0.430000,0.392000,-23.200000,0.147038,9.710000,0.258467
-0.200000,0.490000,0.420000,-23.000000,0.154309,9.810000,0.256684
0.000000,0.510000,0.448000,-22.800000,0.161601,9.750000,0.258467
-0.400000,0.510000,0.476000,-22.800000,0.168882,9.750000,0.265597
-0.300000,0.570000,0.504000,-23.000000,0.176202,9.790000,0.256684
-0.300000,0.630000,0.532000,-23.200000,0.183488,9.650000,0.256684
-0.400000,0.650000,0.560000,-22.800000,0.190748,9.750000,0.256684
-0.300000,0.650000,0.588000,-23.000000,0.197995,9.670000,0.249554
-0.400000,0.690000,0.616000,-23.000000,0.205247,9.750000,0.260250
-0.300000,0.750000,0.644000,-23.000000,0.212511,9.710000,0.254902
-0.300000,0.790000,0.672000,-23.000000,0.219759,9.710000,0.256684
-0.500000,0.850000,0.700000,-22.800000,0.232833,9.690000,0.258467
-0.200000,0.810000,0.728000,-23.000000,0.240171,9.690000,0.256684
-0.200000,0.830000,0.756000,-22.600000,0.247428,9.690000,0.258467
-0.200000,0.910000,0.784000,-22.800000,0.262355,9.710000,0.254902
-0.400000,0.890000,0.812000,-23.000000,0.272474,9.770000,0.253119
-0.300000,0.870000,0.840000,-22.600000,0.280260,9.770000,0.253119
-0.200000,0.950000,0.868000,-23.200000,0.287535,9.750000,0.253119
-0.300000,0.970000,0.896000,-23.000000,0.294801,9.650000,0.258467
-0.500000,0.990000,0.924000,-23.000000,0.302077,9.770000,0.258467
-0.300000,1.050000,0.952000,-23.200000,0.309379,9.750000,0.254902
-0.100000,1.070000,0.980000,-23.000000,0.316642,9.670000,0.256684
-0.300000,1.070000,1.008000,-22.600000,0.323928,9.770000,0.254902
-0.400000,1.150000,1.036000,-23.000000,0.331171,9.710000,0.260250
-0.300000,1.190000,1.064000,-23.200000,0.338401,9.730000,0.254902
-0.400000,1.170000,1.092000,-23.800000,0.345659,9.670000,0.260250
-0.300000,1.290000,1.120000,-23.000000,0.352920,9.770000,0.253119
-0.500000,1.270000,1.148000,-23.200000,0.360169,9.710000,0.256684
-0.300000,1.270000,1.176000,-22.800000,0.367410,9.730000,0.256684
-0.200000,1.310000,1.204000,-23.000000,0.374758,9.990000,0.254902
-0.400000,1.350000,1.232000,-23.200000,0.382098,9.690000,0.258467
-0.400000,1.410000,1.260000,-23.000000,0.389379,9.750000,0.256684
-0.200000,1.510000,1.288000,-22.800000,0.396643,9.730000,0.256684
0.000000,1.430000,1.316000,-22.800000,0.403955,9.770000,0.256684
-0.500000,1.450000,1.344000,-23.200000,0.411216,9.730000,0.254902
-0.100000,1.510000,1.372000,-22.400000,0.418536,9.730000,0.256684
-0.200000,1.550000,1.400000,-23.800000,0.425806,9.710000,0.254902
-0.300000,1.510000,1.428000,-22.800000,0.434781,9.690000,0.260250
-0.200000,1.570000,1.456000,-23.000000,0.446038,9.710000,0.256684
-0.200000,1.630000,1.484000,-23.200000,0.453355,9.750000,0.260250
-0.100000,1.630000,1.512000,-23.000000,0.460611,9.730000,0.254902
0.000000,1.670000,1.540000,-22.800000,0.467884,9.750000,0.256684
-0.300000,1.690000,1.568000,-23.000000,0.475123,9.730000,0.260250
-0.300000,1.710000,1.596000,-23.200000,0.482420,9.690000,0.258467
-0.300000,1.730000,1.624000,-23.000000,0.489706,9.750000,0.258467
0.000000,1.750000,1.652000,-22.800000,0.496998,9.730000,0.254902
-0.200000,1.810000,1.680000,-22.800000,0.504243,9.750000,0.256684
0.000000,1.870000,1.708000,-23.000000,0.511497,9.710000,0.256684
-0.200000,1.790000,1.736000,-22.800000,0.518735,9.690000,0.258467
-0.200000,1.870000,1.764000,-22.800000,0.525977,9.710000,0.251337
-0.400000,1.890000,1.792000,-23.000000,0.533227,9.650000,0.256684
-0.200000,2.070000,1.820000,-22.800000,0.540484,9.730000,0.256684
-0.500000,1.950000,1.848000,-23.000000,0.547807,9.670000,0.251337
