# Date: 20210609
# Operator: RDP
# Notes: OCT02_08
# Tap_cm: 1.0
# Sample: AW_PbSn_003
# Fit of Tap:
#	Ic = 173 +/- 0.015 A
#	n = 42 +/- 0.25 
#	Vc = 3 uV
#	Vfloor = 1.75 +/- 0.0039 uV
#	R = 0.000776 +/- 4.2e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.800000,0.130000,0.000000,-17.800000,0.036438,9.590000,0.260250
1.700000,0.210000,0.028000,-18.200000,0.050304,9.630000,0.253119
1.900000,0.190000,0.056000,-18.600000,0.060522,9.630000,0.254902
1.900000,0.250000,0.084000,-23.400000,0.068444,9.670000,0.256684
1.700000,0.290000,0.112000,-23.200000,0.075729,9.610000,0.254902
1.600000,0.250000,0.140000,-23.400000,0.082980,9.650000,0.258467
1.700000,0.210000,0.168000,-23.200000,0.090227,9.670000,0.258467
1.600000,0.290000,0.196000,-23.200000,0.097492,9.650000,0.254902
1.600000,0.290000,0.224000,-23.200000,0.104743,9.610000,0.256684
1.900000,0.290000,0.252000,-23.200000,0.111996,9.650000,0.256684
1.600000,0.330000,0.280000,-22.800000,0.119288,9.670000,0.256684
1.900000,0.390000,0.308000,-23.400000,0.126547,9.630000,0.254902
1.900000,0.370000,0.336000,-22.800000,0.133803,9.650000,0.256684
1.800000,0.430000,0.364000,-23.200000,0.141059,9.610000,0.258467
1.800000,0.530000,0.392000,-23.600000,0.148316,9.650000,0.256684
1.700000,0.510000,0.420000,-23.200000,0.155552,9.590000,0.253119
1.700000,0.510000,0.448000,-23.000000,0.162821,9.670000,0.254902
1.900000,0.550000,0.476000,-22.800000,0.170118,9.630000,0.254902
1.900000,0.610000,0.504000,-23.200000,0.177371,9.630000,0.258467
1.700000,0.570000,0.532000,-23.200000,0.184615,9.670000,0.256684
1.700000,0.650000,0.560000,-23.200000,0.191864,9.670000,0.254902
1.800000,0.690000,0.588000,-23.600000,0.199114,9.630000,0.256684
1.700000,0.690000,0.616000,-23.000000,0.206351,9.650000,0.258467
1.800000,0.670000,0.644000,-23.400000,0.213591,9.570000,0.254902
1.700000,0.770000,0.672000,-23.200000,0.220864,9.590000,0.251337
1.600000,0.730000,0.700000,-23.000000,0.233985,9.630000,0.256684
1.600000,0.790000,0.728000,-23.400000,0.250963,9.650000,0.254902
1.900000,0.830000,0.756000,-23.200000,0.258762,9.570000,0.258467
1.600000,0.810000,0.784000,-23.200000,0.266109,9.670000,0.254902
1.700000,0.850000,0.812000,-23.000000,0.273397,9.670000,0.256684
1.800000,0.930000,0.840000,-23.000000,0.280636,9.670000,0.256684
1.700000,0.970000,0.868000,-23.200000,0.287885,9.710000,0.260250
1.900000,1.030000,0.896000,-23.600000,0.295136,9.670000,0.258467
1.700000,1.010000,0.924000,-23.000000,0.302441,9.670000,0.256684
1.900000,1.070000,0.952000,-24.000000,0.309714,9.650000,0.256684
1.600000,1.070000,0.980000,-23.000000,0.317000,9.650000,0.256684
1.800000,1.090000,1.008000,-23.000000,0.324280,9.650000,0.254902
1.700000,1.170000,1.036000,-23.400000,0.331563,9.670000,0.258467
1.700000,1.170000,1.064000,-23.200000,0.338823,9.670000,0.256684
1.600000,1.210000,1.092000,-23.600000,0.346123,9.650000,0.262032
1.800000,1.210000,1.120000,-23.200000,0.353393,9.610000,0.253119
1.800000,1.290000,1.148000,-23.400000,0.360627,9.650000,0.254902
1.900000,1.230000,1.176000,-23.400000,0.367897,9.590000,0.256684
1.600000,1.290000,1.204000,-23.000000,0.375162,9.710000,0.254902
1.700000,1.350000,1.232000,-23.400000,0.382464,9.590000,0.258467
1.800000,1.370000,1.260000,-23.000000,0.389718,9.650000,0.256684
1.800000,1.390000,1.288000,-23.400000,0.396992,9.630000,0.256684
1.700000,1.410000,1.316000,-23.200000,0.404234,9.650000,0.258467
1.800000,1.450000,1.344000,-23.600000,0.411508,9.610000,0.260250
1.900000,1.530000,1.372000,-23.200000,0.418774,9.670000,0.256684
1.600000,1.550000,1.400000,-23.000000,0.426083,9.630000,0.260250
1.900000,1.530000,1.428000,-23.800000,0.433341,9.630000,0.253119
1.700000,1.550000,1.456000,-23.200000,0.446219,9.630000,0.251337
1.600000,1.530000,1.484000,-23.200000,0.453537,9.630000,0.254902
1.800000,1.590000,1.512000,-23.600000,0.460826,9.610000,0.254902
1.600000,1.590000,1.540000,-23.200000,0.468088,9.670000,0.258467
1.700000,1.710000,1.568000,-22.800000,0.475338,9.690000,0.254902
1.600000,1.670000,1.596000,-23.200000,0.482576,9.590000,0.251337
1.700000,1.730000,1.624000,-23.200000,0.489872,9.650000,0.299465
1.600000,1.750000,1.652000,-23.200000,0.497251,9.610000,0.247772
1.700000,1.790000,1.680000,-22.800000,0.504537,9.630000,0.260250
1.800000,1.850000,1.708000,-23.200000,0.511792,9.630000,0.258467
1.700000,1.890000,1.736000,-23.000000,0.519050,9.610000,0.258467
1.800000,1.890000,1.764000,-23.200000,0.526301,9.670000,0.260250
1.800000,1.870000,1.792000,-23.400000,0.533572,9.630000,0.256684
1.500000,1.990000,1.820000,-23.000000,0.550635,9.630000,0.254902
1.600000,1.990000,1.848000,-23.200000,0.558473,9.670000,0.254902
1.800000,2.010000,1.876000,-23.400000,0.565756,9.590000,0.253119
1.800000,2.010000,1.904000,-23.600000,0.573000,9.630000,0.256684
1.900000,2.090000,1.932000,-23.200000,0.580254,9.650000,0.256684
1.700000,2.070000,1.960000,-23.200000,0.587518,9.610000,0.256684
1.600000,2.090000,1.988000,-23.200000,0.594755,9.610000,0.260250
1.700000,2.170000,2.016000,-23.000000,0.602039,9.670000,0.256684
1.700000,2.190000,2.044000,-23.200000,0.609333,9.630000,0.253119
1.600000,2.150000,2.072000,-23.400000,0.616588,9.690000,0.256684
1.700000,2.270000,2.100000,-23.200000,0.623841,9.650000,0.256684
1.800000,2.270000,2.128000,-23.000000,0.631106,9.630000,0.251337
1.700000,2.290000,2.156000,-23.000000,0.638425,9.630000,0.256684
1.700000,2.350000,2.184000,-23.400000,0.651212,9.670000,0.260250
1.600000,2.370000,2.212000,-23.000000,0.658555,9.630000,0.256684
1.600000,2.450000,2.240000,-23.400000,0.665805,9.630000,0.253119
1.700000,2.390000,2.268000,-23.000000,0.673097,9.650000,0.256684
1.600000,2.450000,2.296000,-23.400000,0.680353,9.650000,0.254902
1.600000,2.430000,2.324000,-23.200000,0.687646,9.590000,0.251337
1.600000,2.470000,2.352000,-23.200000,0.694921,9.650000,0.256684
1.700000,2.550000,2.380000,-23.200000,0.702184,9.590000,0.256684
1.600000,2.530000,2.408000,-23.200000,0.709457,9.690000,0.254902
1.900000,2.510000,2.436000,-23.800000,0.716707,9.730000,0.256684
1.700000,2.610000,2.464000,-23.200000,0.723990,9.630000,0.258467
1.700000,2.630000,2.492000,-23.600000,0.731239,9.670000,0.251337
1.800000,2.650000,2.520000,-23.400000,0.738529,9.610000,0.256684
1.800000,2.650000,2.548000,-23.400000,0.745836,9.670000,0.256684
1.700000,2.710000,2.576000,-23.400000,0.753275,9.590000,0.251337
1.700000,2.810000,2.604000,-23.600000,0.760548,9.690000,0.254902
1.800000,2.790000,2.632000,-23.000000,0.767823,9.670000,0.258467
1.900000,2.790000,2.660000,-23.200000,0.775096,9.650000,0.256684
1.800000,2.830000,2.688000,-23.800000,0.782390,9.630000,0.258467
1.800000,2.830000,2.716000,-23.800000,0.789644,9.590000,0.260250
1.700000,2.850000,2.744000,-23.200000,0.796934,9.730000,0.254902
1.700000,2.930000,2.772000,-23.200000,0.804177,9.570000,0.253119
1.500000,2.970000,2.800000,-23.600000,0.811415,9.630000,0.254902
1.700000,2.930000,2.828000,-23.200000,0.818666,9.650000,0.254902
1.800000,2.990000,2.856000,-23.000000,0.825932,9.710000,0.253119
1.600000,3.030000,2.884000,-23.600000,0.833185,9.670000,0.254902
1.800000,3.070000,2.912000,-23.000000,0.855385,9.570000,0.256684
2.000000,3.070000,2.940000,-23.200000,0.862797,9.690000,0.256684
1.800000,3.110000,2.968000,-23.200000,0.870173,9.610000,0.254902
1.600000,3.110000,2.996000,-23.400000,0.877449,9.690000,0.249554
1.700000,3.190000,3.024000,-23.000000,0.884723,9.650000,0.256684
1.800000,3.250000,3.052000,-23.200000,0.891966,9.670000,0.254902
1.700000,3.250000,3.080000,-23.600000,0.899259,9.710000,0.253119
1.700000,3.270000,3.108000,-23.400000,0.906510,9.670000,0.256684
1.700000,3.290000,3.136000,-23.400000,0.913778,9.730000,0.254902
1.700000,3.310000,3.164000,-23.400000,0.921030,9.610000,0.253119
1.800000,3.310000,3.192000,-23.200000,0.928275,9.730000,0.254902
1.600000,3.390000,3.220000,-23.200000,0.935502,9.650000,0.245989
1.600000,3.430000,3.248000,-23.000000,0.942751,9.710000,0.253119
1.700000,3.430000,3.276000,-23.400000,0.950035,9.750000,0.258467
1.600000,3.430000,3.304000,-23.400000,0.957294,9.650000,0.251337
1.500000,3.510000,3.332000,-23.800000,0.964556,9.670000,0.251337
1.500000,3.550000,3.360000,-23.400000,0.971814,9.590000,0.260250
2.000000,3.570000,3.388000,-23.200000,0.979063,9.650000,0.251337
1.700000,3.610000,3.416000,-23.200000,0.986300,9.630000,0.258467
1.700000,3.490000,3.444000,-27.400000,0.993582,9.690000,0.254902
1.600000,3.630000,3.472000,-22.800000,1.000935,9.630000,0.258467
1.600000,3.630000,3.500000,-23.400000,1.008232,9.750000,0.258467
1.700000,3.690000,3.528000,-23.800000,1.015538,9.650000,0.258467
1.900000,3.750000,3.556000,-23.200000,1.022811,9.590000,0.258467
1.800000,3.770000,3.584000,-23.400000,1.030118,9.730000,0.256684
1.900000,3.830000,3.612000,-23.800000,1.039062,9.430000,0.258467
1.700000,3.830000,3.640000,-23.400000,1.050501,9.710000,0.256684
1.700000,3.810000,3.668000,-23.000000,1.057832,9.650000,0.253119
1.800000,3.890000,3.696000,-23.400000,1.065102,9.670000,0.256684
1.700000,3.910000,3.724000,-23.200000,1.072397,9.490000,0.253119
1.700000,3.930000,3.752000,-23.600000,1.079663,9.730000,0.254902
1.800000,3.930000,3.780000,-23.000000,1.086958,9.550000,0.256684
1.700000,3.970000,3.808000,-23.200000,1.094217,9.690000,0.254902
1.600000,4.010000,3.836000,-22.800000,1.101451,9.650000,0.254902
1.800000,4.030000,3.864000,-23.200000,1.108710,9.650000,0.254902
1.800000,4.130000,3.892000,-23.800000,1.115965,9.630000,0.258467
