# Date: 20210609
# Operator: RDP
# Notes: OCT02_08
# Tap_cm: 1.0
# Sample: AW_PbSn_003
# Fit of Tap:
#	Ic = 173 +/- 0.015 A
#	n = 42.9 +/- 0.28 
#	Vc = 3 uV
#	Vfloor = 1.82 +/- 0.004 uV
#	R = 0.0001 +/- 1.8e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.000000,0.210000,0.000000,-18.200000,0.035485,9.630000,0.258467
1.700000,0.430000,0.028000,-23.600000,0.048311,9.530000,0.254902
1.700000,0.250000,0.056000,-23.600000,0.056068,9.610000,0.256684
1.500000,0.190000,0.084000,-23.600000,0.063328,9.650000,0.254902
1.700000,0.230000,0.112000,-23.600000,0.070558,9.610000,0.253119
1.900000,0.130000,0.140000,-23.600000,0.077790,9.630000,0.253119
1.800000,0.250000,0.168000,-23.200000,0.085016,9.630000,0.258467
1.700000,0.310000,0.196000,-23.800000,0.092247,9.590000,0.254902
1.700000,0.310000,0.224000,-23.400000,0.099501,9.610000,0.254902
1.900000,0.290000,0.252000,-23.400000,0.106721,9.630000,0.258467
1.700000,0.370000,0.280000,-23.600000,0.113933,9.590000,0.253119
1.600000,0.350000,0.308000,-23.800000,0.121188,9.630000,0.256684
1.800000,0.430000,0.336000,-23.400000,0.128414,9.630000,0.256684
1.900000,0.490000,0.364000,-23.200000,0.135631,9.690000,0.256684
1.700000,0.530000,0.392000,-23.600000,0.142853,9.710000,0.254902
1.700000,0.590000,0.420000,-23.200000,0.150078,9.650000,0.256684
1.600000,0.510000,0.448000,-23.400000,0.157367,9.670000,0.251337
1.700000,0.570000,0.476000,-23.200000,0.164604,9.590000,0.260250
1.800000,0.570000,0.504000,-23.600000,0.171827,9.610000,0.258467
1.700000,0.610000,0.532000,-23.400000,0.179045,9.650000,0.256684
1.700000,0.690000,0.560000,-23.400000,0.186270,9.650000,0.254902
1.500000,0.650000,0.588000,-23.400000,0.193494,9.650000,0.253119
1.800000,0.690000,0.616000,-23.400000,0.200724,9.650000,0.256684
1.700000,0.710000,0.644000,-23.800000,0.207958,9.650000,0.262032
1.600000,0.590000,0.672000,-23.400000,0.215244,9.610000,0.262032
1.400000,0.790000,0.700000,-23.200000,0.224388,9.630000,0.253119
