# Date: 20210617
# Operator: RDP
# Notes: 
# Tap_cm: 1.0
# Sample: AW_Ni_SPI22_001
# Fit of Tap:
#	Ic = 93.7 +/- 0.47 A
#	n = 50 +/- 0.46 
#	Vc = 3 uV
#	Vfloor = 2.47 +/- 1.5e+115 uV
#	R = 7 +/- 2.8e+105 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.900000,0.350000,0.000000,-35.200000,0.053499,8.890000,0.260250
2.000000,0.250000,0.020000,-35.400000,0.099581,8.930000,0.260250
2.100000,0.230000,0.040000,-35.600000,0.109660,9.090000,0.260250
1.900000,0.110000,0.060000,-35.600000,0.119029,8.930000,0.260250
1.900000,0.270000,0.080000,-35.400000,0.128412,9.170000,0.254902
1.800000,0.250000,0.100000,-35.600000,0.137749,8.850000,0.260250
1.700000,0.250000,0.120000,-35.400000,0.147161,9.150000,0.258467
1.900000,0.230000,0.140000,-35.600000,0.156476,8.910000,0.262032
1.900000,0.250000,0.160000,-35.200000,0.165808,9.130000,0.254902
2.100000,0.190000,0.180000,-35.400000,0.175224,9.010000,0.258467
1.700000,0.270000,0.200000,-34.800000,0.184571,8.970000,0.256684
1.900000,0.370000,0.220000,-35.200000,0.193895,9.130000,0.258467
2.100000,0.370000,0.240000,-35.200000,0.203274,8.870000,0.262032
1.900000,0.590000,0.260000,-35.400000,0.212689,9.150000,0.260250
1.800000,0.430000,0.280000,-35.200000,0.222233,8.830000,0.260250
2.000000,0.450000,0.300000,-35.000000,0.243102,9.030000,0.256684
1.800000,0.330000,0.320000,-35.200000,0.252660,8.890000,0.258467
1.900000,0.490000,0.340000,-35.200000,0.261982,9.130000,0.258467
1.900000,0.490000,0.360000,-35.600000,0.271394,8.950000,0.260250
1.900000,0.450000,0.380000,-35.200000,0.280749,9.130000,0.254902
2.100000,0.490000,0.400000,-35.200000,0.290123,8.950000,0.256684
1.900000,0.570000,0.420000,-35.800000,0.299453,8.990000,0.262032
2.100000,0.550000,0.440000,-35.200000,0.308784,9.050000,0.258467
1.800000,0.570000,0.460000,-34.800000,0.318172,8.870000,0.258467
1.800000,0.610000,0.480000,-35.200000,0.327510,9.070000,0.262032
1.900000,0.690000,0.500000,-35.000000,0.336864,8.930000,0.258467
2.000000,0.630000,0.520000,-35.200000,0.359955,9.070000,0.260250
2.100000,0.810000,0.540000,-35.200000,0.370199,8.890000,0.256684
1.800000,0.650000,0.560000,-35.000000,0.379581,9.130000,0.256684
1.900000,0.710000,0.580000,-35.400000,0.388911,8.890000,0.258467
1.800000,0.750000,0.600000,-35.200000,0.398322,9.090000,0.260250
1.900000,0.730000,0.620000,-35.200000,0.407656,8.970000,0.260250
1.800000,0.690000,0.640000,-35.400000,0.416980,9.010000,0.263815
2.100000,0.790000,0.660000,-35.200000,0.426350,9.050000,0.254902
1.900000,0.810000,0.680000,-35.200000,0.435656,8.930000,0.262032
1.900000,0.810000,0.700000,-35.400000,0.455475,8.890000,0.262032
2.200000,0.670000,0.720000,-35.200000,0.464957,9.050000,0.240642
1.900000,0.870000,0.740000,-35.000000,0.474519,8.950000,0.262032
1.800000,0.910000,0.760000,-35.600000,0.483878,9.010000,0.267380
1.900000,0.850000,0.780000,-34.800000,0.493299,9.050000,0.260250
2.000000,0.850000,0.800000,-34.800000,0.502645,8.890000,0.260250
2.000000,0.990000,0.820000,-35.200000,0.511953,9.090000,0.258467
1.900000,0.990000,0.840000,-35.600000,0.521360,8.850000,0.263815
2.200000,0.990000,0.860000,-35.200000,0.530707,9.150000,0.256684
2.000000,0.990000,0.880000,-35.200000,0.540033,8.910000,0.256684
1.800000,1.030000,0.900000,-35.200000,0.549411,9.030000,0.262032
2.000000,1.030000,0.920000,-35.200000,0.558764,9.050000,0.260250
1.800000,1.030000,0.940000,-35.200000,0.568159,8.970000,0.260250
1.800000,1.090000,0.960000,-35.200000,0.577489,9.110000,0.258467
1.900000,1.170000,0.980000,-34.800000,0.586829,8.930000,0.260250
2.000000,1.090000,1.000000,-35.200000,0.596212,9.090000,0.262032
1.800000,1.130000,1.020000,-35.400000,0.605524,8.870000,0.258467
1.900000,1.150000,1.040000,-35.200000,0.614842,9.090000,0.247772
1.900000,1.250000,1.060000,-35.200000,0.624241,8.990000,0.258467
1.700000,1.270000,1.080000,-35.200000,0.633566,8.970000,0.262032
2.100000,1.210000,1.100000,-35.400000,0.666904,8.910000,0.254902
1.900000,1.250000,1.120000,-35.200000,0.676501,9.030000,0.258467
1.900000,1.270000,1.140000,-35.200000,0.685826,8.890000,0.258467
2.100000,1.270000,1.160000,-35.200000,0.695253,9.110000,0.260250
1.900000,1.310000,1.180000,-35.200000,0.704610,8.870000,0.256684
2.000000,1.810000,1.200000,-35.200000,0.713986,9.170000,0.263815
2.200000,1.390000,1.220000,-35.000000,0.723459,8.890000,0.262032
2.100000,1.390000,1.240000,-35.400000,0.732829,9.030000,0.263815
2.000000,1.450000,1.260000,-35.000000,0.742263,9.030000,0.256684
1.800000,1.410000,1.280000,-35.000000,0.751604,8.970000,0.260250
2.000000,1.430000,1.300000,-35.400000,0.760907,9.150000,0.260250
2.000000,1.490000,1.320000,-35.800000,0.770327,8.930000,0.256684
1.800000,1.430000,1.340000,-35.200000,0.779670,9.130000,0.260250
1.900000,1.490000,1.360000,-35.400000,0.788997,8.890000,0.258467
1.900000,1.530000,1.380000,-35.200000,0.798390,9.070000,0.249554
