# Date: 20210617
# Operator: RDP
# Notes: 
# Tap_cm: 1.0
# Sample: AW_Ni_SPI22_001
# Fit of Tap:
#	Ic = 183 +/- 0.016 A
#	n = 33.3 +/- 0.19 
#	Vc = 3 uV
#	Vfloor = 2.01 +/- 0.0034 uV
#	R = 0.000893 +/- 3.5e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.900000,0.250000,0.000000,-35.400000,0.026136,8.990000,0.260250
2.200000,0.250000,0.020000,-35.400000,0.035967,9.210000,0.263815
1.800000,0.250000,0.040000,-35.400000,0.045289,8.870000,0.262032
1.900000,0.110000,0.060000,-35.200000,0.054628,9.150000,0.258467
2.100000,0.250000,0.080000,-36.000000,0.064055,8.870000,0.269162
2.100000,0.210000,0.100000,-35.800000,0.073400,9.130000,0.258467
1.900000,0.270000,0.120000,-35.600000,0.082707,8.990000,0.256684
2.200000,0.290000,0.140000,-35.800000,0.092079,8.990000,0.244207
2.100000,0.290000,0.160000,-36.000000,0.101465,9.050000,0.258467
1.900000,0.310000,0.180000,-35.800000,0.125438,8.990000,0.256684
2.000000,0.330000,0.200000,-35.400000,0.135555,9.050000,0.256684
2.200000,0.370000,0.220000,-35.600000,0.145016,8.890000,0.254902
2.200000,0.370000,0.240000,-35.200000,0.154328,9.170000,0.263815
1.900000,0.390000,0.260000,-35.400000,0.163610,8.890000,0.258467
1.900000,0.470000,0.280000,-35.400000,0.172957,9.090000,0.258467
2.000000,0.390000,0.300000,-35.800000,0.182269,8.950000,0.258467
1.800000,0.430000,0.320000,-35.600000,0.191585,9.010000,0.260250
2.100000,0.470000,0.340000,-35.800000,0.200941,9.030000,0.263815
1.800000,0.470000,0.360000,-35.200000,0.220973,9.110000,0.262032
1.900000,0.550000,0.380000,-35.400000,0.230485,8.730000,0.258467
1.900000,0.490000,0.400000,-35.400000,0.239977,9.090000,0.256684
2.100000,0.510000,0.420000,-35.200000,0.249307,9.050000,0.258467
2.000000,0.530000,0.440000,-35.600000,0.258627,8.990000,0.251337
2.100000,0.570000,0.460000,-35.600000,0.268013,9.010000,0.267380
1.900000,0.610000,0.480000,-35.800000,0.277344,8.950000,0.256684
2.100000,0.630000,0.500000,-35.600000,0.286645,9.170000,0.254902
1.900000,0.590000,0.520000,-36.000000,0.296035,8.950000,0.258467
2.200000,0.610000,0.540000,-35.400000,0.305334,9.150000,0.258467
2.100000,0.710000,0.560000,-36.200000,0.314616,8.950000,0.262032
2.300000,0.770000,0.580000,-35.400000,0.323999,9.050000,0.260250
2.200000,0.690000,0.600000,-35.400000,0.333282,9.030000,0.247772
1.900000,0.790000,0.620000,-35.800000,0.342558,9.030000,0.258467
1.800000,0.790000,0.640000,-35.800000,0.351927,9.010000,0.256684
1.900000,0.750000,0.660000,-35.600000,0.361226,8.950000,0.254902
1.900000,0.810000,0.680000,-34.800000,0.370537,9.150000,0.258467
2.200000,0.830000,0.700000,-35.800000,0.379932,8.910000,0.258467
1.800000,0.930000,0.720000,-35.400000,0.389249,9.110000,0.262032
2.200000,0.890000,0.740000,-35.600000,0.398548,8.950000,0.260250
2.200000,0.890000,0.760000,-35.400000,0.432547,9.010000,0.258467
2.000000,0.970000,0.780000,-35.400000,0.442132,8.990000,0.263815
2.100000,0.950000,0.800000,-35.600000,0.451448,9.070000,0.260250
2.100000,0.950000,0.820000,-35.200000,0.460744,8.770000,0.260250
1.900000,1.110000,0.840000,-35.600000,0.470128,9.170000,0.258467
2.100000,0.970000,0.860000,-35.800000,0.479522,8.990000,0.260250
2.000000,1.030000,0.880000,-35.400000,0.488998,9.110000,0.258467
2.100000,1.010000,0.900000,-35.600000,0.498334,8.970000,0.254902
2.100000,1.070000,0.920000,-35.200000,0.507676,9.030000,0.269162
1.900000,1.090000,0.940000,-36.200000,0.517066,9.030000,0.263815
2.100000,1.130000,0.960000,-35.600000,0.526393,8.930000,0.256684
2.000000,1.150000,0.980000,-35.800000,0.535666,9.010000,0.260250
2.000000,1.070000,1.000000,-38.600000,0.545287,8.870000,0.262032
2.100000,1.110000,1.020000,-35.600000,0.554882,9.130000,0.256684
1.800000,1.230000,1.040000,-35.800000,0.564205,8.930000,0.262032
2.200000,1.150000,1.060000,-35.800000,0.573537,9.090000,0.262032
2.100000,1.210000,1.080000,-35.200000,0.582913,8.990000,0.260250
1.800000,1.330000,1.100000,-35.400000,0.592232,8.950000,0.258467
2.000000,1.310000,1.120000,-34.800000,0.604540,9.170000,0.260250
2.100000,1.170000,1.140000,-35.200000,0.621283,9.150000,0.258467
2.000000,1.310000,1.160000,-35.600000,0.630701,8.950000,0.262032
1.900000,1.350000,1.180000,-35.800000,0.640080,9.110000,0.258467
1.900000,1.350000,1.200000,-35.400000,0.649377,9.030000,0.262032
1.800000,1.370000,1.220000,-35.400000,0.658675,9.030000,0.251337
2.200000,1.010000,1.240000,-35.400000,0.668119,9.090000,0.267380
2.100000,1.370000,1.260000,-35.000000,0.677509,8.930000,0.265597
2.000000,1.490000,1.280000,-35.400000,0.686823,9.190000,0.263815
2.000000,1.490000,1.300000,-35.600000,0.696212,8.910000,0.262032
1.900000,1.430000,1.320000,-36.600000,0.719582,9.130000,0.258467
2.000000,1.370000,1.340000,-35.600000,0.729723,9.030000,0.263815
