# Date: 20210617
# Operator: RDP
# Notes: 
# Tap_cm: 1.0
# Sample: AW_Ni_SPI22_001
# Fit of Tap:
#	Ic = 182 +/- 0.016 A
#	n = 34.7 +/- 0.2 
#	Vc = 3 uV
#	Vfloor = 2.05 +/- 0.0035 uV
#	R = 0.0001 +/- 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.000000,0.250000,0.000000,-35.600000,0.035546,8.890000,0.260250
2.000000,0.170000,0.020000,-35.200000,0.048553,8.950000,0.262032
2.000000,0.210000,0.040000,-35.600000,0.058618,9.150000,0.258467
2.000000,0.130000,0.060000,-35.400000,0.067970,8.690000,0.262032
2.100000,0.190000,0.080000,-35.600000,0.077397,9.190000,0.253119
1.900000,0.210000,0.100000,-35.400000,0.086709,9.030000,0.258467
1.900000,0.270000,0.120000,-35.600000,0.096022,8.930000,0.256684
2.000000,0.250000,0.140000,-35.400000,0.105381,9.090000,0.260250
2.000000,0.290000,0.160000,-34.800000,0.114770,8.950000,0.260250
1.900000,0.310000,0.180000,-35.400000,0.124349,9.150000,0.260250
1.700000,0.370000,0.200000,-35.200000,0.133686,8.910000,0.260250
2.100000,0.270000,0.220000,-35.000000,0.142985,9.190000,0.258467
2.100000,0.350000,0.240000,-35.200000,0.152366,8.990000,0.258467
2.200000,0.350000,0.260000,-35.800000,0.161665,9.090000,0.269162
2.100000,0.270000,0.280000,-35.600000,0.170981,9.030000,0.260250
2.000000,0.450000,0.300000,-35.600000,0.180377,9.030000,0.254902
2.000000,0.570000,0.320000,-35.800000,0.189704,9.110000,0.251337
1.900000,0.390000,0.340000,-35.600000,0.199016,8.890000,0.263815
2.000000,0.470000,0.360000,-35.400000,0.208372,9.130000,0.258467
2.100000,0.470000,0.380000,-35.400000,0.217692,8.830000,0.263815
1.900000,0.550000,0.400000,-35.600000,0.230345,8.970000,0.260250
2.000000,0.490000,0.420000,-35.400000,0.247486,9.010000,0.256684
2.000000,0.650000,0.440000,-35.400000,0.256884,9.070000,0.262032
2.000000,0.510000,0.460000,-35.400000,0.266259,8.850000,0.244207
2.100000,0.650000,0.480000,-35.400000,0.275597,9.170000,0.256684
2.100000,0.590000,0.500000,-35.600000,0.284917,8.850000,0.260250
2.000000,0.670000,0.520000,-35.400000,0.308024,9.090000,0.263815
2.000000,0.710000,0.540000,-35.600000,0.318194,8.790000,0.258467
2.300000,0.710000,0.560000,-35.800000,0.327577,9.050000,0.251337
2.000000,0.690000,0.580000,-35.600000,0.336879,9.030000,0.256684
2.000000,0.770000,0.600000,-36.000000,0.346240,8.930000,0.258467
2.000000,0.710000,0.620000,-35.200000,0.355544,9.070000,0.262032
2.100000,0.730000,0.640000,-35.000000,0.364897,8.870000,0.303030
2.000000,0.770000,0.660000,-35.400000,0.374458,9.150000,0.265597
