# Date: 20210617
# Operator: RDP
# Notes: Ni STRIKE
# Tap_cm: 1.0
# Sample: AW_Ni_SPI22_002
# Fit of Tap:
#	Ic = 26.1 +/- 0.14 A
#	n = 883 +/- 1.3e+03 
#	Vc = 3 uV
#	Vfloor = 1.7 +/- 0.0082 uV
#	R = 0.0356 +/- 0.00055 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.800000,0.230000,0.000000,-35.200000,0.071580,9.090000,0.254902
2.100000,0.270000,0.020000,-34.600000,0.108482,9.250000,0.258467
1.900000,0.230000,0.040000,-35.000000,0.118673,8.710000,0.258467
1.800000,0.130000,0.060000,-35.000000,0.128236,9.130000,0.262032
1.900000,0.230000,0.080000,-35.000000,0.137627,9.010000,0.265597
1.800000,0.270000,0.100000,-34.800000,0.147023,8.870000,0.254902
1.900000,0.290000,0.120000,-34.800000,0.156453,9.270000,0.254902
1.900000,0.210000,0.140000,-34.600000,0.165944,8.690000,0.256684
1.900000,0.250000,0.160000,-35.200000,0.175396,9.270000,0.260250
1.600000,0.310000,0.180000,-34.600000,0.184791,8.650000,0.260250
1.800000,0.370000,0.200000,-34.400000,0.194217,9.170000,0.260250
1.700000,0.350000,0.220000,-34.800000,0.203578,8.950000,0.260250
1.900000,0.390000,0.240000,-34.600000,0.213027,8.990000,0.260250
2.000000,0.330000,0.260000,-34.600000,0.222463,9.190000,0.260250
1.900000,0.410000,0.280000,-34.800000,0.242982,9.410000,0.262032
1.900000,0.370000,0.300000,-34.800000,0.252500,8.790000,0.262032
2.000000,0.370000,0.320000,-34.800000,0.261986,9.070000,0.258467
2.100000,0.430000,0.340000,-35.200000,0.271462,9.050000,0.260250
1.900000,0.630000,0.360000,-35.600000,0.280936,8.810000,0.258467
1.800000,0.550000,0.380000,-34.800000,0.300010,8.610000,0.262032
2.000000,0.530000,0.400000,-34.600000,0.315143,8.710000,0.258467
1.800000,0.550000,0.420000,-35.000000,0.325573,9.230000,0.260250
1.800000,0.530000,0.440000,-34.600000,0.335124,8.690000,0.263815
1.800000,0.570000,0.460000,-34.800000,0.344655,9.130000,0.263815
1.800000,0.610000,0.480000,-34.600000,0.354117,8.910000,0.256684
1.600000,0.590000,0.500000,-35.200000,0.363552,8.870000,0.262032
1.700000,0.690000,0.520000,-34.800000,0.373023,9.210000,0.260250
