# Date: 20210617
# Operator: RDP
# Notes: Ni STRIKE
# Tap_cm: 1.0
# Sample: AW_Ni_SPI22_002
# Fit of Tap:
#	Ic = 97.1 A
#	n = 105 
#	Vc = 3 uV
#	Vfloor = 2 uV
#	R = 0.0281 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.000000,0.230000,0.000000,-35.000000,0.059960,8.630000,0.262032
1.900000,0.190000,0.020000,-34.600000,0.095607,8.630000,0.263815
2.000000,0.290000,0.040000,-35.200000,0.106263,9.090000,0.258467
2.100000,0.250000,0.060000,-34.800000,0.115756,9.150000,0.254902
1.800000,0.250000,0.080000,-34.800000,0.125159,8.790000,0.254902
1.800000,0.230000,0.100000,-34.800000,0.134733,9.350000,0.256684
1.900000,0.290000,0.120000,-35.000000,0.144182,8.650000,0.274510
2.000000,0.210000,0.140000,-34.600000,0.153644,9.410000,0.260250
2.200000,0.330000,0.160000,-35.000000,0.162993,8.790000,0.260250
2.100000,0.370000,0.180000,-34.600000,0.172408,9.110000,0.262032
2.100000,0.270000,0.200000,-35.000000,0.181738,9.010000,0.251337
1.700000,0.330000,0.220000,-34.600000,0.191098,8.830000,0.256684
2.100000,0.210000,0.240000,-34.800000,0.200525,9.270000,0.256684
1.900000,0.250000,0.260000,-35.000000,0.209898,8.590000,0.260250
1.900000,0.390000,0.280000,-34.600000,0.219370,9.390000,0.258467
2.000000,0.410000,0.300000,-36.000000,0.232083,9.130000,0.260250
1.800000,0.350000,0.320000,-34.600000,0.250161,9.210000,0.262032
2.100000,0.430000,0.340000,-35.000000,0.259689,8.690000,0.258467
2.000000,0.590000,0.360000,-34.600000,0.269068,9.330000,0.258467
2.000000,0.530000,0.380000,-35.200000,0.278465,8.630000,0.263815
1.900000,0.530000,0.400000,-35.600000,0.287810,9.250000,0.258467
2.000000,0.550000,0.420000,-35.000000,0.297190,8.870000,0.262032
1.800000,0.530000,0.440000,-34.600000,0.306591,8.970000,0.262032
2.000000,0.530000,0.460000,-35.200000,0.329890,8.750000,0.260250
2.100000,0.490000,0.480000,-35.000000,0.340052,8.950000,0.265597
2.300000,0.610000,0.500000,-34.800000,0.349571,9.190000,0.260250
2.200000,0.650000,0.520000,-35.200000,0.358934,8.750000,0.260250
2.000000,0.670000,0.540000,-35.200000,0.368342,9.350000,0.258467
1.700000,0.670000,0.560000,-35.200000,0.377676,8.610000,0.262032
1.900000,0.670000,0.580000,-35.000000,0.387022,9.210000,0.260250
2.100000,0.750000,0.600000,-35.000000,0.396436,8.790000,0.256684
2.000000,0.710000,0.620000,-34.800000,0.405796,9.030000,0.260250
2.100000,0.730000,0.640000,-34.800000,0.415129,9.050000,0.258467
1.800000,0.770000,0.660000,-35.400000,0.424503,8.790000,0.262032
1.800000,0.750000,0.680000,-35.000000,0.433844,9.210000,0.267380
2.100000,0.850000,0.700000,-34.800000,0.453271,9.330000,0.260250
1.900000,0.870000,0.720000,-34.800000,0.462825,8.730000,0.253119
1.900000,0.870000,0.740000,-34.800000,0.472169,9.070000,0.258467
2.100000,0.870000,0.760000,-34.800000,0.481633,8.790000,0.256684
1.900000,0.890000,0.780000,-34.800000,0.491085,8.790000,0.258467
1.800000,0.930000,0.800000,-35.000000,0.500549,9.190000,0.263815
1.700000,0.750000,0.820000,-34.400000,0.509918,8.610000,0.260250
1.900000,0.990000,0.840000,-34.800000,0.519365,9.290000,0.262032
2.000000,1.010000,0.860000,-35.000000,0.528716,8.650000,0.262032
2.000000,0.990000,0.880000,-35.000000,0.538081,9.150000,0.260250
2.200000,1.050000,0.900000,-35.000000,0.547484,8.990000,0.260250
1.800000,1.010000,0.920000,-34.800000,0.556867,8.930000,0.258467
2.200000,1.090000,0.940000,-35.200000,0.566222,9.130000,0.262032
1.900000,1.090000,0.960000,-35.000000,0.575605,8.690000,0.263815
2.100000,1.130000,0.980000,-34.800000,0.584970,9.310000,0.260250
1.700000,1.110000,1.000000,-35.200000,0.594310,8.630000,0.265597
2.100000,1.110000,1.020000,-34.600000,0.603730,9.310000,0.256684
