# Date: 20210617
# Operator: RDP
# Notes: Ni STRIKE
# Tap_cm: 1.0
# Sample: AW_Ni_SPI22_002
# Fit of Tap:
#	Ic = 104 +/- 0.7 A
#	n = 50 +/- 0.62 
#	Vc = 3 uV
#	Vfloor = 6.24 +/- 8.1e+54 uV
#	R = 3.26 +/- 1.9e+47 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.900000,0.250000,0.000000,-34.600000,0.056230,9.230000,0.262032
2.000000,0.190000,0.040000,-34.800000,0.103373,10.110000,0.263815
2.000000,0.310000,0.080000,-34.600000,0.114033,8.630000,0.262032
1.800000,0.290000,0.120000,-34.600000,0.123488,9.030000,0.262032
1.900000,0.270000,0.160000,-34.600000,0.132913,9.410000,0.260250
1.900000,0.310000,0.200000,-34.600000,0.142267,8.310000,0.265597
1.700000,0.390000,0.240000,-35.000000,0.151632,9.730000,0.260250
1.800000,0.390000,0.280000,-34.600000,0.161052,8.070000,0.256684
1.800000,0.390000,0.320000,-34.400000,0.170419,9.890000,0.258467
1.800000,0.370000,0.360000,-34.800000,0.179771,8.350000,0.260250
1.700000,0.510000,0.400000,-34.800000,0.189163,9.370000,0.254902
1.800000,0.590000,0.440000,-34.600000,0.198514,8.950000,0.265597
1.800000,0.630000,0.480000,-34.600000,0.207870,8.630000,0.253119
1.700000,0.590000,0.520000,-34.800000,0.217343,9.710000,0.260250
1.900000,0.630000,0.560000,-35.000000,0.230163,8.310000,0.262032
1.900000,0.470000,0.600000,-34.600000,0.248220,8.850000,0.260250
1.700000,0.790000,0.640000,-34.800000,0.257746,8.730000,0.258467
1.900000,0.770000,0.680000,-34.600000,0.267075,9.630000,0.263815
2.000000,0.850000,0.720000,-34.600000,0.276407,8.110000,0.258467
1.800000,0.850000,0.760000,-34.400000,0.285733,9.910000,0.256684
1.900000,0.910000,0.800000,-34.000000,0.295176,8.070000,0.260250
2.000000,0.850000,0.840000,-34.400000,0.304555,9.750000,0.263815
1.900000,1.130000,0.880000,-34.600000,0.313973,8.590000,0.260250
1.900000,1.070000,0.920000,-34.800000,0.323389,9.090000,0.260250
