# Date: 20210617
# Operator: RDP
# Notes: Ni STRIKE
# Tap_cm: 1.0
# Sample: AW_Ni_SPI22_002
# Fit of Tap:
#	Ic = 163 +/- 0.86 A
#	n = 49.9 +/- 2.4 
#	Vc = 3 uV
#	Vfloor = 8.2 +/- 5.8e+28 uV
#	R = 9.04 +/- 2.5e+18 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.800000,0.230000,0.000000,-34.400000,0.059731,8.190000,0.258467
2.000000,0.210000,0.040000,-34.600000,0.080612,8.530000,0.267380
1.600000,0.230000,0.080000,-35.200000,0.091258,8.770000,0.258467
1.400000,0.230000,0.120000,-34.600000,0.101129,9.770000,0.260250
2.000000,0.290000,0.160000,-35.400000,0.111022,8.050000,0.262032
1.900000,0.330000,0.200000,-34.800000,0.120925,9.910000,0.262032
2.000000,0.350000,0.240000,-34.800000,0.130811,8.590000,0.260250
1.800000,0.370000,0.280000,-34.600000,0.140701,8.930000,0.260250
1.800000,0.490000,0.320000,-34.800000,0.150626,9.630000,0.258467
1.900000,0.430000,0.360000,-34.200000,0.160587,8.150000,0.249554
1.800000,0.490000,0.400000,-34.800000,0.170531,9.930000,0.254902
1.900000,0.590000,0.440000,-34.600000,0.180506,8.530000,0.265597
1.900000,0.610000,0.480000,-34.800000,0.190449,9.030000,0.256684
2.000000,0.670000,0.520000,-34.600000,0.200389,9.550000,0.256684
1.800000,0.670000,0.560000,-34.600000,0.213611,8.470000,0.260250
1.800000,0.710000,0.600000,-34.400000,0.232032,8.950000,0.256684
1.700000,0.810000,0.640000,-34.400000,0.251922,9.910000,0.258467
2.000000,0.850000,0.680000,-34.600000,0.267398,9.350000,0.260250
1.800000,0.870000,0.720000,-34.800000,0.278273,8.070000,0.263815
1.900000,0.890000,0.760000,-34.400000,0.288308,9.770000,0.258467
1.900000,0.850000,0.800000,-33.600000,0.298251,8.750000,0.258467
1.800000,0.970000,0.840000,-34.600000,0.308213,8.670000,0.258467
1.700000,1.030000,0.880000,-34.400000,0.318093,9.810000,0.258467
1.700000,1.070000,0.920000,-34.800000,0.327979,8.070000,0.245989
1.800000,1.150000,0.960000,-34.600000,0.337890,9.790000,0.256684
1.900000,1.150000,1.000000,-34.200000,0.347805,8.610000,0.267380
1.900000,1.150000,1.040000,-34.800000,0.357686,8.790000,0.256684
1.500000,1.190000,1.080000,-34.600000,0.367555,9.690000,0.258467
1.900000,1.210000,1.120000,-34.400000,0.377516,8.030000,0.253119
1.800000,1.290000,1.160000,-34.400000,0.387417,9.950000,0.260250
2.000000,1.330000,1.200000,-34.600000,0.397346,8.530000,0.265597
1.900000,1.430000,1.240000,-34.600000,0.417408,9.590000,0.263815
1.700000,1.410000,1.280000,-34.400000,0.427465,8.070000,0.247772
2.100000,1.450000,1.320000,-34.400000,0.437435,9.950000,0.256684
1.900000,1.510000,1.360000,-34.600000,0.447375,8.570000,0.260250
1.900000,1.610000,1.400000,-34.600000,0.456787,9.070000,0.256684
1.800000,1.590000,1.440000,-34.800000,0.466224,9.310000,0.260250
2.000000,1.610000,1.480000,-34.600000,0.475578,8.370000,0.258467
1.700000,1.650000,1.520000,-34.800000,0.484906,9.870000,0.260250
2.000000,1.690000,1.560000,-34.400000,0.494335,8.070000,0.251337
1.800000,1.750000,1.600000,-34.800000,0.503683,9.910000,0.262032
1.700000,1.830000,1.640000,-34.800000,0.513135,8.310000,0.260250
1.800000,1.790000,1.680000,-34.800000,0.522584,9.370000,0.260250
2.000000,1.830000,1.720000,-34.400000,0.532174,9.110000,0.260250
1.700000,1.990000,1.760000,-34.800000,0.551144,9.790000,0.256684
