# Date: 20210617
# Operator: RDP
# Notes: Ni STRIKE
# Tap_cm: 2.0
# Sample: AW_Ni_SPI22_03
# Fit of Tap:
#	Ic = 130 A
#	n = 249 
#	Vc = 4 uV
#	Vfloor = 3.01 uV
#	R = 0.00148 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.900000,0.230000,0.000000,-34.600000,0.066482,9.410000,0.263815
3.100000,0.210000,0.040000,-36.200000,0.104277,9.030000,0.253119
3.000000,0.250000,0.080000,-34.800000,0.115190,9.350000,0.260250
3.200000,0.250000,0.120000,-33.800000,0.125281,8.610000,0.260250
2.600000,0.310000,0.160000,-34.400000,0.136004,9.330000,0.254902
3.100000,0.330000,0.200000,-34.600000,0.146230,9.070000,0.256684
2.700000,0.270000,0.240000,-34.600000,0.156317,8.690000,0.258467
2.600000,0.370000,0.280000,-34.600000,0.166470,9.430000,0.260250
2.700000,0.370000,0.320000,-34.600000,0.176490,8.650000,0.256684
2.800000,0.510000,0.360000,-34.600000,0.186488,9.230000,0.258467
2.800000,0.470000,0.400000,-34.600000,0.196479,9.050000,0.260250
2.700000,0.430000,0.440000,-34.800000,0.206471,8.690000,0.256684
2.600000,0.590000,0.480000,-34.600000,0.216461,9.370000,0.260250
2.800000,0.530000,0.520000,-34.800000,0.226475,8.670000,0.258467
3.000000,0.690000,0.560000,-34.600000,0.248310,9.270000,0.256684
2.900000,0.690000,0.600000,-33.600000,0.258570,8.610000,0.256684
2.900000,0.750000,0.640000,-34.400000,0.268616,9.370000,0.260250
2.900000,0.790000,0.680000,-34.800000,0.278639,8.930000,0.260250
2.700000,0.830000,0.720000,-35.000000,0.288580,8.910000,0.267380
3.000000,0.850000,0.760000,-34.200000,0.313364,9.150000,0.256684
3.000000,0.910000,0.800000,-34.600000,0.324388,8.750000,0.256684
3.200000,0.930000,0.840000,-34.400000,0.334432,9.410000,0.260250
