# Date: 20210617
# Operator: RDP
# Notes: Ni STRIKE
# Tap_cm: 2.0
# Sample: AW_Ni_SPI22_03
# Fit of Tap:
#	Ic = 181 +/- 0.021 A
#	n = 32 +/- 0.2 
#	Vc = 4 uV
#	Vfloor = 2.91 +/- 0.0059 uV
#	R = 0.0001 +/- 7.2e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.800000,0.190000,0.000000,-35.400000,0.060129,9.290000,0.262032
2.800000,0.190000,0.040000,-34.600000,0.094433,9.490000,0.258467
2.700000,0.250000,0.080000,-38.000000,0.120942,8.770000,0.267380
3.000000,0.250000,0.120000,-37.400000,0.131903,8.890000,0.269162
3.200000,0.210000,0.160000,-37.000000,0.142228,9.270000,0.258467
3.200000,0.330000,0.200000,-37.200000,0.152233,8.550000,0.254902
2.900000,0.310000,0.240000,-36.600000,0.162279,9.350000,0.258467
3.000000,0.310000,0.280000,-36.400000,0.172299,9.030000,0.260250
3.000000,0.390000,0.320000,-37.200000,0.182378,8.910000,0.258467
2.900000,0.450000,0.360000,-37.000000,0.192342,9.250000,0.267380
3.000000,0.510000,0.400000,-37.800000,0.202353,8.690000,0.265597
3.100000,0.570000,0.440000,-36.800000,0.212391,9.290000,0.258467
2.800000,0.550000,0.480000,-37.200000,0.222363,9.050000,0.265597
2.800000,0.570000,0.520000,-37.000000,0.244436,9.470000,0.265597
3.000000,0.670000,0.560000,-37.200000,0.254456,8.730000,0.265597
2.800000,0.770000,0.600000,-34.400000,0.264478,9.070000,0.265597
3.000000,0.750000,0.640000,-35.000000,0.274525,9.170000,0.254902
3.100000,0.770000,0.680000,-34.400000,0.284526,8.690000,0.260250
3.100000,0.850000,0.720000,-34.400000,0.294596,9.530000,0.260250
2.900000,0.910000,0.760000,-36.600000,0.304897,8.830000,0.260250
3.100000,0.890000,0.800000,-34.600000,0.315012,8.950000,0.263815
3.100000,0.950000,0.840000,-35.400000,0.325132,9.190000,0.258467
3.100000,0.990000,0.880000,-34.400000,0.335260,8.630000,0.260250
3.000000,1.030000,0.920000,-34.200000,0.345348,9.370000,0.260250
2.900000,1.070000,0.960000,-34.400000,0.355405,8.830000,0.258467
3.000000,1.110000,1.000000,-34.600000,0.365495,8.930000,0.258467
3.000000,1.130000,1.040000,-34.800000,0.375569,9.290000,0.262032
2.900000,1.210000,1.080000,-34.600000,0.400195,8.730000,0.256684
2.900000,1.210000,1.120000,-34.600000,0.411018,9.430000,0.258467
2.800000,1.310000,1.160000,-34.400000,0.421056,8.690000,0.270945
3.100000,1.450000,1.200000,-34.400000,0.431135,9.110000,0.258467
3.200000,1.350000,1.240000,-34.600000,0.451343,8.670000,0.258467
2.900000,1.390000,1.280000,-34.200000,0.461497,9.490000,0.256684
3.000000,1.490000,1.320000,-36.400000,0.471530,8.810000,0.262032
2.900000,1.530000,1.360000,-34.800000,0.481601,8.930000,0.260250
3.300000,1.510000,1.400000,-34.600000,0.491664,9.210000,0.251337
3.000000,1.610000,1.440000,-34.400000,0.501792,8.630000,0.258467
3.100000,1.590000,1.480000,-34.600000,0.511863,9.410000,0.260250
3.100000,1.610000,1.520000,-34.600000,0.521862,8.870000,0.258467
2.900000,1.730000,1.560000,-34.400000,0.531926,8.950000,0.260250
3.300000,1.730000,1.600000,-34.600000,0.541948,9.270000,0.254902
3.000000,1.790000,1.640000,-34.400000,0.552279,8.610000,0.244207
3.100000,1.690000,1.680000,-33.800000,0.562425,9.290000,0.258467
2.700000,1.830000,1.720000,-34.400000,0.572448,8.910000,0.254902
2.900000,1.870000,1.760000,-34.400000,0.582462,9.010000,0.260250
2.900000,1.930000,1.800000,-34.600000,0.592445,9.310000,0.262032
2.900000,1.990000,1.840000,-34.600000,0.602450,8.590000,0.262032
2.900000,2.010000,1.880000,-33.800000,0.612473,9.310000,0.256684
3.100000,2.010000,1.920000,-34.400000,0.622401,8.870000,0.247772
2.900000,2.090000,1.960000,-34.800000,0.632398,8.870000,0.260250
3.000000,2.190000,2.000000,-34.600000,0.642351,9.330000,0.262032
3.100000,2.250000,2.040000,-34.000000,0.662932,9.250000,0.256684
2.900000,2.250000,2.080000,-34.200000,0.673071,8.950000,0.256684
3.000000,2.330000,2.120000,-34.600000,0.693139,9.350000,0.269162
3.200000,2.350000,2.160000,-34.200000,0.707949,9.170000,0.258467
2.900000,2.370000,2.200000,-34.400000,0.718783,8.590000,0.260250
3.200000,2.370000,2.240000,-34.600000,0.728847,9.390000,0.256684
3.100000,2.450000,2.280000,-34.800000,0.738798,8.810000,0.260250
3.100000,2.510000,2.320000,-34.600000,0.748780,8.930000,0.258467
3.000000,2.510000,2.360000,-34.600000,0.758720,9.270000,0.253119
3.100000,2.550000,2.400000,-34.400000,0.768730,8.590000,0.260250
2.900000,2.590000,2.440000,-34.600000,0.778759,9.390000,0.260250
2.800000,2.610000,2.480000,-34.600000,0.788747,8.810000,0.262032
3.000000,2.710000,2.520000,-34.400000,0.798726,8.870000,0.263815
3.100000,2.810000,2.560000,-34.800000,0.809235,9.150000,0.260250
2.800000,2.810000,2.600000,-34.600000,0.819459,8.570000,0.260250
2.900000,2.850000,2.640000,-33.600000,0.829529,9.270000,0.258467
3.000000,2.910000,2.680000,-34.400000,0.839588,8.990000,0.262032
2.900000,2.870000,2.720000,-34.400000,0.849624,8.770000,0.260250
3.300000,2.990000,2.760000,-33.400000,0.862924,9.210000,0.260250
2.800000,2.990000,2.800000,-34.800000,0.880703,9.110000,0.260250
3.000000,3.030000,2.840000,-34.600000,0.890860,9.150000,0.256684
3.000000,3.090000,2.880000,-34.600000,0.900894,8.670000,0.262032
2.900000,3.130000,2.920000,-34.400000,0.910881,9.330000,0.260250
3.000000,3.150000,2.960000,-34.600000,0.920853,8.670000,0.260250
2.800000,3.130000,3.000000,-34.600000,0.930845,9.150000,0.262032
2.900000,3.230000,3.040000,-34.400000,0.940883,9.190000,0.258467
2.900000,3.290000,3.080000,-34.400000,0.950853,8.690000,0.260250
2.900000,3.330000,3.120000,-34.600000,0.960857,9.310000,0.260250
2.700000,3.410000,3.160000,-34.800000,0.970879,8.650000,0.254902
3.000000,3.410000,3.200000,-34.400000,0.991077,9.210000,0.262032
3.100000,3.490000,3.240000,-34.600000,1.005843,8.870000,0.256684
2.900000,3.510000,3.280000,-34.400000,1.016648,8.770000,0.263815
3.000000,3.530000,3.320000,-34.800000,1.026663,9.390000,0.262032
3.000000,3.550000,3.360000,-34.800000,1.036609,8.650000,0.258467
2.900000,3.610000,3.400000,-34.000000,1.046609,9.190000,0.258467
2.900000,3.610000,3.440000,-37.400000,1.056660,9.030000,0.253119
3.000000,3.690000,3.480000,-34.200000,1.066797,8.690000,0.253119
2.800000,3.830000,3.520000,-34.600000,1.087597,9.250000,0.260250
3.000000,3.710000,3.560000,-34.400000,1.097704,9.050000,0.258467
3.100000,3.850000,3.600000,-34.400000,1.107678,9.170000,0.262032
