# Date: 20210617
# Operator: RDP
# Notes: Ni STRIKE
# Tap_cm: 2.0
# Sample: AW_Ni_SPI22_03
# Fit of Tap:
#	Ic = 180 +/- 0.021 A
#	n = 32.4 +/- 0.19 
#	Vc = 4 uV
#	Vfloor = 3.01 +/- 0.0059 uV
#	R = 0.0001 +/- 0.00016 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.600000,0.230000,0.000000,-35.200000,0.035401,9.330000,0.260250
2.700000,0.050000,0.040000,-34.600000,0.049717,9.270000,0.263815
2.600000,0.130000,0.080000,-33.800000,0.059833,8.670000,0.256684
3.000000,0.210000,0.120000,-34.400000,0.069325,9.290000,0.260250
2.900000,0.390000,0.160000,-34.800000,0.078711,8.770000,0.260250
3.000000,0.270000,0.200000,-34.600000,0.088102,9.130000,0.260250
3.000000,0.390000,0.240000,-34.800000,0.097401,9.010000,0.260250
2.800000,0.370000,0.280000,-34.800000,0.106726,8.850000,0.260250
2.700000,0.490000,0.320000,-34.800000,0.116126,9.310000,0.260250
2.900000,0.450000,0.360000,-34.600000,0.125474,8.710000,0.260250
2.700000,0.510000,0.400000,-34.600000,0.134789,9.370000,0.258467
2.600000,0.470000,0.440000,-34.800000,0.144157,8.630000,0.263815
3.100000,0.570000,0.480000,-34.800000,0.153456,9.370000,0.260250
2.800000,0.610000,0.520000,-34.800000,0.162750,8.830000,0.260250
2.800000,0.690000,0.560000,-34.800000,0.172135,9.050000,0.258467
3.000000,0.650000,0.600000,-34.600000,0.181427,9.090000,0.256684
2.500000,0.750000,0.640000,-35.000000,0.190731,8.770000,0.262032
2.900000,0.750000,0.680000,-34.600000,0.200112,9.250000,0.253119
2.900000,0.850000,0.720000,-34.800000,0.212816,8.750000,0.258467
2.900000,0.870000,0.760000,-34.800000,0.229653,8.930000,0.258467
2.800000,0.910000,0.800000,-34.800000,0.239107,9.050000,0.256684
2.800000,0.950000,0.840000,-34.600000,0.248433,9.170000,0.260250
2.800000,1.030000,0.880000,-34.600000,0.267194,9.350000,0.262032
3.100000,1.030000,0.920000,-34.400000,0.281781,9.110000,0.260250
3.000000,1.130000,0.960000,-34.600000,0.292031,8.710000,0.262032
2.800000,1.110000,1.000000,-34.400000,0.301418,9.330000,0.256684
3.000000,1.110000,1.040000,-34.800000,0.310758,8.550000,0.262032
2.900000,1.070000,1.080000,-35.000000,0.320143,9.330000,0.256684
2.900000,1.210000,1.120000,-34.600000,0.329453,8.790000,0.260250
3.000000,1.230000,1.160000,-34.800000,0.338753,9.010000,0.258467
2.800000,1.310000,1.200000,-34.600000,0.348105,9.130000,0.260250
2.800000,1.390000,1.240000,-35.000000,0.357402,8.790000,0.262032
2.800000,1.390000,1.280000,-34.800000,0.366688,9.270000,0.254902
2.800000,1.410000,1.320000,-35.200000,0.376068,8.710000,0.256684
3.000000,1.510000,1.360000,-34.600000,0.385383,9.390000,0.260250
2.900000,1.510000,1.400000,-35.000000,0.394736,8.630000,0.254902
2.900000,1.610000,1.440000,-34.800000,0.414229,8.990000,0.262032
2.700000,1.630000,1.480000,-34.800000,0.423607,8.870000,0.260250
2.700000,1.630000,1.520000,-34.400000,0.432890,9.270000,0.263815
2.800000,1.650000,1.560000,-34.800000,0.442188,8.650000,0.258467
3.100000,1.730000,1.600000,-34.800000,0.451476,9.370000,0.262032
2.900000,1.810000,1.640000,-35.200000,0.460781,8.610000,0.263815
2.900000,1.810000,1.680000,-35.000000,0.470139,9.350000,0.258467
3.000000,1.850000,1.720000,-34.600000,0.479430,8.830000,0.258467
2.800000,1.910000,1.760000,-34.800000,0.488727,9.050000,0.258467
2.700000,1.930000,1.800000,-34.800000,0.498091,9.070000,0.260250
2.900000,2.010000,1.840000,-35.000000,0.507439,8.770000,0.270945
2.700000,2.070000,1.880000,-35.200000,0.516762,9.270000,0.263815
2.800000,2.110000,1.920000,-35.000000,0.526217,8.710000,0.260250
2.900000,2.090000,1.960000,-34.600000,0.535638,9.470000,0.260250
2.800000,2.110000,2.000000,-34.800000,0.545071,8.670000,0.262032
2.800000,2.190000,2.040000,-34.400000,0.554410,9.210000,0.256684
2.800000,2.210000,2.080000,-35.200000,0.578425,8.650000,0.260250
2.700000,2.310000,2.120000,-34.800000,0.591472,8.630000,0.254902
3.100000,2.370000,2.160000,-34.600000,0.608369,8.570000,0.263815
2.600000,2.390000,2.200000,-35.400000,0.617748,9.370000,0.269162
2.900000,2.450000,2.240000,-34.200000,0.627121,8.610000,0.260250
3.000000,2.410000,2.280000,-34.800000,0.636423,9.310000,0.263815
2.900000,2.590000,2.320000,-35.000000,0.645753,8.850000,0.256684
3.100000,2.530000,2.360000,-34.600000,0.655123,9.090000,0.258467
2.900000,2.570000,2.400000,-34.400000,0.664427,8.990000,0.262032
2.800000,2.630000,2.440000,-34.800000,0.673733,8.830000,0.263815
2.700000,2.590000,2.480000,-34.800000,0.683123,9.270000,0.262032
3.000000,2.710000,2.520000,-34.600000,0.692422,8.630000,0.258467
2.800000,2.750000,2.560000,-34.800000,0.701722,9.410000,0.260250
2.900000,2.750000,2.600000,-35.000000,0.711093,8.610000,0.263815
3.000000,2.850000,2.640000,-34.600000,0.720389,9.290000,0.247772
2.800000,2.830000,2.680000,-34.600000,0.729704,8.810000,0.270945
2.900000,2.850000,2.720000,-34.800000,0.739398,8.990000,0.260250
2.800000,2.950000,2.760000,-34.600000,0.748837,9.210000,0.258467
2.800000,3.030000,2.800000,-34.600000,0.758251,8.610000,0.260250
2.600000,3.030000,2.840000,-35.400000,0.767579,9.390000,0.260250
2.600000,3.110000,2.880000,-34.200000,0.780312,8.910000,0.262032
2.800000,3.090000,2.920000,-34.400000,0.797298,8.970000,0.260250
2.600000,3.170000,2.960000,-34.600000,0.806704,8.750000,0.256684
3.200000,3.170000,3.000000,-34.400000,0.816095,9.250000,0.258467
2.700000,3.290000,3.040000,-34.800000,0.825414,8.590000,0.262032
2.600000,3.290000,3.080000,-34.600000,0.834748,9.350000,0.247772
2.900000,3.330000,3.120000,-34.600000,0.844136,8.610000,0.263815
3.000000,3.390000,3.160000,-34.800000,0.853436,9.350000,0.258467
3.000000,3.410000,3.200000,-34.200000,0.877390,8.590000,0.258467
3.000000,3.470000,3.240000,-34.800000,0.887479,9.270000,0.263815
2.800000,3.510000,3.280000,-34.600000,0.896832,8.830000,0.256684
3.000000,3.550000,3.320000,-34.800000,0.906202,8.950000,0.256684
2.800000,3.570000,3.360000,-34.400000,0.915500,9.230000,0.262032
2.800000,3.610000,3.400000,-34.800000,0.924805,8.650000,0.262032
2.700000,3.630000,3.440000,-34.800000,0.934159,9.370000,0.262032
2.800000,3.690000,3.480000,-34.800000,0.943472,8.650000,0.258467
3.100000,3.750000,3.520000,-34.600000,0.952816,9.390000,0.258467
2.700000,3.770000,3.560000,-34.800000,0.962128,8.690000,0.263815
3.100000,3.870000,3.600000,-34.800000,0.981699,9.090000,0.258467
2.800000,3.870000,3.640000,-34.600000,0.991153,8.710000,0.263815
2.800000,3.890000,3.680000,-35.000000,1.000475,9.330000,0.262032
2.800000,3.910000,3.720000,-34.600000,1.009773,8.750000,0.258467
2.800000,3.970000,3.760000,-34.800000,1.019173,9.330000,0.263815
2.600000,4.030000,3.800000,-35.200000,1.028662,8.690000,0.258467
3.000000,4.070000,3.840000,-35.400000,1.038091,9.170000,0.260250
3.000000,4.070000,3.880000,-35.000000,1.047414,8.870000,0.262032
2.800000,4.170000,3.920000,-34.800000,1.056730,8.790000,0.258467
3.100000,4.130000,3.960000,-34.400000,1.066113,9.230000,0.260250
3.000000,4.210000,4.000000,-34.600000,1.075437,8.610000,0.260250
2.700000,4.290000,4.040000,-34.600000,1.084740,9.370000,0.253119
2.900000,4.330000,4.080000,-34.000000,1.094122,8.610000,0.265597
2.800000,4.350000,4.120000,-34.800000,1.103448,9.330000,0.260250
