# Date: 20210617
# Operator: RDP
# Notes: Ni STRIKE
# Tap_cm: 2.0
# Sample: AW_Ni_SPI22_03
# Fit of Tap:
#	Ic = 181 +/- 0.018 A
#	n = 32.4 +/- 0.17 
#	Vc = 4 uV
#	Vfloor = 2.74 +/- 0.005 uV
#	R = 0.0001 +/- 5.3e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.700000,0.210000,0.000000,-34.600000,0.025892,9.210000,0.254902
2.900000,0.190000,0.040000,-34.600000,0.035681,8.870000,0.260250
2.600000,0.210000,0.080000,-34.800000,0.045256,8.830000,0.254902
2.700000,0.270000,0.120000,-35.200000,0.054584,9.290000,0.263815
2.500000,0.270000,0.160000,-34.600000,0.063907,8.630000,0.254902
2.800000,0.310000,0.200000,-34.400000,0.073285,9.430000,0.262032
2.400000,0.350000,0.240000,-34.000000,0.082603,8.670000,0.263815
2.700000,0.390000,0.280000,-34.200000,0.091928,9.310000,0.254902
2.700000,0.490000,0.320000,-34.600000,0.101316,8.850000,0.263815
2.600000,0.470000,0.360000,-34.600000,0.110629,9.030000,0.256684
2.700000,0.490000,0.400000,-34.600000,0.119924,9.150000,0.258467
2.600000,0.590000,0.440000,-34.800000,0.129288,8.770000,0.267380
2.600000,0.690000,0.480000,-34.600000,0.138617,9.330000,0.263815
2.600000,0.630000,0.520000,-34.800000,0.147954,8.710000,0.258467
2.600000,0.650000,0.560000,-34.000000,0.157353,9.410000,0.245989
2.800000,0.510000,0.600000,-34.200000,0.166798,8.690000,0.258467
2.400000,0.810000,0.640000,-43.800000,0.185605,8.990000,0.262032
2.700000,0.930000,0.680000,-34.600000,0.200940,8.790000,0.267380
2.800000,0.870000,0.720000,-34.800000,0.214321,8.630000,0.254902
2.700000,0.910000,0.760000,-34.600000,0.230956,8.650000,0.260250
2.700000,0.870000,0.800000,-34.400000,0.240433,9.390000,0.260250
2.600000,0.910000,0.840000,-34.400000,0.249742,8.690000,0.258467
2.600000,1.030000,0.880000,-34.600000,0.259030,9.230000,0.263815
2.600000,1.070000,0.920000,-34.200000,0.268403,8.970000,0.258467
2.500000,1.110000,0.960000,-34.400000,0.277712,8.970000,0.258467
2.600000,1.130000,1.000000,-34.400000,0.287032,9.210000,0.256684
2.900000,1.170000,1.040000,-34.600000,0.296418,8.770000,0.263815
2.600000,1.290000,1.080000,-34.600000,0.305703,9.390000,0.263815
2.700000,1.250000,1.120000,-35.000000,0.314992,8.670000,0.256684
2.600000,1.290000,1.160000,-34.200000,0.324364,9.410000,0.262032
2.600000,1.310000,1.200000,-34.400000,0.333663,8.750000,0.258467
2.900000,1.410000,1.240000,-34.600000,0.342959,9.190000,0.258467
2.600000,1.390000,1.280000,-34.600000,0.352336,8.990000,0.258467
2.800000,1.450000,1.320000,-34.600000,0.361623,8.850000,0.258467
2.500000,1.510000,1.360000,-34.800000,0.370923,9.270000,0.262032
2.700000,1.530000,1.400000,-34.600000,0.380340,8.670000,0.262032
2.700000,1.590000,1.440000,-34.400000,0.389651,9.390000,0.260250
2.700000,1.650000,1.480000,-34.400000,0.401972,8.950000,0.256684
2.500000,1.690000,1.520000,-34.000000,0.418684,8.970000,0.263815
2.700000,1.690000,1.560000,-34.400000,0.428198,8.910000,0.260250
2.700000,1.730000,1.600000,-34.400000,0.437514,9.290000,0.260250
2.700000,1.750000,1.640000,-34.600000,0.446837,8.650000,0.258467
2.700000,1.850000,1.680000,-34.600000,0.456235,9.410000,0.262032
2.700000,1.830000,1.720000,-34.600000,0.465565,8.670000,0.260250
2.700000,1.950000,1.760000,-34.600000,0.484307,8.910000,0.263815
2.800000,1.970000,1.800000,-34.800000,0.498281,8.690000,0.260250
3.000000,2.030000,1.840000,-34.400000,0.508517,9.330000,0.256684
2.700000,2.110000,1.880000,-34.400000,0.517881,8.830000,0.258467
2.700000,2.170000,1.920000,-34.800000,0.527253,9.010000,0.260250
3.000000,2.130000,1.960000,-34.400000,0.536556,9.150000,0.258467
2.700000,2.230000,2.000000,-34.400000,0.545856,8.790000,0.258467
2.400000,2.230000,2.040000,-35.800000,0.555290,9.350000,0.258467
2.900000,2.290000,2.080000,-35.000000,0.564609,8.610000,0.260250
2.600000,2.330000,2.120000,-34.400000,0.573928,9.390000,0.253119
2.600000,2.370000,2.160000,-34.600000,0.583298,8.670000,0.262032
2.700000,2.330000,2.200000,-34.200000,0.602755,9.050000,0.256684
2.600000,2.410000,2.240000,-35.400000,0.612233,8.850000,0.254902
2.700000,2.490000,2.280000,-34.600000,0.621560,9.350000,0.258467
2.800000,2.510000,2.320000,-34.600000,0.630890,8.570000,0.265597
2.700000,2.510000,2.360000,-34.400000,0.640217,9.430000,0.262032
2.700000,2.590000,2.400000,-33.800000,0.649589,8.670000,0.262032
2.800000,2.670000,2.440000,-34.600000,0.658921,9.650000,0.254902
2.700000,2.730000,2.480000,-34.200000,0.668451,9.010000,0.260250
2.700000,2.710000,2.520000,-34.600000,0.677808,8.950000,0.260250
2.800000,2.730000,2.560000,-34.600000,0.687206,9.250000,0.253119
2.800000,2.790000,2.600000,-34.800000,0.696535,8.710000,0.267380
2.500000,2.910000,2.640000,-34.800000,0.705852,9.410000,0.263815
2.700000,2.950000,2.680000,-34.800000,0.715300,8.670000,0.254902
2.800000,2.910000,2.720000,-34.400000,0.724640,9.350000,0.262032
2.700000,2.870000,2.760000,-34.800000,0.733966,8.750000,0.260250
2.900000,3.030000,2.800000,-34.800000,0.743309,9.110000,0.263815
2.600000,3.070000,2.840000,-34.600000,0.752612,9.090000,0.258467
2.600000,3.090000,2.880000,-34.600000,0.761963,8.850000,0.249554
2.600000,3.170000,2.920000,-34.600000,0.771383,9.350000,0.256684
2.800000,3.230000,2.960000,-34.400000,0.805715,9.350000,0.263815
2.600000,3.330000,3.000000,-35.200000,0.815321,8.670000,0.260250
2.900000,3.230000,3.040000,-34.600000,0.824640,9.370000,0.260250
2.600000,3.190000,3.080000,-34.800000,0.833951,8.670000,0.260250
2.700000,3.310000,3.120000,-37.600000,0.843610,8.710000,0.258467
2.600000,3.370000,3.160000,-34.400000,0.853075,9.130000,0.258467
2.700000,3.410000,3.200000,-34.800000,0.862474,8.790000,0.253119
2.600000,3.470000,3.240000,-34.600000,0.871808,9.390000,0.254902
2.700000,3.490000,3.280000,-34.600000,0.881103,8.530000,0.262032
2.400000,3.530000,3.320000,-34.400000,0.890445,9.390000,0.260250
2.700000,3.610000,3.360000,-33.600000,0.899765,8.670000,0.258467
2.900000,3.610000,3.400000,-34.200000,0.909200,9.370000,0.256684
2.600000,3.650000,3.440000,-34.200000,0.918626,8.970000,0.260250
2.700000,3.690000,3.480000,-34.400000,0.927965,8.890000,0.263815
2.800000,3.730000,3.520000,-34.400000,0.937390,9.250000,0.258467
