# Date: 20210617
# Operator: RDP
# Notes: Ni STRIKE
# Tap_cm: 2.0
# Sample: AW_Ni_SPI22_04
# Fit of Tap:
#	Ic = 80.5 A
#	n = 148 
#	Vc = 4 uV
#	Vfloor = 2.15 uV
#	R = 0.0512 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.900000,0.210000,0.000000,-34.400000,0.061741,8.850000,0.262032
1.800000,0.250000,0.040000,-33.200000,0.099693,9.110000,0.262032
2.300000,0.190000,0.080000,-34.400000,0.110349,8.950000,0.229947
2.300000,0.230000,0.120000,-34.400000,0.119988,9.110000,0.260250
2.200000,0.210000,0.160000,-34.200000,0.129475,8.970000,0.253119
2.000000,0.330000,0.200000,-34.200000,0.139496,8.910000,0.254902
1.900000,0.390000,0.240000,-34.400000,0.149491,9.130000,0.247772
2.200000,0.370000,0.280000,-34.400000,0.159452,8.830000,0.258467
2.000000,0.610000,0.320000,-34.000000,0.169600,9.150000,0.262032
2.100000,0.490000,0.360000,-34.600000,0.179505,8.950000,0.251337
1.700000,0.510000,0.400000,-34.600000,0.189475,8.910000,0.258467
1.800000,0.610000,0.440000,-34.400000,0.203630,9.090000,0.256684
1.900000,0.590000,0.480000,-34.400000,0.225907,8.950000,0.253119
2.100000,0.610000,0.520000,-34.200000,0.235768,9.190000,0.258467
2.000000,0.670000,0.560000,-35.400000,0.260564,8.830000,0.270945
2.300000,0.750000,0.600000,-34.600000,0.271225,9.030000,0.260250
2.300000,1.150000,0.640000,-34.600000,0.281313,8.890000,0.260250
2.100000,0.810000,0.680000,-34.400000,0.291233,8.930000,0.256684
2.000000,0.810000,0.720000,-33.800000,0.301310,9.150000,0.262032
1.900000,0.890000,0.760000,-34.400000,0.311299,8.590000,0.258467
2.200000,0.870000,0.800000,-34.600000,0.320973,9.030000,0.258467
2.000000,0.830000,0.840000,-34.400000,0.330654,8.990000,0.260250
2.100000,1.010000,0.880000,-34.200000,0.340353,8.870000,0.279857
2.000000,1.090000,0.920000,-33.800000,0.350235,9.330000,0.262032
