# Date: 20210617
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_Ni_SPI57_04
# Fit of Tap:
#	Ic = 163 +/- 0.02 A
#	n = 38 +/- 0.31 
#	Vc = 3 uV
#	Vfloor = 1.86 +/- 0.0053 uV
#	R = 0.0001 +/- 5.7e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.700000,0.150000,0.000000,-36.800000,0.033300,8.990000,0.262032
1.700000,0.190000,0.040000,-36.800000,0.043204,9.130000,0.260250
1.800000,0.250000,0.080000,-37.000000,0.052921,8.630000,0.260250
1.800000,0.310000,0.120000,-38.200000,0.062494,8.990000,0.262032
2.100000,0.090000,0.160000,-37.000000,0.072406,8.790000,0.260250
1.800000,0.570000,0.200000,-41.600000,0.082428,9.090000,0.262032
1.800000,0.370000,0.240000,-36.800000,0.093180,9.050000,0.256684
2.100000,0.350000,0.280000,-37.600000,0.102890,8.590000,0.260250
1.700000,0.430000,0.320000,-36.800000,0.112464,9.290000,0.262032
1.800000,0.470000,0.360000,-37.400000,0.122119,8.670000,0.263815
1.700000,0.550000,0.400000,-38.200000,0.141389,8.950000,0.262032
1.600000,0.630000,0.440000,-37.200000,0.156591,8.810000,0.258467
1.600000,0.570000,0.480000,-37.000000,0.167236,8.850000,0.258467
1.800000,0.630000,0.520000,-37.200000,0.176810,9.110000,0.258467
1.900000,0.670000,0.560000,-37.200000,0.186494,8.670000,0.260250
1.900000,0.650000,0.600000,-36.800000,0.196053,9.350000,0.263815
2.000000,0.670000,0.640000,-37.000000,0.205631,8.710000,0.265597
1.700000,0.850000,0.680000,-37.000000,0.215224,9.110000,0.260250
1.900000,0.290000,0.720000,-36.800000,0.226420,9.310000,0.276292
1.900000,0.910000,0.760000,-37.000000,0.248205,9.230000,0.260250
1.900000,0.870000,0.800000,-36.800000,0.257995,8.890000,0.256684
1.900000,0.950000,0.840000,-37.000000,0.267626,8.830000,0.262032
1.800000,0.990000,0.880000,-37.400000,0.277501,9.130000,0.274510
1.900000,1.010000,0.920000,-36.600000,0.288730,8.610000,0.237077
2.000000,1.110000,0.960000,-42.000000,0.300843,8.930000,0.258467
1.700000,1.090000,1.000000,-37.000000,0.312334,9.330000,0.281640
1.700000,1.190000,1.040000,-36.800000,0.322369,8.770000,0.256684
1.800000,1.190000,1.080000,-36.800000,0.332043,9.150000,0.260250
1.800000,1.250000,1.120000,-37.800000,0.341782,8.930000,0.265597
1.900000,1.310000,1.160000,-37.800000,0.351378,8.830000,0.256684
1.800000,1.310000,1.200000,-36.800000,0.361086,9.230000,0.262032
2.000000,1.350000,1.240000,-37.000000,0.370644,8.670000,0.260250
1.800000,1.430000,1.280000,-36.800000,0.380229,9.350000,0.258467
1.900000,1.490000,1.320000,-37.000000,0.389753,8.870000,0.262032
1.700000,1.470000,1.360000,-37.200000,0.399295,9.090000,0.260250
2.100000,1.490000,1.400000,-37.000000,0.408991,8.990000,0.263815
1.700000,1.530000,1.440000,-37.000000,0.418602,8.810000,0.270945
1.800000,1.570000,1.480000,-36.600000,0.429465,9.450000,0.262032
1.800000,1.670000,1.520000,-36.800000,0.465320,9.070000,0.260250
1.800000,1.670000,1.560000,-36.600000,0.475117,8.970000,0.260250
2.100000,1.710000,1.600000,-37.000000,0.484698,8.830000,0.258467
1.900000,1.750000,1.640000,-37.000000,0.494246,9.210000,0.263815
1.900000,1.810000,1.680000,-37.000000,0.503898,8.750000,0.263815
1.800000,1.590000,1.720000,-36.800000,0.517275,9.790000,0.197861
1.700000,1.830000,1.760000,-37.200000,0.527095,9.110000,0.263815
1.800000,1.890000,1.800000,-37.000000,0.536688,8.610000,0.262032
1.900000,1.970000,1.840000,-37.000000,0.546448,9.410000,0.258467
1.900000,1.930000,1.880000,-37.000000,0.556131,8.790000,0.265597
1.900000,2.110000,1.920000,-37.400000,0.567475,9.010000,0.260250
1.900000,2.050000,1.960000,-39.000000,0.581050,9.490000,0.254902
