# Date: 20210617
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_Ni_SPI57_03
# Fit of Tap:
#	Ic = 116 +/- 1.5 A
#	n = 57.5 +/- 15 
#	Vc = 3 uV
#	Vfloor = 2 +/- 0.0057 uV
#	R = 0.67 +/- 9.5e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.900000,0.130000,0.000000,-35.800000,0.070229,0.170000,-4.199643
1.800000,0.330000,0.040000,-35.800000,0.108021,0.130000,-4.573975
1.800000,0.210000,0.080000,-36.000000,0.118517,0.130000,-4.188948
1.800000,0.270000,0.120000,-35.400000,0.128120,0.150000,-4.563280
2.000000,0.270000,0.160000,-35.200000,0.137846,0.130000,-4.260250
1.900000,0.330000,0.200000,-36.200000,0.147459,0.110000,-4.344029
2.100000,0.390000,0.240000,-35.800000,0.157155,0.070000,-4.497326
2.100000,0.370000,0.280000,-35.600000,0.166884,0.110000,-4.174688
1.900000,0.390000,0.320000,-35.400000,0.176506,0.130000,-4.634581
2.000000,0.410000,0.360000,-36.000000,0.186102,0.090000,-4.201426
2.100000,0.530000,0.400000,-35.800000,0.195807,0.150000,-4.497326
2.100000,0.590000,0.440000,-35.600000,0.205389,0.150000,-4.333333
2.000000,0.490000,0.480000,-36.200000,0.217132,0.150000,-4.181818
1.900000,0.570000,0.520000,-35.800000,0.226920,0.110000,-4.638146
1.800000,0.650000,0.560000,-36.000000,0.248627,0.190000,-4.262032
1.700000,0.470000,0.600000,-36.400000,0.258607,0.110000,-4.602496
1.900000,0.790000,0.640000,-37.400000,0.268668,0.130000,-4.192513
1.800000,0.770000,0.680000,-37.200000,0.279523,0.170000,-4.554367
1.900000,0.870000,0.720000,-36.600000,0.304489,0.130000,-4.269162
1.800000,0.890000,0.760000,-36.000000,0.318998,0.070000,-4.208556
1.800000,0.870000,0.800000,-38.400000,0.329897,0.450000,-4.477718
2.000000,0.970000,0.840000,-40.000000,0.340186,0.110000,-4.475936
1.700000,1.030000,0.880000,-35.800000,0.349993,0.150000,-4.201426
2.200000,1.010000,0.920000,-35.600000,0.359577,0.110000,-4.652406
1.900000,1.090000,0.960000,-35.600000,0.369290,0.050000,-4.213904
1.800000,1.090000,1.000000,-35.400000,0.379073,0.130000,-4.525847
1.900000,1.090000,1.040000,-35.800000,0.388786,0.130000,-4.342246
2.100000,1.190000,1.080000,-36.000000,0.398355,0.130000,-4.306595
1.600000,1.130000,1.120000,-35.800000,0.408042,0.110000,-4.582888
2.000000,1.270000,1.160000,-37.400000,0.418113,0.090000,-4.172906
1.800000,1.310000,1.200000,-35.800000,0.427874,0.150000,-4.586453
2.100000,1.350000,1.240000,-35.800000,0.440923,0.130000,-4.520499
1.700000,1.370000,1.280000,-36.000000,0.458190,0.090000,-4.595365
2.100000,1.390000,1.320000,-35.600000,0.467914,0.190000,-4.176471
2.100000,1.470000,1.360000,-35.800000,0.477506,0.130000,-4.627451
2.100000,1.570000,1.400000,-36.600000,0.488522,0.050000,-4.244207
1.800000,1.570000,1.440000,-36.200000,0.499291,0.130000,-4.229947
1.800000,1.650000,1.480000,-35.800000,0.508939,0.130000,-4.631016
1.900000,1.650000,1.520000,-36.000000,0.518673,0.110000,-4.203209
2.000000,1.730000,1.560000,-36.000000,0.528315,0.170000,-4.581105
2.000000,1.750000,1.600000,-35.400000,0.538163,0.130000,-4.281640
2.200000,1.970000,1.640000,-41.000000,0.549842,0.150000,-4.238859
1.800000,1.750000,1.680000,-36.600000,0.562004,0.050000,-4.566845
2.100000,2.810000,1.720000,-37.400000,0.571941,0.150000,-4.327986
1.900000,1.890000,1.760000,-35.800000,0.581584,0.130000,-4.333333
1.800000,1.890000,1.800000,-35.600000,0.606165,0.150000,-4.392157
2.000000,2.030000,1.840000,-35.400000,0.617502,0.110000,-4.153298
2.100000,2.010000,1.880000,-36.000000,0.627278,0.150000,-4.629234
1.900000,2.110000,1.920000,-35.800000,0.637058,0.170000,-4.204991
2.000000,2.170000,1.960000,-35.800000,0.646796,0.170000,-4.440285
2.000000,2.150000,2.000000,-35.800000,0.666997,0.150000,-4.192513
1.900000,2.210000,2.040000,-35.800000,0.676750,0.130000,-4.639929
1.900000,2.230000,2.080000,-36.200000,0.686333,0.070000,-4.204991
1.800000,2.270000,2.120000,-35.600000,0.696053,0.090000,-4.504456
2.000000,2.230000,2.160000,-38.200000,0.705811,0.030000,-4.352941
1.700000,2.370000,2.200000,-36.000000,0.715405,0.050000,-4.279857
1.600000,2.410000,2.240000,-35.800000,0.725048,0.110000,-4.597148
1.600000,2.470000,2.280000,-36.000000,0.734768,0.130000,-4.178253
1.900000,2.470000,2.320000,-35.800000,0.744370,0.170000,-4.622103
2.000000,2.590000,2.360000,-36.000000,0.754063,0.130000,-4.238859
1.900000,2.530000,2.400000,-36.000000,0.764328,0.410000,-4.418895
1.900000,2.510000,2.440000,-38.000000,0.778728,0.110000,-4.625668
1.800000,2.690000,2.480000,-35.800000,0.789950,0.190000,-4.402852
2.000000,2.690000,2.520000,-35.600000,0.799553,0.150000,-4.221034
1.600000,2.750000,2.560000,-36.000000,0.809384,0.170000,-4.636364
