# Date: 20210617
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_Ni_SPI57_05
# Fit of Tap:
#	Ic = 87.5 +/- 3.2 A
#	n = 205 +/- 4.1e+02 
#	Vc = 3 uV
#	Vfloor = 2.46 +/- 0.0094 uV
#	R = 0.00189 +/- 0.00019 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.200000,0.230000,0.000000,-36.000000,0.070634,0.150000,-4.481283
1.900000,0.170000,0.040000,-35.800000,0.106739,0.070000,-4.242424
2.100000,0.170000,0.080000,-35.800000,0.117002,0.090000,-4.645276
2.400000,0.270000,0.120000,-36.200000,0.127482,0.110000,-4.238859
2.400000,0.270000,0.160000,-36.800000,0.137748,0.090000,-4.438503
2.300000,0.330000,0.200000,-38.400000,0.159087,0.130000,-4.171123
2.300000,0.350000,0.240000,-36.000000,0.175445,0.130000,-4.169340
2.400000,0.330000,0.280000,-35.600000,0.186733,0.150000,-4.529412
2.500000,0.510000,0.320000,-35.400000,0.197028,0.050000,-4.438503
2.200000,0.490000,0.360000,-35.600000,0.207509,0.150000,-4.199643
2.400000,0.670000,0.400000,-41.000000,0.231851,0.110000,-4.563280
2.400000,0.530000,0.440000,-35.800000,0.241453,0.270000,-4.178253
2.400000,0.610000,0.480000,-36.200000,0.251097,0.190000,-4.634581
2.400000,0.630000,0.520000,-36.000000,0.260830,0.130000,-4.237077
2.200000,0.630000,0.560000,-36.600000,0.270473,0.110000,-4.497326
2.100000,0.830000,0.600000,-37.400000,0.285940,0.090000,-4.597148
2.300000,0.730000,0.640000,-40.400000,0.299303,0.130000,-4.573975
2.400000,0.830000,0.680000,-41.400000,0.311688,-0.130000,-4.219251
2.300000,0.850000,0.720000,-36.000000,0.322257,0.090000,-4.336898
2.300000,0.890000,0.760000,-34.400000,0.332583,-0.070000,-4.598930
2.500000,0.910000,0.800000,-35.800000,0.343696,0.110000,-4.197861
2.400000,0.950000,0.840000,-36.000000,0.354060,0.170000,-4.465241
2.100000,0.970000,0.880000,-35.800000,0.364399,0.230000,-4.486631
2.400000,1.130000,0.920000,-35.800000,0.374638,0.250000,-4.183601
2.300000,1.250000,0.960000,-35.600000,0.384867,0.230000,-4.622103
2.200000,1.170000,1.000000,-35.800000,0.395288,0.150000,-4.283422
2.200000,1.150000,1.040000,-35.400000,0.420985,0.070000,-4.465241
2.400000,1.190000,1.080000,-35.600000,0.431362,0.250000,-4.518717
2.400000,1.170000,1.120000,-35.600000,0.441616,0.190000,-4.178253
2.200000,1.170000,1.160000,-35.600000,0.470035,0.150000,-4.552585
2.300000,1.330000,1.200000,-35.800000,0.481192,0.210000,-4.497326
2.200000,1.430000,1.240000,-36.000000,0.491535,0.150000,-4.178253
2.300000,1.430000,1.280000,-39.200000,0.503614,-0.410000,-4.527629
2.200000,1.470000,1.320000,-35.800000,0.513989,0.110000,-4.456328
2.300000,1.470000,1.360000,-36.200000,0.524512,0.130000,-4.213904
2.400000,1.590000,1.400000,-36.000000,0.534843,0.130000,-4.652406
2.100000,1.650000,1.440000,-36.800000,0.545466,0.110000,-4.313725
2.200000,1.630000,1.480000,-39.000000,0.556073,0.110000,-4.336898
2.200000,1.610000,1.520000,-41.000000,0.567702,0.190000,-4.680927
2.200000,1.670000,1.560000,-36.000000,0.577329,0.450000,-4.272727
2.200000,1.750000,1.600000,-36.000000,0.586956,0.110000,-4.532977
2.000000,1.830000,1.640000,-36.000000,0.607500,0.150000,-4.217469
2.300000,1.830000,1.680000,-36.200000,0.617076,0.170000,-4.648841
2.100000,1.850000,1.720000,-36.000000,0.627234,0.490000,-4.231729
2.400000,1.950000,1.760000,-35.600000,0.636953,0.090000,-4.520499
2.300000,1.850000,1.800000,-35.400000,0.646608,0.110000,-4.390374
2.100000,2.050000,1.840000,-35.800000,0.656221,0.170000,-4.288770
2.400000,2.050000,1.880000,-35.200000,0.665874,0.150000,-4.588235
2.500000,1.930000,1.920000,-36.000000,0.675401,0.150000,-4.169340
2.200000,2.110000,1.960000,-35.800000,0.684942,0.130000,-4.627451
2.400000,1.730000,2.000000,-36.200000,0.694758,0.130000,-4.270945
2.300000,2.250000,2.040000,-36.000000,0.704301,0.150000,-4.470588
2.200000,2.230000,2.080000,-36.200000,0.713946,0.050000,-4.456328
2.200000,2.250000,2.120000,-36.400000,0.723594,0.110000,-4.245989
2.100000,2.310000,2.160000,-36.000000,0.733131,0.110000,-4.618538
2.400000,2.410000,2.200000,-36.200000,0.742784,0.130000,-4.174688
2.100000,2.370000,2.240000,-35.800000,0.766647,0.110000,-4.627451
2.200000,2.670000,2.280000,-40.200000,0.781042,-0.270000,-4.474153
2.400000,2.490000,2.320000,-35.800000,0.805318,0.130000,-4.376114
2.200000,2.470000,2.360000,-35.800000,0.814959,0.190000,-4.525847
2.200000,2.610000,2.400000,-36.000000,0.824687,0.070000,-4.180036
2.100000,2.650000,2.440000,-36.200000,0.834285,0.130000,-4.639929
2.200000,2.710000,2.480000,-36.600000,0.844561,0.170000,-4.231729
2.300000,2.890000,2.520000,-40.400000,0.855304,0.130000,-4.392157
2.300000,2.810000,2.560000,-41.200000,0.866950,0.090000,-4.652406
2.200000,3.650000,2.600000,-36.600000,0.876664,0.090000,-4.172906
2.200000,2.790000,2.640000,-36.000000,0.886248,0.170000,-4.518717
2.300000,2.810000,2.680000,-35.800000,0.895969,0.110000,-4.322638
2.300000,2.930000,2.720000,-35.800000,0.905708,0.090000,-4.336898
2.200000,2.890000,2.760000,-36.200000,0.915353,0.190000,-4.536542
2.400000,2.930000,2.800000,-36.200000,0.924954,0.130000,-4.181818
2.100000,3.150000,2.840000,-36.200000,0.934615,0.190000,-4.643494
2.300000,3.230000,2.880000,-35.800000,0.944187,0.110000,-4.208556
2.300000,3.130000,2.920000,-38.200000,0.953876,0.090000,-4.508021
2.500000,3.150000,2.960000,-36.200000,0.963396,0.150000,-4.385027
