# Date: 20210617
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_Ni_SPI57_05
# Fit of Tap:
#	Ic = 161 +/- 0.033 A
#	n = 45.3 +/- 0.7 
#	Vc = 3 uV
#	Vfloor = 2.24 +/- 0.0096 uV
#	R = 0.0001 +/- 3e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.100000,0.190000,0.000000,-36.200000,0.033202,0.110000,-4.165775
1.900000,0.210000,0.040000,-36.600000,0.043871,0.070000,-4.582888
1.800000,0.370000,0.080000,-36.600000,0.053532,0.050000,-4.247772
1.900000,0.210000,0.120000,-36.600000,0.063202,0.090000,-4.399287
2.100000,0.190000,0.160000,-36.600000,0.072757,0.190000,-4.454545
1.800000,0.350000,0.200000,-37.000000,0.082471,0.210000,-4.190731
1.800000,0.390000,0.240000,-35.800000,0.101714,0.070000,-4.155080
2.100000,0.310000,0.280000,-36.200000,0.117079,0.130000,-4.131907
1.700000,0.410000,0.320000,-36.000000,0.127536,0.070000,-4.568627
2.000000,0.530000,0.360000,-36.400000,0.137250,0.110000,-4.242424
2.000000,0.510000,0.400000,-36.800000,0.146806,0.130000,-4.368984
2.000000,0.570000,0.440000,-36.000000,0.156482,0.150000,-4.463458
2.200000,0.670000,0.480000,-36.200000,0.166058,0.090000,-4.181818
1.900000,0.650000,0.520000,-36.800000,0.175751,0.050000,-4.622103
1.900000,0.690000,0.560000,-36.600000,0.185676,0.130000,-4.181818
1.800000,0.710000,0.600000,-36.000000,0.195417,0.090000,-4.497326
2.000000,0.770000,0.640000,-36.200000,0.205002,0.070000,-4.354724
1.800000,0.950000,0.680000,-41.200000,0.228032,0.170000,-4.552585
2.000000,1.030000,0.720000,-39.000000,0.237762,0.070000,-4.311943
2.000000,0.830000,0.760000,-38.400000,0.247561,0.130000,-4.331551
2.000000,0.590000,0.800000,-36.600000,0.257376,0.090000,-4.532977
2.100000,0.930000,0.840000,-36.400000,0.267242,0.150000,-4.151515
2.200000,0.950000,0.880000,-37.000000,0.277319,0.070000,-4.602496
2.000000,1.330000,0.920000,-38.400000,0.288358,0.290000,-4.322638
1.800000,1.110000,0.960000,-41.200000,0.300316,0.190000,-4.178253
2.300000,1.110000,1.000000,-35.800000,0.310239,0.030000,-4.609626
1.700000,1.170000,1.040000,-37.600000,0.321098,0.350000,-4.301248
1.700000,1.210000,1.080000,-36.200000,0.330900,0.150000,-4.313725
2.000000,1.230000,1.120000,-36.200000,0.340520,0.010000,-4.522282
2.100000,1.330000,1.160000,-36.200000,0.350219,0.110000,-4.153298
2.000000,1.350000,1.200000,-36.200000,0.360331,0.250000,-4.600713
