# Date: 20210617
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_Ni_SPI57_06
# Fit of Tap:
#	Ic = 64.1 A
#	n = 18 
#	Vc = 3 uV
#	Vfloor = 1.36 uV
#	R = 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.230000,0.000000,-37.600000,0.035854,0.050000,-4.269162
1.600000,0.250000,0.040000,-37.400000,0.050083,0.070000,-4.078431
1.600000,0.250000,0.080000,-37.600000,0.060416,0.210000,-4.538324
1.400000,0.230000,0.120000,-37.400000,0.069968,0.090000,-4.361854
1.200000,0.490000,0.160000,-46.600000,0.084791,-0.210000,-4.165775
1.500000,0.290000,0.200000,-40.400000,0.094700,-0.170000,-4.434938
1.600000,0.170000,0.240000,-37.600000,0.104327,0.110000,-4.450980
1.500000,0.290000,0.280000,-37.800000,0.113919,0.150000,-4.151515
1.500000,0.370000,0.320000,-37.400000,0.124293,0.090000,-4.672014
1.400000,0.330000,0.360000,-38.400000,0.134199,0.070000,-4.108734
1.500000,0.390000,0.400000,-40.400000,0.145841,0.130000,-4.324421
1.200000,0.790000,0.440000,-42.400000,0.159009,-0.090000,-4.677362
1.500000,0.750000,0.480000,-43.000000,0.171515,0.190000,-4.491979
1.400000,0.570000,0.520000,-37.200000,0.181275,0.090000,-4.099822
1.500000,0.570000,0.560000,-37.000000,0.190948,0.110000,-4.688057
1.400000,0.670000,0.600000,-37.000000,0.200720,0.130000,-4.101604
1.400000,0.750000,0.640000,-37.000000,0.210387,0.270000,-4.527629
1.500000,0.790000,0.680000,-37.200000,0.219971,0.150000,-4.345811
1.500000,0.870000,0.720000,-37.400000,0.233040,0.110000,-4.049911
1.400000,0.830000,0.760000,-37.000000,0.250714,0.130000,-4.103387
1.600000,0.870000,0.800000,-37.000000,0.260274,0.170000,-4.540107
1.600000,0.930000,0.840000,-37.000000,0.269953,0.070000,-4.342246
1.400000,0.990000,0.880000,-36.800000,0.279651,0.110000,-4.245989
1.600000,1.050000,0.920000,-37.000000,0.310905,0.110000,-4.475936
1.400000,1.070000,0.960000,-37.000000,0.321285,-0.010000,-4.483066
1.300000,1.050000,1.000000,-37.200000,0.330982,0.130000,-4.106952
1.300000,1.110000,1.040000,-37.400000,0.340677,0.150000,-4.675579
1.200000,1.170000,1.080000,-37.000000,0.350228,0.170000,-4.069519
1.600000,1.250000,1.120000,-37.000000,0.359910,0.190000,-4.565062
1.500000,1.230000,1.160000,-37.000000,0.369448,0.070000,-4.269162
1.600000,1.330000,1.200000,-40.000000,0.379935,0.190000,-4.304813
1.400000,1.370000,1.240000,-37.600000,0.390901,0.090000,-4.679144
1.600000,1.370000,1.280000,-37.400000,0.401201,0.070000,-4.126560
1.500000,1.450000,1.320000,-37.000000,0.411353,0.010000,-4.445633
1.400000,1.470000,1.360000,-37.200000,0.421540,-0.030000,-4.483066
1.600000,1.550000,1.400000,-37.400000,0.438552,0.250000,-4.040998
1.500000,1.610000,1.440000,-40.600000,0.462009,-0.130000,-4.349376
1.700000,1.570000,1.480000,-37.000000,0.471887,0.410000,-4.556150
1.600000,1.630000,1.520000,-37.200000,0.481643,0.070000,-4.078431
1.400000,1.710000,1.560000,-37.400000,0.491235,0.130000,-4.677362
1.500000,1.730000,1.600000,-37.400000,0.500919,0.190000,-4.106952
1.600000,1.730000,1.640000,-37.400000,0.510479,0.330000,-4.518717
1.500000,1.830000,1.680000,-37.400000,0.520042,0.150000,-4.345811
1.400000,1.870000,1.720000,-37.000000,0.529731,0.130000,-4.238859
1.400000,1.870000,1.760000,-37.600000,0.539321,0.110000,-4.591800
1.400000,1.970000,1.800000,-37.400000,0.548971,0.130000,-4.051693
1.400000,1.930000,1.840000,-37.400000,0.558622,0.090000,-4.664884
1.300000,2.050000,1.880000,-37.400000,0.568189,0.070000,-4.151515
1.400000,2.050000,1.920000,-37.400000,0.577869,0.090000,-4.472371
1.500000,2.070000,1.960000,-37.200000,0.602243,0.130000,-4.212121
1.300000,2.090000,2.000000,-38.000000,0.612687,0.150000,-4.283422
1.500000,2.170000,2.040000,-37.400000,0.622254,0.130000,-4.570410
1.400000,1.850000,2.080000,-37.400000,0.631965,0.090000,-4.073084
1.500000,2.270000,2.120000,-37.200000,0.641668,0.170000,-4.695187
1.600000,2.310000,2.160000,-42.800000,0.664082,0.030000,-4.286988
1.600000,2.510000,2.200000,-42.800000,0.676572,-0.030000,-4.590018
1.500000,2.170000,2.240000,-37.400000,0.686277,0.090000,-4.281640
1.500000,2.410000,2.280000,-37.600000,0.696046,0.190000,-4.290553
1.700000,2.430000,2.320000,-37.400000,0.705865,0.150000,-4.597148
1.500000,2.530000,2.360000,-37.000000,0.715740,0.090000,-4.055258
1.500000,2.550000,2.400000,-39.800000,0.727744,0.290000,-4.547237
1.300000,2.550000,2.440000,-42.600000,0.739710,-0.050000,-4.631016
1.300000,1.790000,2.480000,-37.000000,0.749346,-0.030000,-4.026738
1.400000,2.650000,2.520000,-37.000000,0.758969,0.150000,-4.652406
1.500000,2.730000,2.560000,-37.000000,0.768685,0.090000,-4.181818
1.600000,2.750000,2.600000,-37.200000,0.778311,0.070000,-4.393939
1.500000,2.890000,2.640000,-37.000000,0.797318,0.110000,-4.149733
1.600000,2.810000,2.680000,-37.000000,0.809746,0.170000,-4.604278
1.500000,2.870000,2.720000,-37.000000,0.819390,0.110000,-4.242424
