# Date: 20210622
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_SPI_001
# Fit of Tap:
#	Ic = 7.11 A
#	n = 50 
#	Vc = 3 uV
#	Vfloor = 1.23 uV
#	R = 0.199 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.600000,0.250000,0.000000,-30.200000,0.059863,0.170000,-4.497326
0.600000,0.230000,0.020000,-31.600000,0.090184,0.170000,-4.190731
1.000000,0.210000,0.040000,-30.200000,0.114672,0.210000,-4.714795
0.900000,0.250000,0.060000,-30.600000,0.125020,0.190000,-4.315508
0.900000,0.250000,0.080000,-30.600000,0.134446,0.190000,-4.397504
0.900000,0.250000,0.100000,-30.200000,0.143865,0.210000,-4.568627
0.700000,0.250000,0.120000,-30.400000,0.153205,0.210000,-4.183601
0.800000,0.290000,0.140000,-30.400000,0.162553,0.170000,-4.745098
0.700000,0.270000,0.160000,-30.600000,0.171972,0.170000,-4.122995
0.800000,0.290000,0.180000,-30.200000,0.181361,0.190000,-4.720143
0.700000,0.310000,0.200000,-30.400000,0.190767,0.150000,-4.242424
0.500000,0.350000,0.220000,-30.600000,0.200108,0.150000,-4.520499
1.000000,0.330000,0.240000,-30.400000,0.209449,0.190000,-4.467023
0.800000,0.330000,0.260000,-30.200000,0.218867,0.150000,-4.286988
0.700000,0.350000,0.280000,-30.400000,0.231470,0.170000,-4.702317
0.700000,0.410000,0.300000,-30.800000,0.249436,0.150000,-4.604278
1.000000,0.670000,0.320000,-30.000000,0.259025,0.170000,-4.402852
0.700000,0.470000,0.340000,-29.600000,0.268511,0.110000,-4.315508
1.000000,0.450000,0.360000,-30.400000,0.277949,0.190000,-4.641711
0.900000,0.530000,0.380000,-30.400000,0.287310,0.330000,-4.128342
0.700000,0.470000,0.400000,-30.400000,0.296657,0.170000,-4.762923
0.800000,0.530000,0.420000,-30.600000,0.306099,0.230000,-4.151515
1.200000,0.510000,0.440000,-30.200000,0.315431,0.170000,-4.661319
0.800000,0.590000,0.460000,-30.400000,0.324766,0.210000,-4.303030
0.800000,0.590000,0.480000,-30.600000,0.334184,0.250000,-4.442068
0.800000,0.630000,0.500000,-31.200000,0.343539,0.190000,-4.549020
0.600000,0.530000,0.520000,-30.200000,0.353013,0.210000,-4.213904
0.800000,0.650000,0.540000,-30.600000,0.362359,0.190000,-4.746881
0.800000,0.670000,0.560000,-30.400000,0.371787,0.210000,-4.122995
0.600000,0.750000,0.580000,-30.400000,0.390685,0.170000,-4.254902
0.700000,0.710000,0.600000,-30.400000,0.405583,0.170000,-4.135472
1.000000,0.710000,0.620000,-30.600000,0.415727,0.190000,-4.627451
