# Date: 20210622
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_SPI_001
# Fit of Tap:
#	Ic = 147 +/- 0.027 A
#	n = 32.8 +/- 0.28 
#	Vc = 3 uV
#	Vfloor = 1.08 +/- 0.0069 uV
#	R = 0.000719 +/- 9e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.000000,0.430000,0.000000,-30.600000,0.028318,0.210000,-4.105169
0.700000,0.230000,0.040000,-30.400000,0.053097,0.170000,-4.732620
1.100000,0.310000,0.080000,-30.600000,0.062843,0.470000,-4.151515
1.000000,0.230000,0.120000,-39.400000,0.070154,0.170000,-4.757576
0.700000,0.290000,0.160000,-40.600000,0.077425,0.150000,-4.142602
1.200000,0.270000,0.200000,-39.600000,0.084683,0.150000,-4.632799
0.900000,0.350000,0.240000,-39.000000,0.091925,0.170000,-4.333333
0.700000,0.390000,0.280000,-39.200000,0.099212,0.170000,-4.395722
1.100000,0.370000,0.320000,-39.800000,0.106480,0.090000,-4.577540
1.000000,0.490000,0.360000,-40.400000,0.114669,0.070000,-4.222816
0.800000,0.470000,0.400000,-32.600000,0.124140,0.110000,-4.497326
1.100000,0.550000,0.440000,-30.600000,0.133568,0.210000,-4.475936
0.900000,0.630000,0.480000,-30.200000,0.143016,0.170000,-4.260250
0.900000,0.590000,0.520000,-30.600000,0.152439,0.330000,-4.705882
1.000000,0.670000,0.560000,-30.400000,0.161853,0.230000,-4.124777
1.000000,0.730000,0.600000,-30.600000,0.171339,0.190000,-4.743316
0.900000,0.790000,0.640000,-31.000000,0.180712,0.150000,-4.201426
1.100000,0.830000,0.680000,-30.400000,0.190166,0.170000,-4.598930
0.900000,0.810000,0.720000,-30.600000,0.199542,0.050000,-4.409982
1.000000,0.870000,0.760000,-30.400000,0.212364,0.230000,-4.126560
0.900000,0.930000,0.800000,-30.600000,0.229585,0.130000,-4.146168
0.700000,0.950000,0.840000,-30.800000,0.239127,0.210000,-4.686275
0.700000,0.990000,0.880000,-30.600000,0.248483,0.190000,-4.278075
0.900000,1.050000,0.920000,-30.800000,0.257824,0.130000,-4.458111
1.000000,1.070000,0.960000,-30.600000,0.267382,0.190000,-4.499109
0.600000,1.050000,1.000000,-30.600000,0.276750,0.170000,-4.217469
0.800000,1.150000,1.040000,-30.800000,0.286171,0.170000,-4.721925
1.000000,1.190000,1.080000,-30.400000,0.295515,0.170000,-4.110517
0.800000,1.230000,1.120000,-30.200000,0.304853,0.190000,-4.727273
0.900000,1.310000,1.160000,-31.200000,0.314292,0.170000,-4.204991
1.000000,1.370000,1.200000,-30.400000,0.323652,0.190000,-4.561497
1.000000,1.410000,1.240000,-30.600000,0.342452,0.190000,-4.319073
0.900000,1.470000,1.280000,-30.800000,0.357443,0.090000,-4.513369
0.800000,1.410000,1.320000,-30.400000,0.367588,0.150000,-4.550802
0.900000,1.350000,1.360000,-30.400000,0.377124,0.150000,-4.203209
0.800000,1.550000,1.400000,-30.600000,0.386564,0.170000,-4.739750
0.900000,1.610000,1.440000,-30.400000,0.395938,0.210000,-4.133690
0.800000,1.650000,1.480000,-30.400000,0.415607,0.170000,-4.326203
0.700000,1.690000,1.520000,-30.800000,0.425292,0.230000,-4.365419
0.900000,1.710000,1.560000,-30.400000,0.434666,0.170000,-4.593583
0.500000,1.670000,1.600000,-30.200000,0.444091,0.250000,-4.169340
0.800000,1.810000,1.640000,-31.000000,0.453463,0.130000,-4.752228
0.700000,1.830000,1.680000,-30.400000,0.462810,0.250000,-4.133690
0.900000,1.890000,1.720000,-30.600000,0.472240,0.190000,-4.709447
0.800000,2.010000,1.760000,-31.000000,0.481600,0.150000,-4.254902
1.000000,1.970000,1.800000,-30.800000,0.491024,0.090000,-4.479501
0.900000,1.950000,1.840000,-30.400000,0.500413,0.250000,-4.506239
0.800000,2.070000,1.880000,-30.000000,0.509766,0.170000,-4.263815
0.800000,2.130000,1.920000,-30.600000,0.519186,0.230000,-4.716578
1.100000,2.130000,1.960000,-30.400000,0.528551,0.250000,-4.124777
1.100000,2.110000,2.000000,-30.400000,0.537903,0.210000,-4.752228
0.900000,2.170000,2.040000,-30.600000,0.547359,0.210000,-4.199643
0.900000,2.210000,2.080000,-30.600000,0.556747,-0.170000,-4.598930
0.900000,2.350000,2.120000,-30.400000,0.566313,0.210000,-4.415330
1.100000,2.370000,2.160000,-30.600000,0.575680,0.210000,-4.344029
1.000000,2.430000,2.200000,-30.600000,0.585147,0.110000,-4.652406
0.900000,2.410000,2.240000,-30.400000,0.604665,0.130000,-4.755793
0.900000,2.470000,2.280000,-30.600000,0.614186,0.210000,-4.219251
1.000000,2.510000,2.320000,-30.600000,0.623582,0.270000,-4.598930
0.800000,2.590000,2.360000,-31.000000,0.642519,0.210000,-4.322638
1.100000,2.410000,2.400000,-30.600000,0.657569,0.170000,-4.506239
0.900000,2.610000,2.440000,-30.200000,0.667789,0.210000,-4.591800
0.900000,2.630000,2.480000,-30.800000,0.677331,0.210000,-4.199643
0.900000,2.750000,2.520000,-30.600000,0.686674,0.130000,-4.755793
0.700000,2.690000,2.560000,-30.600000,0.696114,0.170000,-4.140820
0.800000,2.730000,2.600000,-30.200000,0.705457,0.170000,-4.713012
0.900000,2.850000,2.640000,-30.200000,0.714802,0.170000,-4.249554
1.000000,2.930000,2.680000,-30.400000,0.724254,0.110000,-4.502674
1.100000,2.890000,2.720000,-30.200000,0.733589,0.210000,-4.484848
1.000000,2.970000,2.760000,-30.200000,0.743020,0.190000,-4.272727
0.900000,3.030000,2.800000,-30.600000,0.752362,0.150000,-4.696970
1.100000,3.090000,2.840000,-30.000000,0.761721,0.210000,-4.121212
0.900000,3.110000,2.880000,-30.400000,0.771208,0.170000,-4.750446
0.900000,3.150000,2.920000,-30.600000,0.791129,0.130000,-4.467023
1.000000,3.150000,2.960000,-30.600000,0.800577,0.150000,-4.518717
0.800000,3.150000,3.000000,-29.800000,0.810024,0.150000,-4.238859
0.800000,3.270000,3.040000,-30.400000,0.819391,0.130000,-4.721925
0.700000,3.350000,3.080000,-30.800000,0.828750,0.170000,-4.122995
0.800000,3.350000,3.120000,-30.400000,0.838146,0.170000,-4.750446
0.900000,3.390000,3.160000,-30.400000,0.847505,0.210000,-4.217469
0.800000,3.390000,3.200000,-30.600000,0.856866,0.230000,-4.588235
1.000000,3.450000,3.240000,-30.200000,0.866275,0.170000,-4.397504
0.800000,3.510000,3.280000,-33.000000,0.875652,0.250000,-4.344029
1.000000,3.490000,3.320000,-30.400000,0.885153,0.190000,-4.648841
1.200000,3.490000,3.360000,-30.800000,0.894511,0.170000,-4.149733
