# Date: 20210622
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_SPI_002
# Fit of Tap:
#	Ic = 71 A
#	n = 165 
#	Vc = 3 uV
#	Vfloor = 0.592 uV
#	R = 0.0167 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.600000,0.170000,0.000000,-30.400000,0.080133,0.150000,-4.636364
0.300000,0.230000,0.040000,-30.600000,0.115275,0.190000,-4.743316
0.300000,0.250000,0.080000,-30.600000,0.126498,0.150000,-4.242424
0.400000,0.230000,0.120000,-30.800000,0.136748,-0.210000,-4.383244
0.400000,0.310000,0.160000,-30.400000,0.149737,0.190000,-4.705882
0.700000,0.250000,0.200000,-30.600000,0.160177,0.190000,-4.279857
0.600000,0.490000,0.240000,-32.800000,0.170565,-0.110000,-4.329768
0.400000,0.410000,0.280000,-30.800000,0.180755,0.190000,-4.688057
0.600000,0.430000,0.320000,-30.600000,0.191442,0.190000,-4.142602
0.500000,0.370000,0.360000,-34.000000,0.201675,0.190000,-4.591800
0.500000,0.570000,0.400000,-30.600000,0.211821,0.210000,-4.483066
0.400000,0.630000,0.440000,-30.400000,0.222058,0.090000,-4.196078
0.500000,0.610000,0.480000,-30.400000,0.243753,0.150000,-4.263815
0.600000,0.590000,0.520000,-30.800000,0.253937,0.190000,-4.327986
0.700000,0.630000,0.560000,-30.400000,0.263822,0.130000,-4.661319
0.600000,0.630000,0.600000,-30.600000,0.273757,0.210000,-4.103387
0.600000,0.770000,0.640000,-29.800000,0.283755,0.150000,-4.688057
0.600000,0.830000,0.680000,-30.600000,0.293739,0.170000,-4.310160
0.700000,0.890000,0.720000,-30.600000,0.303662,0.150000,-4.361854
0.500000,0.850000,0.760000,-30.400000,0.323506,0.230000,-4.124777
0.600000,0.950000,0.800000,-30.600000,0.338868,0.170000,-4.178253
0.600000,0.970000,0.840000,-30.800000,0.349639,0.210000,-4.743316
0.300000,1.030000,0.880000,-30.600000,0.359628,0.150000,-4.244207
0.600000,1.030000,0.920000,-30.400000,0.369533,0.130000,-4.449198
0.600000,1.070000,0.960000,-30.400000,0.379466,0.190000,-4.577540
0.400000,1.190000,1.000000,-30.200000,0.389415,0.190000,-4.146168
0.500000,1.130000,1.040000,-30.800000,0.399350,0.210000,-4.746881
0.500000,1.230000,1.080000,-30.800000,0.409268,0.170000,-4.208556
0.800000,1.310000,1.120000,-30.600000,0.419713,0.150000,-4.436720
0.500000,1.350000,1.160000,-30.200000,0.429824,0.070000,-4.616756
0.500000,1.710000,1.200000,-30.200000,0.442888,0.170000,-4.226381
0.500000,1.330000,1.240000,-30.600000,0.460690,0.210000,-4.331551
0.500000,1.430000,1.280000,-31.400000,0.470940,0.230000,-4.306595
0.700000,1.390000,1.320000,-31.000000,0.480725,0.170000,-4.693405
0.600000,1.830000,1.360000,-31.000000,0.490451,0.170000,-4.117647
0.800000,1.510000,1.400000,-30.000000,0.500138,0.150000,-4.709447
0.700000,1.610000,1.440000,-30.600000,0.509831,0.110000,-4.256684
0.500000,1.610000,1.480000,-30.600000,0.519495,0.570000,-4.450980
0.500000,1.630000,1.520000,-30.600000,0.529364,0.170000,-4.575758
0.500000,1.770000,1.560000,-30.600000,0.538941,0.150000,-4.171123
0.500000,1.810000,1.600000,-30.800000,0.548501,0.090000,-4.752228
0.500000,1.810000,1.640000,-30.800000,0.558460,0.170000,-4.171123
0.400000,1.790000,1.680000,-30.600000,0.567966,0.190000,-4.632799
0.600000,1.850000,1.720000,-31.000000,0.577346,0.150000,-4.338681
0.600000,1.890000,1.760000,-30.800000,0.586671,0.170000,-4.388592
0.600000,1.950000,1.800000,-30.400000,0.595981,0.210000,-4.566845
0.700000,2.050000,1.840000,-30.800000,0.605512,0.170000,-4.171123
0.500000,2.110000,1.880000,-30.800000,0.629870,0.110000,-4.597148
0.400000,2.110000,1.920000,-30.600000,0.640432,0.150000,-4.110517
0.600000,2.110000,1.960000,-30.600000,0.652923,0.190000,-4.436720
0.500000,2.150000,2.000000,-30.800000,0.670282,0.150000,-4.361854
0.600000,2.270000,2.040000,-30.600000,0.679923,0.070000,-4.622103
0.600000,2.270000,2.080000,-30.400000,0.689470,0.170000,-4.131907
0.500000,2.430000,2.120000,-30.400000,0.698868,0.310000,-4.743316
0.600000,2.310000,2.160000,-30.600000,0.708434,0.210000,-4.160428
0.400000,2.290000,2.200000,-30.600000,0.717982,0.170000,-4.634581
0.500000,2.390000,2.240000,-30.200000,0.727390,0.210000,-4.333333
0.600000,2.450000,2.280000,-30.800000,0.736723,0.170000,-4.388592
0.600000,2.510000,2.320000,-30.400000,0.746069,0.230000,-4.568627
0.500000,2.570000,2.360000,-31.000000,0.755471,0.210000,-4.183601
0.400000,2.610000,2.400000,-30.600000,0.764783,0.110000,-4.730838
0.600000,2.630000,2.440000,-30.400000,0.774133,0.130000,-4.110517
0.600000,2.630000,2.480000,-30.400000,0.783452,0.150000,-4.713012
0.700000,2.590000,2.520000,-31.000000,0.792779,0.190000,-4.219251
0.500000,2.770000,2.560000,-30.600000,0.802148,0.210000,-4.541889
0.600000,2.790000,2.600000,-30.400000,0.811444,0.170000,-4.418895
0.600000,2.810000,2.640000,-31.200000,0.821421,0.130000,-4.244207
0.600000,2.850000,2.680000,-31.000000,0.830765,0.150000,-4.675579
0.700000,2.830000,2.720000,-30.200000,0.840152,0.170000,-4.117647
0.700000,2.950000,2.760000,-30.600000,0.849450,0.190000,-4.741533
0.400000,3.070000,2.800000,-30.400000,0.861734,0.150000,-4.461676
0.600000,3.050000,2.840000,-30.600000,0.878585,0.210000,-4.479501
0.600000,3.110000,2.880000,-30.600000,0.888104,0.110000,-4.263815
0.600000,3.130000,2.920000,-30.800000,0.897446,0.170000,-4.689840
0.700000,3.130000,2.960000,-30.200000,0.906730,0.210000,-4.126560
0.400000,3.210000,3.000000,-31.200000,0.931601,0.070000,-4.737968
0.400000,3.390000,3.040000,-31.000000,0.941827,0.070000,-4.176471
0.600000,3.210000,3.080000,-30.200000,0.951266,0.190000,-4.654189
0.700000,3.290000,3.120000,-31.400000,0.960568,0.170000,-4.329768
0.400000,3.350000,3.160000,-30.400000,0.969861,0.150000,-4.433155
0.700000,3.350000,3.200000,-30.200000,0.979252,0.110000,-4.559715
0.500000,3.430000,3.240000,-30.600000,0.988572,0.210000,-4.221034
0.500000,3.430000,3.280000,-30.600000,0.997877,0.170000,-4.734403
0.600000,3.470000,3.320000,-30.400000,1.007250,0.170000,-4.128342
0.700000,3.550000,3.360000,-30.800000,1.016551,0.190000,-4.741533
0.600000,3.610000,3.400000,-30.600000,1.025873,0.190000,-4.208556
0.500000,3.610000,3.440000,-30.600000,1.035174,0.210000,-4.597148
0.300000,3.670000,3.480000,-30.400000,1.044588,0.130000,-4.409982
0.600000,3.710000,3.520000,-30.800000,1.053932,0.130000,-4.349376
0.700000,3.790000,3.560000,-30.600000,1.063293,0.170000,-4.625668
0.600000,3.850000,3.600000,-30.600000,1.083094,0.230000,-4.741533
0.600000,3.770000,3.640000,-30.800000,1.092491,0.190000,-4.199643
0.500000,3.910000,3.680000,-31.200000,1.101818,0.150000,-4.590018
0.700000,3.910000,3.720000,-30.600000,1.111208,0.130000,-4.377897
0.300000,4.010000,3.760000,-31.200000,1.120499,0.150000,-4.340463
0.600000,4.010000,3.800000,-30.800000,1.129813,0.130000,-4.584670
0.600000,4.030000,3.840000,-30.600000,1.139176,0.190000,-4.155080
0.300000,4.130000,3.880000,-30.800000,1.148466,0.070000,-4.736185
0.400000,4.130000,3.920000,-30.600000,1.157777,0.150000,-4.126560
0.700000,4.190000,3.960000,-30.400000,1.167147,0.150000,-4.700535
0.700000,4.150000,4.000000,-30.800000,1.177200,0.150000,-4.294118
0.400000,4.250000,4.040000,-30.800000,1.186658,0.150000,-4.411765
0.600000,4.310000,4.080000,-31.000000,1.195968,0.110000,-4.550802
0.300000,4.370000,4.120000,-30.800000,1.205315,0.170000,-4.208556
0.600000,4.370000,4.160000,-30.400000,1.229621,0.130000,-4.563280
0.500000,4.470000,4.200000,-30.400000,1.239737,0.150000,-4.130125
0.300000,4.470000,4.240000,-31.000000,1.249232,0.070000,-4.745098
0.500000,4.490000,4.280000,-30.800000,1.258554,0.130000,-4.155080
0.600000,4.570000,4.320000,-30.400000,1.267858,0.150000,-4.647059
0.900000,4.650000,4.360000,-31.200000,1.280351,0.190000,-4.650624
0.700000,4.650000,4.400000,-30.800000,1.297453,0.130000,-4.686275
0.900000,4.670000,4.440000,-30.800000,1.306837,0.150000,-4.121212
0.800000,4.770000,4.480000,-30.600000,1.316231,0.230000,-4.746881
0.700000,4.810000,4.520000,-30.600000,1.325546,0.170000,-4.174688
0.600000,4.830000,4.560000,-30.800000,1.334826,0.190000,-4.627451
0.800000,4.830000,4.600000,-30.600000,1.344204,0.130000,-4.335116
0.700000,4.870000,4.640000,-31.000000,1.353514,0.110000,-4.393939
0.800000,4.930000,4.680000,-30.400000,1.362803,0.150000,-4.541889
0.600000,5.010000,4.720000,-30.600000,1.372148,0.190000,-4.188948
0.500000,5.050000,4.760000,-30.800000,1.381455,0.130000,-4.713012
0.500000,5.070000,4.800000,-31.400000,1.390754,0.170000,-4.105169
0.600000,5.190000,4.840000,-31.000000,1.400133,0.210000,-4.720143
0.700000,5.130000,4.880000,-30.800000,1.409431,0.150000,-4.199643
0.600000,5.150000,4.920000,-30.600000,1.418859,0.170000,-4.549020
0.600000,5.250000,4.960000,-30.600000,1.428831,0.290000,-4.472371
0.600000,5.350000,5.000000,-30.600000,1.438257,0.190000,-4.245989
0.800000,5.330000,5.040000,-30.600000,1.447610,0.150000,-4.689840
0.400000,5.330000,5.080000,-30.600000,1.456919,0.190000,-4.114082
0.400000,5.430000,5.120000,-30.800000,1.466298,0.190000,-4.741533
0.500000,5.470000,5.160000,-30.800000,1.475615,0.190000,-4.178253
0.600000,5.450000,5.200000,-30.600000,1.485006,0.190000,-4.616756
0.300000,5.510000,5.240000,-30.800000,1.504960,0.210000,-4.247772
0.600000,5.610000,5.280000,-30.800000,1.523668,0.170000,-4.103387
0.500000,5.630000,5.320000,-30.800000,1.538517,0.190000,-4.210339
0.800000,5.630000,5.360000,-30.800000,1.548636,0.150000,-4.725490
0.500000,5.690000,5.400000,-30.800000,1.558077,0.170000,-4.112299
0.500000,5.750000,5.440000,-30.000000,1.567407,0.190000,-4.680927
0.600000,5.790000,5.480000,-30.800000,1.576725,0.130000,-4.228164
0.700000,5.830000,5.520000,-30.400000,1.586024,0.190000,-4.500891
0.700000,5.890000,5.560000,-30.600000,1.595512,0.210000,-4.459893
0.800000,5.890000,5.600000,-30.600000,1.604840,0.170000,-4.253119
0.800000,5.930000,5.640000,-30.800000,1.614219,0.150000,-4.675579
0.400000,6.030000,5.680000,-30.200000,1.623525,0.190000,-4.122995
0.900000,5.950000,5.720000,-30.800000,1.632810,0.110000,-4.750446
0.500000,6.090000,5.760000,-30.800000,1.642189,0.170000,-4.167558
0.600000,6.110000,5.800000,-30.600000,1.651508,0.210000,-4.623886
0.500000,6.130000,5.840000,-30.800000,1.660807,0.170000,-4.304813
0.600000,6.270000,5.880000,-30.800000,1.670481,0.130000,-4.386809
0.400000,6.290000,5.920000,-30.400000,1.680083,0.110000,-4.586453
0.600000,6.330000,5.960000,-30.600000,1.689427,0.190000,-4.147950
0.600000,6.390000,6.000000,-30.200000,1.701927,0.090000,-4.593583
0.700000,6.330000,6.040000,-31.000000,1.719273,0.230000,-4.511586
0.600000,6.390000,6.080000,-30.600000,1.728697,0.170000,-4.440285
0.400000,6.470000,6.120000,-30.600000,1.738081,0.190000,-4.253119
0.600000,6.530000,6.160000,-30.400000,1.747419,0.190000,-4.645276
0.700000,6.550000,6.200000,-30.600000,1.756720,0.230000,-4.112299
0.900000,6.670000,6.240000,-30.600000,1.766025,0.090000,-4.739750
0.400000,6.610000,6.280000,-31.200000,1.775402,0.210000,-4.140820
0.500000,6.590000,6.320000,-30.000000,1.784675,0.150000,-4.634581
0.600000,6.690000,6.360000,-30.800000,1.794056,0.130000,-4.283422
0.800000,6.830000,6.400000,-30.400000,1.803375,0.130000,-4.408200
0.400000,6.850000,6.440000,-32.000000,1.822389,0.110000,-4.185383
0.700000,6.950000,6.480000,-30.600000,1.836710,0.230000,-4.415330
0.700000,6.910000,6.520000,-30.600000,1.846768,0.170000,-4.588235
0.400000,6.890000,6.560000,-30.600000,1.856208,0.190000,-4.153298
0.500000,6.970000,6.600000,-30.600000,1.865501,0.150000,-4.736185
0.800000,7.010000,6.640000,-30.600000,1.874795,0.150000,-4.119430
0.800000,7.030000,6.680000,-30.600000,1.884174,0.190000,-4.684492
0.600000,7.030000,6.720000,-30.600000,1.893482,0.190000,-4.245989
0.600000,7.130000,6.760000,-30.600000,1.902785,0.190000,-4.502674
0.700000,7.130000,6.800000,-30.400000,1.923692,0.190000,-4.114082
0.600000,7.170000,6.840000,-30.600000,1.933249,0.210000,-4.730838
0.600000,7.230000,6.880000,-30.800000,1.942573,0.130000,-4.180036
0.700000,7.330000,6.920000,-30.600000,1.951912,0.150000,-4.595365
0.600000,7.270000,6.960000,-30.600000,1.961307,0.190000,-4.356506
0.500000,7.370000,7.000000,-31.600000,1.970627,0.130000,-4.356506
0.600000,7.330000,7.040000,-30.200000,1.979958,0.170000,-4.573975
0.700000,7.430000,7.080000,-30.600000,1.989303,0.150000,-4.160428
0.600000,7.470000,7.120000,-30.800000,1.998618,0.150000,-4.720143
0.600000,7.550000,7.160000,-30.800000,2.007924,0.130000,-4.106952
0.600000,7.550000,7.200000,-30.600000,2.017274,0.230000,-4.707665
0.300000,7.650000,7.240000,-30.800000,2.026594,0.170000,-4.233512
0.800000,7.530000,7.280000,-30.600000,2.035884,0.170000,-4.547237
0.600000,7.710000,7.320000,-30.400000,2.045168,0.190000,-4.424242
0.300000,7.770000,7.360000,-30.800000,2.054459,0.150000,-4.310160
0.700000,7.790000,7.400000,-30.600000,2.063766,0.130000,-4.616756
0.900000,7.810000,7.440000,-30.600000,2.073142,0.170000,-4.128342
0.400000,7.890000,7.480000,-30.800000,2.082467,0.110000,-4.746881
0.700000,7.870000,7.520000,-30.600000,2.091748,0.170000,-4.131907
0.600000,7.970000,7.560000,-30.400000,2.101103,0.170000,-4.661319
0.500000,8.030000,7.600000,-30.600000,2.123216,0.170000,-4.131907
0.600000,7.990000,7.640000,-30.200000,2.146715,0.190000,-4.573975
0.600000,8.070000,7.680000,-30.600000,2.156359,0.190000,-4.158645
0.600000,8.090000,7.720000,-30.200000,2.165679,0.110000,-4.745098
0.700000,8.170000,7.760000,-31.400000,2.175471,0.170000,-4.149733
0.600000,8.170000,7.800000,-30.000000,2.184906,0.170000,-4.636364
0.700000,8.230000,7.840000,-30.600000,2.194350,0.110000,-4.319073
0.800000,8.310000,7.880000,-30.800000,2.203637,0.190000,-4.409982
0.800000,8.170000,7.920000,-30.800000,2.213035,0.190000,-4.549020
0.500000,8.330000,7.960000,-30.600000,2.222388,0.250000,-4.190731
0.400000,8.330000,8.000000,-30.800000,2.231686,0.110000,-4.718360
0.600000,8.410000,8.040000,-30.600000,2.241184,0.170000,-4.108734
0.700000,8.450000,8.080000,-30.600000,2.250516,0.230000,-4.713012
0.600000,8.510000,8.120000,-30.400000,2.259823,0.090000,-4.213904
0.800000,8.510000,8.160000,-30.600000,2.269311,0.190000,-4.527629
0.700000,8.630000,8.200000,-30.400000,2.278629,0.210000,-4.415330
0.200000,8.670000,8.240000,-30.600000,2.287960,0.110000,-4.306595
0.900000,8.830000,8.280000,-31.000000,2.302816,0.190000,-4.516934
0.600000,8.670000,8.320000,-30.600000,2.312428,0.130000,-4.477718
0.600000,8.810000,8.360000,-30.800000,2.333248,0.130000,-4.737968
0.600000,8.750000,8.400000,-30.600000,2.342725,0.150000,-4.178253
0.600000,8.830000,8.440000,-30.400000,2.352166,0.170000,-4.588235
0.600000,8.870000,8.480000,-30.600000,2.361522,0.170000,-4.377897
0.600000,8.930000,8.520000,-30.800000,2.370875,0.150000,-4.352941
0.500000,8.990000,8.560000,-30.400000,2.380271,0.150000,-4.595365
0.600000,9.110000,8.600000,-30.600000,2.389634,0.190000,-4.158645
0.700000,9.090000,8.640000,-31.000000,2.398964,0.190000,-4.739750
0.700000,9.090000,8.680000,-30.200000,2.408374,0.130000,-4.131907
0.500000,8.950000,8.720000,-30.800000,2.433072,0.110000,-4.750446
0.700000,9.190000,8.760000,-30.200000,2.443479,0.150000,-4.237077
0.800000,9.110000,8.800000,-30.200000,2.452878,0.190000,-4.515152
0.700000,9.290000,8.840000,-30.200000,2.462313,0.210000,-4.463458
0.800000,9.430000,8.880000,-30.400000,2.471675,0.170000,-4.279857
0.800000,9.290000,8.920000,-30.600000,2.481103,0.150000,-4.686275
0.700000,9.390000,8.960000,-30.800000,2.490494,0.210000,-4.119430
0.500000,9.470000,9.000000,-31.000000,2.499866,0.110000,-4.745098
0.500000,9.530000,9.040000,-31.000000,2.509272,0.170000,-4.183601
0.900000,9.590000,9.080000,-30.200000,2.530290,0.170000,-4.591800
0.600000,9.530000,9.120000,-30.600000,2.539721,0.210000,-4.147950
0.700000,9.610000,9.160000,-30.800000,2.549153,0.210000,-4.734403
0.600000,9.650000,9.200000,-30.400000,2.558504,0.170000,-4.133690
0.700000,9.730000,9.240000,-30.600000,2.567848,0.210000,-4.677362
0.600000,9.730000,9.280000,-30.600000,2.577260,0.190000,-4.258467
0.600000,9.730000,9.320000,-30.600000,2.586677,0.210000,-4.458111
0.600000,9.810000,9.360000,-30.200000,2.596047,0.190000,-4.495544
0.800000,9.830000,9.400000,-30.600000,2.605494,0.190000,-4.226381
0.500000,9.890000,9.440000,-30.600000,2.614846,0.170000,-4.698752
0.600000,9.930000,9.480000,-30.400000,2.624546,0.150000,-4.103387
0.600000,10.070000,9.520000,-30.600000,2.633937,0.130000,-4.711230
0.500000,10.030000,9.560000,-30.600000,2.643410,0.210000,-4.222816
0.600000,10.050000,9.600000,-30.400000,2.652760,0.170000,-4.532977
0.700000,10.090000,9.640000,-30.200000,2.662175,0.150000,-4.434938
0.500000,10.190000,9.680000,-30.800000,2.671516,0.170000,-4.297683
0.900000,10.170000,9.720000,-31.600000,2.680993,0.170000,-4.668449
0.700000,10.230000,9.760000,-31.000000,2.690464,0.170000,-4.121212
0.600000,10.290000,9.800000,-30.600000,2.699857,0.030000,-4.737968
0.500000,10.310000,9.840000,-30.800000,2.709316,0.170000,-4.171123
0.600000,10.390000,9.880000,-30.600000,2.744566,0.130000,-4.324421
0.600000,10.450000,9.920000,-30.400000,2.754283,0.150000,-4.365419
0.600000,10.470000,9.960000,-30.600000,2.763660,0.190000,-4.595365
0.800000,10.510000,10.000000,-30.200000,2.773075,0.190000,-4.151515
0.500000,10.550000,10.040000,-30.200000,2.782436,0.110000,-4.732620
0.800000,10.670000,10.080000,-30.800000,2.791807,0.190000,-4.131907
0.600000,10.630000,10.120000,-30.600000,2.801216,0.270000,-4.673797
0.800000,10.650000,10.160000,-30.600000,2.810580,0.170000,-4.251337
0.700000,10.610000,10.200000,-30.600000,2.820065,0.190000,-4.458111
0.700000,10.730000,10.240000,-30.600000,2.829526,0.150000,-4.508021
0.600000,10.770000,10.280000,-30.400000,2.838889,0.270000,-4.231729
0.600000,10.830000,10.320000,-30.600000,2.848324,0.170000,-4.714795
0.700000,10.790000,10.360000,-29.800000,2.857690,0.170000,-4.115865
