# Date: 20210622
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_SPI_002
# Fit of Tap:
#	Ic = 177 +/- 0.024 A
#	n = 29.6 +/- 0.21 
#	Vc = 3 uV
#	Vfloor = 1.96 +/- 0.0048 uV
#	R = 0.00135 +/- 5.2e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.900000,0.230000,0.000000,-30.600000,0.036974,0.190000,-4.351159
1.700000,0.230000,0.040000,-30.800000,0.051436,0.230000,-4.153298
1.900000,0.230000,0.080000,-30.400000,0.061698,0.130000,-4.525847
1.800000,0.250000,0.120000,-30.600000,0.071197,0.190000,-4.445633
1.900000,0.290000,0.160000,-30.200000,0.080570,0.150000,-4.263815
1.900000,0.290000,0.200000,-30.600000,0.090004,0.150000,-4.657754
1.800000,0.410000,0.240000,-30.400000,0.099310,0.210000,-4.110517
1.900000,0.410000,0.280000,-30.600000,0.108631,0.130000,-4.743316
1.700000,0.430000,0.320000,-30.800000,0.118023,0.210000,-4.149733
2.100000,0.430000,0.360000,-30.400000,0.127419,0.190000,-4.611408
1.800000,0.530000,0.400000,-30.800000,0.136830,0.130000,-4.324421
2.000000,0.570000,0.440000,-31.200000,0.146166,0.230000,-4.377897
1.600000,0.590000,0.480000,-30.400000,0.155497,0.150000,-4.559715
1.700000,0.530000,0.520000,-30.400000,0.164880,0.170000,-4.183601
1.800000,0.670000,0.560000,-30.600000,0.174728,0.210000,-4.746881
1.700000,0.750000,0.600000,-30.600000,0.184173,0.230000,-4.133690
2.100000,0.750000,0.640000,-30.400000,0.193528,0.170000,-4.682709
1.800000,0.790000,0.680000,-30.400000,0.202943,0.170000,-4.262032
1.900000,0.830000,0.720000,-30.800000,0.223643,0.190000,-4.704100
1.700000,0.830000,0.760000,-30.600000,0.233169,0.170000,-4.105169
1.700000,0.910000,0.800000,-30.200000,0.242516,0.130000,-4.727273
1.700000,0.970000,0.840000,-30.600000,0.252108,0.130000,-4.199643
1.900000,0.990000,0.880000,-30.600000,0.261459,0.210000,-4.552585
1.800000,1.050000,0.920000,-30.600000,0.270865,0.190000,-4.417112
1.800000,1.170000,0.960000,-30.800000,0.280182,0.210000,-4.310160
1.900000,1.130000,1.000000,-30.600000,0.289555,0.170000,-4.636364
1.900000,1.190000,1.040000,-31.000000,0.298977,0.230000,-4.121212
1.900000,1.230000,1.080000,-30.600000,0.317848,0.150000,-4.140820
1.600000,1.210000,1.120000,-30.600000,0.332098,0.170000,-4.142602
1.700000,1.330000,1.160000,-30.800000,0.342258,0.110000,-4.736185
