# Date: 20210622
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_SPI_002
# Fit of Tap:
#	Ic = 178 +/- 0.023 A
#	n = 36.1 +/- 0.3 
#	Vc = 3 uV
#	Vfloor = 2.07 +/- 0.0053 uV
#	R = 0.0001 +/- 0.00023 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.200000,0.230000,0.000000,-30.400000,0.036850,0.190000,-4.445633
2.100000,0.310000,0.040000,-30.600000,0.051731,0.170000,-4.229947
2.200000,0.250000,0.080000,-30.800000,0.061986,0.190000,-4.417112
2.100000,0.230000,0.120000,-30.400000,0.071571,0.150000,-4.575758
2.100000,0.310000,0.160000,-30.800000,0.080996,0.150000,-4.169340
2.000000,0.330000,0.200000,-30.200000,0.090494,0.190000,-4.752228
2.200000,0.370000,0.240000,-30.400000,0.099863,0.190000,-4.131907
2.300000,0.370000,0.280000,-30.800000,0.109337,0.210000,-4.734403
2.100000,0.430000,0.320000,-30.400000,0.118871,0.190000,-4.283422
2.100000,0.450000,0.360000,-30.400000,0.128368,0.230000,-4.452763
2.200000,0.450000,0.400000,-30.000000,0.137781,0.210000,-4.545455
2.200000,0.570000,0.440000,-31.000000,0.147182,0.190000,-4.224599
1.900000,0.610000,0.480000,-30.600000,0.156659,0.170000,-4.739750
2.100000,0.710000,0.520000,-31.000000,0.166063,0.210000,-4.122995
2.200000,0.610000,0.560000,-30.400000,0.175543,0.190000,-4.727273
1.900000,0.750000,0.600000,-30.600000,0.184942,0.130000,-4.229947
1.900000,0.770000,0.640000,-30.600000,0.194423,0.210000,-4.527629
2.200000,0.830000,0.680000,-30.000000,0.203805,0.150000,-4.454545
1.900000,0.890000,0.720000,-30.800000,0.224040,0.310000,-4.745098
2.100000,0.770000,0.760000,-30.600000,0.233797,0.110000,-4.142602
2.300000,0.870000,0.800000,-30.600000,0.243384,0.210000,-4.627451
2.200000,0.910000,0.840000,-30.600000,0.252785,0.190000,-4.322638
2.100000,1.030000,0.880000,-31.000000,0.262154,0.210000,-4.397504
1.900000,1.050000,0.920000,-30.400000,0.271622,0.170000,-4.566845
2.100000,1.150000,0.960000,-31.000000,0.295811,0.170000,-4.370766
2.300000,1.110000,1.000000,-30.800000,0.306038,0.190000,-4.680927
1.800000,1.170000,1.040000,-30.600000,0.315547,0.290000,-4.119430
2.000000,1.210000,1.080000,-31.600000,0.324947,0.150000,-4.736185
2.000000,1.250000,1.120000,-30.800000,0.334432,0.210000,-4.174688
2.100000,1.270000,1.160000,-30.800000,0.343802,0.210000,-4.600713
2.200000,1.350000,1.200000,-30.400000,0.353159,0.190000,-4.365419
2.000000,1.370000,1.240000,-33.800000,0.362722,0.170000,-4.335116
2.300000,1.450000,1.280000,-30.400000,0.372251,0.150000,-4.629234
2.300000,1.450000,1.320000,-30.400000,0.381689,0.190000,-4.139037
2.000000,1.510000,1.360000,-30.400000,0.391074,0.130000,-4.748663
2.300000,1.590000,1.400000,-30.200000,0.410748,0.150000,-4.590018
2.000000,1.590000,1.440000,-30.400000,0.420227,0.190000,-4.411765
2.300000,1.630000,1.480000,-31.000000,0.429674,0.190000,-4.306595
2.400000,1.630000,1.520000,-30.600000,0.439056,0.170000,-4.632799
2.000000,1.710000,1.560000,-30.200000,0.448521,0.270000,-4.112299
2.300000,1.770000,1.600000,-30.600000,0.457918,0.150000,-4.741533
2.000000,1.710000,1.640000,-30.600000,0.467362,0.230000,-4.144385
2.200000,1.830000,1.680000,-30.600000,0.476708,0.190000,-4.625668
1.900000,1.950000,1.720000,-30.200000,0.486091,0.190000,-4.297683
2.000000,1.870000,1.760000,-31.000000,0.495526,0.170000,-4.397504
2.200000,1.910000,1.800000,-30.200000,0.504940,0.130000,-4.549020
2.000000,1.970000,1.840000,-30.800000,0.514416,0.110000,-4.178253
2.000000,2.050000,1.880000,-30.600000,0.523799,0.190000,-4.734403
2.200000,2.090000,1.920000,-30.000000,0.533185,0.270000,-4.098039
1.900000,2.110000,1.960000,-30.200000,0.542617,0.190000,-4.693405
2.000000,2.230000,2.000000,-30.400000,0.552033,0.190000,-4.228164
2.000000,2.190000,2.040000,-30.600000,0.561467,0.150000,-4.495544
2.100000,2.250000,2.080000,-30.200000,0.570831,0.190000,-4.454545
2.000000,2.330000,2.120000,-30.600000,0.594448,0.170000,-4.549020
1.900000,2.490000,2.160000,-31.400000,0.614760,0.090000,-4.151515
2.200000,2.350000,2.200000,-30.200000,0.624380,0.150000,-4.746881
2.000000,2.410000,2.240000,-30.400000,0.633804,0.130000,-4.139037
2.200000,2.430000,2.280000,-30.600000,0.643190,0.270000,-4.668449
2.000000,2.490000,2.320000,-30.600000,0.652674,0.210000,-4.279857
2.300000,2.510000,2.360000,-30.600000,0.662065,0.230000,-4.420677
2.200000,2.590000,2.400000,-30.200000,0.671533,0.210000,-4.524064
2.200000,2.590000,2.440000,-30.600000,0.680939,0.190000,-4.190731
2.000000,2.690000,2.480000,-30.000000,0.690306,0.210000,-4.725490
2.000000,2.710000,2.520000,-30.000000,0.699764,0.250000,-4.098039
2.200000,2.750000,2.560000,-30.600000,0.709103,0.190000,-4.711230
1.900000,2.930000,2.600000,-30.600000,0.718548,0.190000,-4.219251
2.400000,2.890000,2.640000,-30.200000,0.727931,0.210000,-4.538324
2.100000,2.810000,2.680000,-30.600000,0.737383,0.130000,-4.447415
2.200000,2.890000,2.720000,-30.800000,0.746769,0.190000,-4.283422
2.200000,2.950000,2.760000,-30.200000,0.756155,0.170000,-4.675579
2.400000,3.010000,2.800000,-30.600000,0.765604,0.270000,-4.140820
2.100000,3.030000,2.840000,-30.600000,0.774988,0.210000,-4.770053
2.200000,3.130000,2.880000,-30.600000,0.794750,0.250000,-4.541889
2.200000,3.130000,2.920000,-30.200000,0.804209,0.170000,-4.472371
1.900000,3.130000,2.960000,-30.600000,0.813672,0.190000,-4.263815
1.900000,3.210000,3.000000,-30.600000,0.823043,0.130000,-4.691622
2.000000,3.270000,3.040000,-30.400000,0.832469,0.310000,-4.128342
2.100000,3.210000,3.080000,-30.600000,0.841829,0.210000,-4.764706
2.100000,3.230000,3.120000,-30.800000,0.851207,0.230000,-4.180036
2.100000,3.330000,3.160000,-30.600000,0.860712,0.130000,-4.648841
2.300000,3.390000,3.200000,-30.200000,0.870241,0.190000,-4.385027
2.000000,3.350000,3.240000,-30.800000,0.894725,0.210000,-4.540107
2.200000,3.470000,3.280000,-31.400000,0.904833,0.170000,-4.525847
1.700000,3.530000,3.320000,-30.600000,0.914366,0.210000,-4.201426
1.900000,3.570000,3.360000,-30.200000,0.923752,0.110000,-4.723708
2.100000,3.650000,3.400000,-30.600000,0.933120,0.150000,-4.101604
2.300000,3.570000,3.440000,-30.600000,0.942540,0.150000,-4.727273
2.000000,3.750000,3.480000,-30.600000,0.951999,0.110000,-4.226381
1.900000,3.710000,3.520000,-30.600000,0.961583,0.190000,-4.532977
