# Date: 20210622
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_SPI57_002
# Fit of Tap:
#	Ic = 93.1 +/- 0.65 A
#	n = 50 +/- 0.66 
#	Vc = 3 uV
#	Vfloor = 6.58 +/- 1.1e+62 uV
#	R = 0.463 +/- 4.8e+53 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.500000,0.230000,0.000000,-30.200000,0.027221,0.170000,-4.577540
2.700000,0.270000,0.040000,-30.800000,0.037161,0.150000,-4.497326
2.700000,0.250000,0.080000,-30.000000,0.046601,0.170000,-4.320856
2.500000,0.270000,0.120000,-30.400000,0.055942,0.190000,-4.668449
2.700000,0.290000,0.160000,-30.400000,0.074808,0.170000,-4.727273
2.500000,0.390000,0.200000,-30.800000,0.090542,0.050000,-4.721925
2.600000,0.390000,0.240000,-30.400000,0.100859,0.150000,-4.253119
2.600000,0.350000,0.280000,-30.600000,0.110268,0.150000,-4.588235
2.700000,0.390000,0.320000,-30.400000,0.119688,0.170000,-4.402852
2.800000,0.510000,0.360000,-30.800000,0.129066,0.230000,-4.402852
2.600000,0.510000,0.400000,-30.400000,0.138398,0.170000,-4.600713
2.500000,0.510000,0.440000,-30.600000,0.147803,0.110000,-4.237077
2.500000,0.630000,0.480000,-33.000000,0.157384,-0.070000,-4.729055
2.600000,0.570000,0.520000,-30.600000,0.166987,0.150000,-4.229947
2.500000,0.590000,0.560000,-30.800000,0.176385,0.170000,-4.643494
2.500000,0.730000,0.600000,-30.600000,0.185833,0.150000,-4.354724
2.600000,0.850000,0.640000,-31.200000,0.195228,0.090000,-4.443850
2.700000,0.770000,0.680000,-30.600000,0.204687,0.170000,-4.565062
2.200000,0.850000,0.720000,-31.200000,0.214064,0.150000,-4.263815
2.600000,0.910000,0.760000,-30.600000,0.223414,0.170000,-4.711230
2.600000,0.930000,0.800000,-30.600000,0.243745,0.150000,-4.595365
2.600000,0.970000,0.840000,-30.200000,0.253194,0.190000,-4.429590
2.400000,1.010000,0.880000,-30.800000,0.262602,0.210000,-4.388592
2.900000,1.050000,0.920000,-30.200000,0.271958,0.110000,-4.618538
2.700000,1.070000,0.960000,-30.600000,0.281291,0.170000,-4.251337
2.700000,1.130000,1.000000,-30.600000,0.290753,0.110000,-4.732620
2.500000,1.150000,1.040000,-30.200000,0.300120,0.170000,-4.221034
2.500000,1.210000,1.080000,-30.600000,0.309446,0.210000,-4.672014
2.500000,1.210000,1.120000,-31.200000,0.318789,0.130000,-4.324421
2.500000,1.290000,1.160000,-30.800000,0.328130,0.090000,-4.495544
2.600000,1.350000,1.200000,-30.000000,0.337727,0.190000,-4.538324
2.200000,1.370000,1.240000,-30.200000,0.347169,0.130000,-4.285205
2.500000,1.370000,1.280000,-30.200000,0.356587,0.150000,-4.702317
2.800000,1.510000,1.320000,-30.800000,0.375603,0.130000,-4.677362
2.500000,1.510000,1.360000,-30.800000,0.389931,0.130000,-4.691622
2.500000,1.590000,1.400000,-30.800000,0.400110,0.130000,-4.204991
2.700000,1.590000,1.440000,-30.200000,0.409524,0.150000,-4.663102
2.800000,1.650000,1.480000,-31.000000,0.419024,0.110000,-4.335116
2.600000,1.710000,1.520000,-30.600000,0.428358,0.090000,-4.470588
2.700000,1.730000,1.560000,-30.600000,0.440934,0.110000,-4.727273
2.700000,1.750000,1.600000,-30.600000,0.457869,0.130000,-4.723708
2.600000,1.830000,1.640000,-30.600000,0.467320,0.170000,-4.238859
2.400000,1.850000,1.680000,-30.400000,0.476768,0.150000,-4.623886
2.600000,1.870000,1.720000,-30.600000,0.486107,0.170000,-4.376114
2.500000,1.950000,1.760000,-30.600000,0.495448,0.110000,-4.431373
2.700000,1.950000,1.800000,-30.200000,0.504849,0.150000,-4.572193
2.400000,2.010000,1.840000,-30.600000,0.514234,0.130000,-4.253119
2.400000,2.050000,1.880000,-30.800000,0.523670,0.130000,-4.714795
2.500000,2.070000,1.920000,-30.800000,0.533012,0.110000,-4.199643
2.600000,2.130000,1.960000,-30.600000,0.542362,0.230000,-4.686275
2.500000,2.150000,2.000000,-30.800000,0.551791,0.110000,-4.295900
2.600000,2.210000,2.040000,-30.800000,0.561147,0.210000,-4.532977
2.500000,2.250000,2.080000,-30.400000,0.570507,0.170000,-4.475936
2.500000,2.310000,2.120000,-30.800000,0.580303,0.150000,-4.333333
2.300000,2.330000,2.160000,-30.400000,0.589987,0.150000,-4.704100
2.700000,2.370000,2.200000,-30.400000,0.599406,0.110000,-4.196078
2.700000,2.410000,2.240000,-30.200000,0.608841,0.130000,-4.698752
2.500000,2.450000,2.280000,-30.400000,0.618221,0.130000,-4.279857
2.500000,2.470000,2.320000,-30.200000,0.627790,0.190000,-4.527629
2.600000,2.510000,2.360000,-30.600000,0.637218,0.110000,-4.463458
2.500000,2.610000,2.400000,-30.400000,0.650024,0.190000,-4.190731
2.400000,2.610000,2.440000,-30.600000,0.667358,0.190000,-4.219251
2.500000,2.690000,2.480000,-30.600000,0.692407,0.130000,-4.672014
2.600000,2.690000,2.520000,-30.800000,0.702692,0.110000,-4.340463
2.700000,2.750000,2.560000,-30.800000,0.712121,0.090000,-4.424242
2.900000,2.750000,2.600000,-30.200000,0.721477,0.190000,-4.541889
2.500000,2.870000,2.640000,-30.400000,0.731010,0.130000,-4.254902
2.400000,2.970000,2.680000,-30.400000,0.740392,0.150000,-4.696970
2.500000,2.890000,2.720000,-30.600000,0.749876,0.170000,-4.176471
2.700000,2.930000,2.760000,-30.200000,0.759261,0.190000,-4.666667
2.500000,3.030000,2.800000,-30.800000,0.779736,0.250000,-4.352941
2.700000,3.030000,2.840000,-30.400000,0.792755,0.170000,-4.661319
2.600000,3.130000,2.880000,-30.600000,0.802268,0.190000,-4.308378
2.400000,3.170000,2.920000,-30.800000,0.811814,0.110000,-4.461676
2.500000,3.130000,2.960000,-30.200000,0.821204,0.170000,-4.518717
2.500000,3.210000,3.000000,-29.800000,0.830750,0.130000,-4.240642
2.500000,3.270000,3.040000,-31.000000,0.840276,0.110000,-4.680927
2.500000,3.310000,3.080000,-30.400000,0.849831,0.190000,-4.176471
2.500000,3.350000,3.120000,-30.800000,0.862387,0.270000,-4.401070
2.500000,3.350000,3.160000,-31.000000,0.880032,0.190000,-4.315508
2.800000,3.370000,3.200000,-30.400000,0.889531,0.150000,-4.648841
2.600000,3.410000,3.240000,-30.200000,0.899034,0.150000,-4.185383
2.700000,3.430000,3.280000,-30.600000,0.908392,0.210000,-4.702317
2.700000,3.530000,3.320000,-30.400000,0.917879,0.150000,-4.238859
2.800000,3.490000,3.360000,-30.800000,0.927268,0.170000,-4.593583
2.400000,3.570000,3.400000,-30.600000,0.936819,0.150000,-4.413547
2.800000,3.650000,3.440000,-30.600000,0.946236,0.170000,-4.361854
2.900000,3.670000,3.480000,-30.200000,0.955750,0.130000,-4.616756
2.400000,3.770000,3.520000,-30.600000,0.974852,0.110000,-4.718360
2.400000,3.790000,3.560000,-30.800000,0.990490,0.130000,-4.707665
2.500000,3.810000,3.600000,-30.600000,1.000864,0.210000,-4.226381
2.800000,3.850000,3.640000,-30.600000,1.010354,0.170000,-4.622103
2.500000,3.870000,3.680000,-30.200000,1.019874,0.150000,-4.381462
2.500000,3.930000,3.720000,-31.000000,1.030121,0.130000,-4.404635
2.500000,3.990000,3.760000,-30.600000,1.039935,0.150000,-4.677362
2.700000,4.090000,3.800000,-30.400000,1.050137,0.150000,-4.192513
2.700000,4.030000,3.840000,-30.600000,1.060933,0.130000,-4.643494
2.800000,4.010000,3.880000,-30.200000,1.082089,0.150000,-4.215686
2.700000,4.130000,3.920000,-30.200000,1.093047,0.190000,-4.698752
2.600000,4.230000,3.960000,-30.600000,1.102905,0.150000,-4.351159
2.700000,4.250000,4.000000,-30.800000,1.112625,0.110000,-4.395722
2.600000,4.270000,4.040000,-30.000000,1.122047,0.250000,-4.581105
2.700000,4.330000,4.080000,-30.200000,1.131456,0.210000,-4.240642
2.800000,4.390000,4.120000,-30.200000,1.140999,0.190000,-4.721925
2.700000,4.370000,4.160000,-30.600000,1.150382,0.130000,-4.213904
2.500000,4.410000,4.200000,-30.400000,1.159866,0.130000,-4.664884
2.600000,4.490000,4.240000,-30.600000,1.169297,0.110000,-4.340463
2.600000,4.550000,4.280000,-30.800000,1.178870,0.070000,-4.459893
2.600000,4.590000,4.320000,-30.400000,1.188249,0.170000,-4.559715
2.600000,4.650000,4.360000,-30.000000,1.197749,0.170000,-4.265597
2.200000,4.630000,4.400000,-30.600000,1.207128,0.130000,-4.704100
2.700000,4.730000,4.440000,-30.400000,1.216584,0.150000,-4.181818
2.400000,4.710000,4.480000,-30.800000,1.226008,0.170000,-4.675579
2.500000,4.890000,4.520000,-30.800000,1.235379,0.150000,-4.283422
2.800000,4.810000,4.560000,-33.600000,1.244932,0.230000,-4.493761
2.800000,4.890000,4.600000,-32.400000,1.254465,0.110000,-4.491979
2.500000,4.950000,4.640000,-33.000000,1.263954,0.090000,-4.292335
2.600000,5.070000,4.680000,-30.800000,1.299764,0.150000,-4.192513
2.700000,4.990000,4.720000,-30.800000,1.309391,0.230000,-4.679144
2.600000,5.030000,4.760000,-30.800000,1.318796,0.210000,-4.292335
2.700000,5.150000,4.800000,-30.800000,1.328164,0.190000,-4.509804
