# Date: 20210622
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_SPI22_003
# Fit of Tap:
#	Ic = 57.7 +/- 0.27 A
#	n = 50 +/- 2.9 
#	Vc = 3 uV
#	Vfloor = 3.42 +/- 1.3 uV
#	R = 3.91 +/- 0.039 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.300000,0.270000,0.000000,-30.400000,0.065224,0.110000,-4.762923
3.200000,0.210000,0.040000,-30.400000,0.099835,0.150000,-4.880570
3.400000,0.210000,0.080000,-31.000000,0.110637,0.110000,-4.085561
3.100000,0.250000,0.120000,-30.800000,0.120709,0.190000,-4.531194
3.200000,0.110000,0.160000,-30.400000,0.130804,0.130000,-4.604278
3.200000,0.350000,0.200000,-32.000000,0.140801,-0.050000,-4.023173
3.200000,0.370000,0.240000,-30.600000,0.150792,0.170000,-4.898396
3.300000,0.370000,0.280000,-30.800000,0.160744,0.050000,-4.112299
3.100000,0.390000,0.320000,-30.600000,0.170682,0.170000,-4.549020
3.400000,0.370000,0.360000,-30.200000,0.180609,0.170000,-4.588235
3.400000,0.490000,0.400000,-35.400000,0.190650,-0.110000,-4.039216
3.000000,0.550000,0.440000,-30.600000,0.200701,0.130000,-4.905526
3.200000,0.590000,0.480000,-30.600000,0.210656,0.070000,-4.090909
3.300000,0.630000,0.520000,-30.400000,0.220609,0.170000,-4.552585
3.300000,0.710000,0.560000,-30.200000,0.234134,0.170000,-4.896613
3.200000,0.730000,0.600000,-30.000000,0.262772,0.170000,-4.372549
3.100000,0.770000,0.640000,-30.800000,0.278401,0.110000,-4.208556
3.200000,0.830000,0.680000,-30.600000,0.289261,0.070000,-4.208556
3.500000,0.830000,0.720000,-30.600000,0.299326,0.150000,-4.836007
3.000000,0.850000,0.760000,-30.200000,0.309341,0.130000,-3.959002
3.200000,0.870000,0.800000,-30.000000,0.319362,0.190000,-4.732620
3.000000,0.970000,0.840000,-30.600000,0.329349,0.110000,-4.368984
3.200000,1.030000,0.880000,-30.400000,0.339349,0.150000,-4.206774
3.600000,1.070000,0.920000,-30.400000,0.349205,0.130000,-4.839572
3.200000,1.090000,0.960000,-30.400000,0.358588,0.130000,-3.959002
3.100000,1.150000,1.000000,-30.600000,0.368034,0.130000,-4.868093
3.400000,1.190000,1.040000,-31.000000,0.378249,0.030000,-4.210339
3.500000,1.190000,1.080000,-30.800000,0.387804,0.150000,-4.434938
3.400000,1.170000,1.120000,-30.600000,0.397167,0.190000,-4.573975
3.300000,1.330000,1.160000,-30.800000,0.406505,0.150000,-4.106952
3.100000,1.370000,1.200000,-30.800000,0.415909,0.130000,-4.825312
3.200000,1.350000,1.240000,-30.400000,0.425276,0.130000,-3.955437
3.200000,1.430000,1.280000,-30.800000,0.434616,0.150000,-4.859180
3.500000,1.490000,1.320000,-30.200000,0.454179,0.130000,-4.502674
3.300000,1.450000,1.360000,-30.800000,0.463601,0.130000,-4.527629
3.000000,1.610000,1.400000,-30.600000,0.473076,0.150000,-4.139037
3.500000,1.550000,1.440000,-30.800000,0.482437,0.190000,-4.816399
3.200000,1.570000,1.480000,-30.800000,0.491939,0.170000,-3.955437
3.300000,1.670000,1.520000,-30.600000,0.501270,0.210000,-4.862745
3.300000,1.750000,1.560000,-31.000000,0.510604,0.090000,-4.078431
3.500000,1.730000,1.600000,-30.400000,0.520014,0.170000,-4.631016
3.300000,1.810000,1.640000,-30.600000,0.529333,0.130000,-4.372549
3.300000,1.930000,1.680000,-30.600000,0.548162,0.150000,-4.721925
3.400000,1.870000,1.720000,-30.200000,0.563198,0.110000,-4.454545
3.300000,1.910000,1.760000,-30.600000,0.573371,0.190000,-4.105169
3.300000,1.950000,1.800000,-30.800000,0.582764,0.110000,-4.866310
