# Date: 20210622
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_SPI22_003
# Fit of Tap:
#	Ic = 237 +/- 26 A
#	n = 3.18 +/- 0.61 
#	Vc = 3 uV
#	Vfloor = 3.26 +/- 0.0089 uV
#	R = 0.000454 +/- 0.00045 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.300000,0.270000,0.000000,-31.600000,0.057439,0.030000,-4.490196
3.100000,0.290000,0.040000,-31.000000,0.086644,0.150000,-4.937611
3.300000,0.270000,0.080000,-31.000000,0.110865,0.170000,-4.019608
3.200000,0.270000,0.120000,-31.000000,0.121041,0.190000,-4.921569
3.100000,0.250000,0.160000,-31.200000,0.130411,0.110000,-4.117647
3.100000,0.290000,0.200000,-30.800000,0.139752,0.170000,-4.684492
3.200000,0.350000,0.240000,-30.800000,0.149112,0.130000,-4.401070
3.400000,0.350000,0.280000,-31.200000,0.158390,0.070000,-4.324421
3.300000,0.430000,0.320000,-30.600000,0.167687,0.090000,-4.718360
3.000000,0.450000,0.360000,-31.200000,0.177051,0.170000,-4.053476
3.200000,0.510000,0.400000,-30.800000,0.186369,0.150000,-4.932264
3.300000,0.550000,0.440000,-30.800000,0.195668,0.150000,-3.991087
3.400000,0.590000,0.480000,-30.600000,0.205009,0.130000,-4.871658
3.200000,0.650000,0.520000,-31.000000,0.225070,0.170000,-4.340463
3.500000,0.630000,0.560000,-30.400000,0.234475,0.170000,-4.746881
3.200000,0.710000,0.600000,-30.800000,0.243785,0.110000,-4.062389
3.200000,0.770000,0.640000,-31.000000,0.253151,0.150000,-4.939394
2.800000,0.810000,0.680000,-30.800000,0.262464,0.130000,-4.008913
3.200000,0.870000,0.720000,-30.600000,0.271774,0.150000,-4.850267
3.300000,1.290000,0.760000,-30.800000,0.281142,-0.010000,-4.199643
3.100000,0.910000,0.800000,-30.400000,0.290560,0.150000,-4.545455
3.300000,0.970000,0.840000,-30.200000,0.300000,0.130000,-4.561497
3.300000,1.030000,0.880000,-31.000000,0.309334,0.110000,-4.188948
3.400000,1.110000,0.920000,-30.800000,0.318655,0.090000,-4.843137
3.100000,1.150000,0.960000,-30.800000,0.328059,0.150000,-4.000000
3.100000,1.150000,1.000000,-31.000000,0.337393,0.170000,-4.935829
3.200000,1.170000,1.040000,-30.800000,0.346716,0.130000,-4.073084
3.200000,1.210000,1.080000,-30.800000,0.356105,0.130000,-4.730838
2.900000,1.250000,1.120000,-30.800000,0.365412,0.150000,-4.331551
3.000000,1.370000,1.160000,-30.800000,0.374699,0.230000,-4.388592
3.400000,1.270000,1.200000,-30.200000,0.384086,0.130000,-4.682709
3.500000,1.370000,1.240000,-31.200000,0.407313,0.210000,-4.534759
3.400000,1.470000,1.280000,-30.800000,0.427325,0.190000,-4.033868
3.400000,1.450000,1.320000,-31.200000,0.436682,0.090000,-4.926916
3.100000,1.550000,1.360000,-30.800000,0.446037,0.110000,-4.008913
3.000000,1.490000,1.400000,-30.800000,0.455343,0.130000,-4.807487
3.100000,1.570000,1.440000,-31.000000,0.464658,0.110000,-4.212121
3.200000,1.650000,1.480000,-30.800000,0.474035,0.190000,-4.515152
3.300000,1.630000,1.520000,-30.200000,0.483321,0.150000,-4.543672
3.100000,1.710000,1.560000,-31.000000,0.492615,0.110000,-4.174688
3.500000,1.810000,1.600000,-30.600000,0.502020,0.130000,-4.782531
3.300000,1.750000,1.640000,-33.600000,0.511498,0.170000,-3.994652
3.100000,1.850000,1.680000,-31.000000,0.521106,0.150000,-4.896613
3.200000,1.910000,1.720000,-33.200000,0.530474,0.110000,-4.098039
3.400000,1.910000,1.760000,-30.600000,0.540016,0.150000,-4.618538
3.200000,1.930000,1.800000,-30.800000,0.549351,0.150000,-4.402852
3.200000,1.930000,1.840000,-30.800000,0.558705,0.030000,-4.272727
3.100000,2.090000,1.880000,-30.800000,0.568112,0.150000,-4.709447
3.200000,2.210000,1.920000,-31.600000,0.577425,0.150000,-4.017825
3.000000,2.110000,1.960000,-30.600000,0.589690,0.170000,-4.673797
3.300000,2.190000,2.000000,-32.200000,0.606430,0.110000,-4.641711
3.400000,2.210000,2.040000,-30.600000,0.615922,0.150000,-4.374332
3.100000,2.230000,2.080000,-31.000000,0.625234,0.130000,-4.286988
3.300000,2.190000,2.120000,-30.600000,0.634562,0.230000,-4.680927
3.200000,2.310000,2.160000,-30.800000,0.643942,0.150000,-4.032086
3.100000,2.370000,2.200000,-31.000000,0.653265,0.150000,-4.860963
3.500000,2.370000,2.240000,-30.800000,0.662563,0.090000,-4.005348
