# Date: 20210622
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_SPI22_003
# Fit of Tap:
#	Ic = 169 +/- 12 A
#	n = 48 +/- 49 
#	Vc = 3 uV
#	Vfloor = 2.91 +/- 7.6e+41 uV
#	R = 7.54 +/- 5.4e+38 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.700000,0.310000,0.000000,-30.800000,0.029729,0.210000,-4.627451
2.600000,0.190000,0.040000,-30.800000,0.039420,0.190000,-4.438503
2.300000,0.210000,0.080000,-31.200000,0.048853,0.130000,-4.199643
2.500000,0.230000,0.120000,-30.800000,0.058175,0.130000,-4.770053
2.700000,0.250000,0.160000,-31.000000,0.067576,0.190000,-3.980392
2.400000,0.310000,0.200000,-31.000000,0.076889,0.190000,-4.909091
2.400000,0.370000,0.240000,-30.400000,0.086214,0.110000,-4.016043
2.300000,0.330000,0.280000,-31.200000,0.095569,0.110000,-4.739750
2.500000,0.410000,0.320000,-30.600000,0.104931,0.150000,-4.251337
2.300000,0.490000,0.360000,-31.000000,0.114239,0.150000,-4.436720
2.500000,0.470000,0.400000,-30.800000,0.123601,0.130000,-4.590018
2.400000,0.590000,0.440000,-31.000000,0.132961,0.130000,-4.122995
2.500000,0.650000,0.480000,-30.800000,0.142339,0.150000,-4.873440
2.500000,0.630000,0.520000,-30.800000,0.151610,0.150000,-3.978610
2.500000,0.710000,0.560000,-30.800000,0.160921,0.170000,-4.898396
2.200000,0.730000,0.600000,-30.800000,0.170252,0.170000,-4.073084
2.700000,0.750000,0.640000,-31.000000,0.179845,0.290000,-4.645276
2.600000,0.750000,0.680000,-30.800000,0.189191,0.150000,-4.422460
2.300000,0.810000,0.720000,-30.800000,0.198677,0.130000,-4.258467
2.400000,0.930000,0.760000,-30.600000,0.208016,0.130000,-4.743316
2.500000,0.890000,0.800000,-31.400000,0.217322,0.170000,-4.010695
2.600000,1.010000,0.840000,-30.800000,0.230083,0.210000,-4.598930
2.400000,1.010000,0.880000,-30.800000,0.261386,0.210000,-4.850267
2.500000,1.070000,0.920000,-30.800000,0.271663,0.110000,-4.244207
2.500000,1.130000,0.960000,-30.200000,0.281032,0.210000,-4.422460
2.600000,1.090000,1.000000,-30.600000,0.290384,0.090000,-4.600713
2.500000,1.170000,1.040000,-31.200000,0.299819,0.130000,-4.090909
2.400000,1.170000,1.080000,-30.800000,0.309138,0.170000,-4.855615
2.400000,1.230000,1.120000,-30.800000,0.318562,0.150000,-3.946524
2.700000,1.310000,1.160000,-31.400000,0.327931,-0.110000,-4.857398
2.500000,1.370000,1.200000,-32.800000,0.337715,0.190000,-4.147950
2.400000,1.390000,1.240000,-32.000000,0.347200,0.130000,-4.520499
2.500000,1.410000,1.280000,-30.800000,0.356642,0.150000,-4.516934
2.100000,1.450000,1.320000,-30.800000,0.365968,0.110000,-4.160428
