# Date: 20210622
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_SPI22_003
# Fit of Tap:
#	Ic = 178 +/- 0.033 A
#	n = 33.5 +/- 0.36 
#	Vc = 3 uV
#	Vfloor = 2.76 +/- 0.0071 uV
#	R = 0.0001 +/- 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.200000,0.230000,0.000000,-30.600000,0.026781,0.170000,-3.987522
3.100000,0.250000,0.040000,-30.800000,0.036504,0.130000,-4.811052
3.000000,0.330000,0.080000,-31.000000,0.045979,0.070000,-4.240642
3.000000,0.310000,0.120000,-30.800000,0.055303,0.150000,-4.479501
3.100000,0.190000,0.160000,-31.200000,0.064639,0.150000,-4.579323
3.000000,0.330000,0.200000,-31.000000,0.074018,0.130000,-4.147950
3.000000,0.330000,0.240000,-31.000000,0.083328,0.110000,-4.860963
3.200000,0.310000,0.280000,-30.800000,0.092675,0.170000,-3.989305
3.100000,0.430000,0.320000,-31.000000,0.102074,0.150000,-4.916221
3.000000,0.470000,0.360000,-30.800000,0.111380,0.150000,-4.090909
3.000000,0.490000,0.400000,-30.800000,0.120701,0.170000,-4.707665
3.200000,0.570000,0.440000,-30.800000,0.130093,0.110000,-4.338681
3.200000,0.610000,0.480000,-31.000000,0.139449,0.150000,-4.352941
3.200000,0.730000,0.520000,-30.800000,0.163069,0.150000,-4.286988
3.200000,0.630000,0.560000,-32.400000,0.173481,0.130000,-4.240642
3.200000,0.730000,0.600000,-30.600000,0.182980,0.090000,-4.805704
3.200000,0.790000,0.640000,-30.600000,0.192360,0.050000,-3.987522
2.900000,0.810000,0.680000,-30.600000,0.201720,0.190000,-4.926916
3.200000,0.870000,0.720000,-30.800000,0.221670,0.190000,-4.565062
3.100000,0.890000,0.760000,-30.600000,0.231159,0.110000,-4.554367
3.100000,0.910000,0.800000,-30.800000,0.240512,0.130000,-4.203209
3.100000,0.950000,0.840000,-30.800000,0.249826,0.130000,-4.832442
3.100000,1.010000,0.880000,-30.800000,0.259220,0.090000,-3.992870
3.100000,1.050000,0.920000,-30.800000,0.268556,0.170000,-4.935829
3.100000,1.130000,0.960000,-30.800000,0.277935,0.110000,-4.074866
3.100000,1.130000,1.000000,-30.800000,0.287265,0.130000,-4.730838
3.100000,1.150000,1.040000,-31.000000,0.296601,0.090000,-4.313725
3.000000,1.210000,1.080000,-31.200000,0.305991,0.170000,-4.372549
3.200000,1.250000,1.120000,-30.600000,0.315309,0.150000,-4.664884
3.100000,1.310000,1.160000,-31.000000,0.324640,0.150000,-4.067736
3.100000,1.390000,1.200000,-31.200000,0.334022,0.110000,-4.885918
3.000000,1.350000,1.240000,-31.200000,0.343355,0.170000,-3.966132
3.100000,1.350000,1.280000,-30.800000,0.352660,0.190000,-4.864528
3.100000,1.370000,1.320000,-31.000000,0.362073,0.150000,-4.142602
3.200000,1.530000,1.360000,-30.600000,0.371396,0.150000,-4.618538
2.900000,1.510000,1.400000,-30.800000,0.380739,0.130000,-4.465241
3.000000,1.630000,1.440000,-31.400000,0.390160,0.170000,-4.265597
3.200000,1.610000,1.480000,-30.800000,0.402426,0.150000,-4.898396
3.200000,1.630000,1.520000,-32.000000,0.419274,0.170000,-4.894831
3.100000,1.630000,1.560000,-31.200000,0.428793,0.070000,-4.156863
3.000000,1.750000,1.600000,-30.800000,0.438215,0.210000,-4.604278
3.000000,1.830000,1.640000,-31.200000,0.462489,0.090000,-4.194296
3.200000,1.870000,1.680000,-30.800000,0.472634,0.150000,-4.402852
3.100000,1.890000,1.720000,-30.600000,0.482450,0.130000,-4.714795
2.900000,1.950000,1.760000,-31.000000,0.492136,0.150000,-4.019608
3.000000,1.970000,1.800000,-30.800000,0.501511,0.230000,-4.932264
3.000000,2.070000,1.840000,-30.600000,0.510981,0.170000,-4.024955
3.200000,2.030000,1.880000,-30.600000,0.520319,0.150000,-4.768271
3.000000,2.210000,1.920000,-31.000000,0.529665,0.110000,-4.238859
3.100000,2.190000,1.960000,-31.000000,0.539061,0.190000,-4.459893
3.400000,2.110000,2.000000,-30.400000,0.548409,0.090000,-4.611408
