# Date: 20210622
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_SPI22_004
# Fit of Tap:
#	Ic = 22.2 A
#	n = 50 
#	Vc = 3 uV
#	Vfloor = 5.08 uV
#	R = 7.76 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.500000,0.230000,0.000000,-30.600000,0.038996,0.230000,-0.349376
2.800000,0.230000,0.040000,-30.400000,0.053855,0.370000,-0.347594
2.800000,0.290000,0.080000,-30.800000,0.064481,0.130000,-0.342246
2.800000,0.210000,0.120000,-30.400000,0.073919,0.150000,-0.361854
2.800000,0.210000,0.160000,-29.800000,0.083319,0.130000,-0.344029
2.600000,0.310000,0.200000,-30.400000,0.092645,0.150000,-0.345811
2.700000,0.450000,0.240000,-30.800000,0.101973,0.110000,-0.351159
2.700000,0.370000,0.280000,-31.000000,0.111381,0.150000,-0.358289
2.800000,0.330000,0.320000,-30.600000,0.120717,0.130000,-0.351159
2.600000,0.470000,0.360000,-30.800000,0.130039,0.190000,-0.352941
2.700000,0.550000,0.400000,-30.400000,0.139769,0.190000,-0.363636
2.700000,0.510000,0.440000,-30.800000,0.149319,0.230000,-0.345811
2.600000,0.550000,0.480000,-30.400000,0.158638,0.190000,-0.356506
2.800000,0.690000,0.520000,-30.400000,0.167952,0.150000,-0.347594
3.000000,0.570000,0.560000,-30.800000,0.177337,0.210000,-0.349376
2.400000,0.730000,0.600000,-31.200000,0.186666,0.110000,-0.338681
2.800000,0.770000,0.640000,-30.600000,0.195996,0.170000,-0.354724
2.600000,0.790000,0.680000,-30.200000,0.205361,0.170000,-0.352941
2.600000,0.870000,0.720000,-30.600000,0.225436,0.230000,-0.352941
2.600000,0.830000,0.760000,-30.600000,0.234859,0.110000,-0.345811
2.600000,0.890000,0.800000,-30.400000,0.244176,0.190000,-0.360071
2.600000,0.930000,0.840000,-30.600000,0.253584,0.210000,-0.352941
2.600000,1.010000,0.880000,-30.800000,0.262857,0.190000,-0.358289
2.700000,1.050000,0.920000,-30.200000,0.272137,0.190000,-0.351159
2.800000,1.090000,0.960000,-30.400000,0.281498,0.050000,-0.342246
2.600000,1.130000,1.000000,-30.600000,0.290795,0.110000,-0.356506
2.800000,1.130000,1.040000,-29.800000,0.300132,0.170000,-0.345811
2.700000,1.230000,1.080000,-31.000000,0.309558,0.150000,-0.356506
2.500000,1.290000,1.120000,-30.600000,0.328424,0.150000,-0.352941
2.800000,1.410000,1.160000,-30.600000,0.343353,0.210000,-0.351159
2.800000,1.370000,1.200000,-30.600000,0.353557,0.170000,-0.347594
2.600000,1.350000,1.240000,-30.600000,0.362904,0.150000,-0.354724
2.900000,1.370000,1.280000,-30.200000,0.372208,0.170000,-0.358289
2.600000,1.490000,1.320000,-30.800000,0.381568,0.050000,-0.352941
2.600000,1.530000,1.360000,-31.400000,0.391272,0.210000,-0.360071
2.700000,1.570000,1.400000,-30.600000,0.410722,0.190000,-0.352941
2.600000,1.590000,1.440000,-30.400000,0.420223,0.150000,-0.352941
2.600000,1.630000,1.480000,-30.800000,0.429548,0.210000,-0.363636
2.800000,1.550000,1.520000,-30.600000,0.438875,0.150000,-0.363636
2.900000,1.730000,1.560000,-30.600000,0.448277,0.130000,-0.351159
2.700000,1.770000,1.600000,-30.600000,0.457680,0.150000,-0.358289
2.700000,1.770000,1.640000,-29.800000,0.466987,0.170000,-0.345811
2.600000,1.890000,1.680000,-30.600000,0.476355,0.190000,-0.358289
2.600000,1.970000,1.720000,-30.600000,0.485657,0.150000,-0.347594
2.700000,1.850000,1.760000,-30.800000,0.494996,0.270000,-0.354724
2.700000,1.950000,1.800000,-30.000000,0.504383,0.150000,-0.351159
2.600000,2.030000,1.840000,-30.800000,0.513714,0.170000,-0.349376
2.800000,2.070000,1.880000,-30.200000,0.523039,0.170000,-0.345811
2.700000,2.110000,1.920000,-30.400000,0.532405,0.130000,-0.347594
2.300000,2.150000,1.960000,-30.400000,0.541729,0.190000,-0.351159
2.900000,2.070000,2.000000,-30.800000,0.551033,0.130000,-0.345811
2.900000,2.150000,2.040000,-30.400000,0.560388,0.170000,-0.352941
2.700000,2.290000,2.080000,-30.600000,0.569690,0.210000,-0.345811
2.600000,2.310000,2.120000,-30.600000,0.578987,0.170000,-0.351159
2.600000,2.410000,2.160000,-31.000000,0.591392,0.090000,-0.352941
2.700000,2.410000,2.200000,-31.400000,0.608269,0.150000,-0.360071
2.800000,2.430000,2.240000,-30.200000,0.627066,0.170000,-0.358289
2.800000,2.450000,2.280000,-30.600000,0.641589,0.190000,-0.367201
2.600000,2.510000,2.320000,-30.600000,0.652005,0.150000,-0.360071
