# Date: 20210622
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_SPI57_004
# Fit of Tap:
#	Ic = 162 +/- 0.024 A
#	n = 41.9 +/- 0.51 
#	Vc = 3 uV
#	Vfloor = 3.54 +/- 0.0056 uV
#	R = 0.0001 +/- 6.5e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.600000,0.310000,0.000000,-30.600000,0.079113,0.130000,-0.349376
3.700000,0.250000,0.040000,-30.200000,0.119231,0.090000,-0.347594
3.300000,0.150000,0.080000,-31.000000,0.134395,0.110000,-0.345811
3.500000,0.250000,0.120000,-30.800000,0.144729,0.150000,-0.352941
3.800000,0.310000,0.160000,-30.000000,0.154356,0.210000,-0.354724
3.800000,0.290000,0.200000,-30.600000,0.163806,0.150000,-0.342246
3.400000,0.390000,0.240000,-30.800000,0.173235,0.110000,-0.354724
3.600000,0.410000,0.280000,-30.600000,0.182606,0.170000,-0.351159
3.500000,0.390000,0.320000,-30.200000,0.192038,0.150000,-0.358289
3.700000,0.430000,0.360000,-30.600000,0.201567,0.170000,-0.344029
3.600000,0.510000,0.400000,-30.400000,0.221771,0.170000,-0.356506
3.700000,0.590000,0.440000,-30.600000,0.231448,0.110000,-0.351159
3.500000,0.650000,0.480000,-30.400000,0.241066,0.190000,-0.354724
3.500000,0.630000,0.520000,-30.200000,0.250566,0.130000,-0.340463
3.400000,0.630000,0.560000,-31.200000,0.259968,0.170000,-0.352941
3.800000,0.710000,0.600000,-30.400000,0.269433,0.130000,-0.349376
3.700000,0.790000,0.640000,-30.600000,0.278873,0.050000,-0.347594
3.700000,0.810000,0.680000,-30.400000,0.288355,0.110000,-0.354724
3.500000,0.910000,0.720000,-30.600000,0.297780,0.190000,-0.344029
3.600000,0.870000,0.760000,-30.800000,0.307280,0.130000,-0.352941
3.500000,0.890000,0.800000,-30.600000,0.316656,0.170000,-0.344029
3.600000,0.950000,0.840000,-30.800000,0.326092,0.150000,-0.349376
3.600000,1.050000,0.880000,-30.400000,0.335539,0.170000,-0.345811
3.600000,1.090000,0.920000,-30.800000,0.344999,0.170000,-0.342246
3.500000,1.110000,0.960000,-30.200000,0.354376,0.170000,-0.349376
3.600000,1.150000,1.000000,-30.200000,0.363786,0.170000,-0.344029
3.600000,1.150000,1.040000,-30.400000,0.382620,0.190000,-0.342246
3.600000,1.210000,1.080000,-30.600000,0.397017,0.150000,-0.338681
3.400000,1.310000,1.120000,-30.400000,0.417593,0.150000,-0.336898
3.700000,1.310000,1.160000,-30.200000,0.427206,0.170000,-0.345811
3.600000,1.370000,1.200000,-30.600000,0.436586,0.130000,-0.344029
3.400000,1.390000,1.240000,-30.600000,0.446043,0.150000,-0.345811
3.700000,1.430000,1.280000,-30.400000,0.455483,0.170000,-0.349376
3.700000,1.430000,1.320000,-30.600000,0.464969,0.110000,-0.344029
3.500000,1.470000,1.360000,-30.600000,0.474330,0.150000,-0.351159
3.700000,1.570000,1.400000,-30.000000,0.484269,0.090000,-0.345811
3.500000,1.570000,1.440000,-30.800000,0.494002,0.190000,-0.354724
3.700000,1.610000,1.480000,-30.200000,0.503481,0.190000,-0.354724
3.600000,1.670000,1.520000,-30.800000,0.512904,0.190000,-0.356506
3.700000,1.730000,1.560000,-30.600000,0.522364,0.130000,-0.356506
3.700000,1.610000,1.600000,-30.200000,0.531770,0.110000,-0.354724
3.400000,1.810000,1.640000,-30.600000,0.541310,0.150000,-0.358289
3.300000,1.990000,1.680000,-30.000000,0.550721,0.110000,-0.345811
3.600000,1.830000,1.720000,-30.200000,0.560281,0.210000,-0.356506
3.600000,1.910000,1.760000,-31.000000,0.569680,0.130000,-0.344029
3.700000,1.910000,1.800000,-30.400000,0.579170,0.090000,-0.345811
3.600000,1.990000,1.840000,-30.600000,0.591663,0.150000,-0.363636
3.500000,2.070000,1.880000,-30.800000,0.608719,0.190000,-0.358289
3.600000,2.050000,1.920000,-30.800000,0.618282,0.090000,-0.351159
3.500000,2.130000,1.960000,-30.800000,0.627686,0.130000,-0.352941
3.700000,2.110000,2.000000,-30.400000,0.637197,0.210000,-0.354724
3.800000,2.210000,2.040000,-30.400000,0.646606,0.130000,-0.356506
3.500000,2.290000,2.080000,-30.400000,0.655999,0.150000,-0.352941
3.500000,2.270000,2.120000,-30.400000,0.665454,0.030000,-0.354724
3.700000,2.390000,2.160000,-30.600000,0.689269,0.150000,-0.352941
3.600000,2.410000,2.200000,-30.600000,0.699561,0.130000,-0.345811
3.700000,2.350000,2.240000,-30.600000,0.709012,0.210000,-0.354724
3.700000,2.370000,2.280000,-30.400000,0.718480,0.110000,-0.347594
3.600000,2.490000,2.320000,-30.800000,0.727928,0.250000,-0.351159
3.600000,2.530000,2.360000,-30.400000,0.737953,0.270000,-0.358289
3.500000,2.590000,2.400000,-30.600000,0.747528,0.210000,-0.342246
3.500000,2.630000,2.440000,-30.800000,0.756964,0.150000,-0.361854
3.700000,2.610000,2.480000,-30.600000,0.766448,0.230000,-0.351159
3.600000,2.690000,2.520000,-30.400000,0.775878,0.190000,-0.352941
3.600000,2.770000,2.560000,-30.800000,0.795727,0.110000,-0.354724
3.600000,2.810000,2.600000,-30.400000,0.805287,0.150000,-0.363636
3.600000,2.830000,2.640000,-30.400000,0.814674,0.210000,-0.349376
3.600000,2.850000,2.680000,-30.600000,0.824114,0.130000,-0.368984
3.700000,2.890000,2.720000,-30.800000,0.833482,0.150000,-0.356506
3.700000,2.870000,2.760000,-30.600000,0.842943,0.190000,-0.363636
3.400000,2.990000,2.800000,-30.600000,0.852341,0.110000,-0.358289
3.700000,3.070000,2.840000,-31.000000,0.861853,0.150000,-0.361854
3.500000,3.070000,2.880000,-31.000000,0.871407,0.110000,-0.361854
3.700000,3.210000,2.920000,-30.400000,0.880979,0.150000,-0.351159
3.700000,3.150000,2.960000,-30.800000,0.890444,0.150000,-0.363636
3.500000,3.190000,3.000000,-31.400000,0.899847,0.210000,-0.356506
3.600000,3.230000,3.040000,-30.200000,0.909304,0.170000,-0.363636
3.500000,3.230000,3.080000,-30.600000,0.918711,0.090000,-0.354724
3.700000,3.290000,3.120000,-31.000000,0.928205,0.170000,-0.361854
3.500000,3.270000,3.160000,-30.200000,0.937598,0.150000,-0.365419
3.600000,3.350000,3.200000,-30.200000,0.947001,0.170000,-0.386809
3.500000,3.450000,3.240000,-30.800000,0.956488,0.130000,-0.372549
3.400000,3.450000,3.280000,-30.600000,0.965904,0.110000,-0.358289
3.700000,3.510000,3.320000,-31.400000,1.000059,0.210000,-0.349376
3.500000,3.530000,3.360000,-31.200000,1.009594,0.170000,-0.361854
3.600000,3.550000,3.400000,-30.800000,1.018931,0.110000,-0.347594
3.600000,3.650000,3.440000,-30.600000,1.028333,0.190000,-0.352941
3.600000,3.670000,3.480000,-30.200000,1.037675,0.210000,-0.354724
3.700000,3.710000,3.520000,-30.600000,1.047030,0.150000,-0.361854
3.700000,3.790000,3.560000,-30.400000,1.056440,0.190000,-0.360071
3.500000,3.790000,3.600000,-30.400000,1.065770,0.090000,-0.344029
3.500000,3.870000,3.640000,-30.800000,1.075091,0.190000,-0.363636
3.700000,3.850000,3.680000,-30.600000,1.084496,0.130000,-0.356506
3.500000,3.930000,3.720000,-30.600000,1.093792,0.130000,-0.368984
3.600000,4.010000,3.760000,-30.400000,1.103179,0.130000,-0.358289
3.500000,4.010000,3.800000,-30.800000,1.112484,0.150000,-0.358289
3.500000,4.050000,3.840000,-30.600000,1.121783,0.190000,-0.361854
3.600000,4.050000,3.880000,-30.800000,1.131187,0.190000,-0.356506
3.300000,4.130000,3.920000,-30.800000,1.140506,0.170000,-0.363636
3.700000,4.130000,3.960000,-30.600000,1.149788,0.210000,-0.356506
3.700000,4.290000,4.000000,-30.800000,1.159171,0.210000,-0.365419
3.500000,4.210000,4.040000,-30.600000,1.168514,0.250000,-0.360071
3.600000,4.310000,4.080000,-30.800000,1.188402,0.410000,-0.385027
3.500000,4.390000,4.120000,-30.600000,1.197862,0.210000,-0.356506
3.400000,4.430000,4.160000,-30.400000,1.207261,0.130000,-0.361854
3.700000,4.450000,4.200000,-30.800000,1.216563,0.250000,-0.351159
3.700000,4.450000,4.240000,-30.600000,1.225941,0.190000,-0.356506
3.500000,4.450000,4.280000,-30.600000,1.235326,0.090000,-0.349376
3.600000,4.590000,4.320000,-30.600000,1.244746,0.130000,-0.356506
3.700000,4.550000,4.360000,-30.400000,1.254235,0.170000,-0.352941
3.500000,4.630000,4.400000,-30.600000,1.263546,0.170000,-0.356506
3.700000,4.690000,4.440000,-30.800000,1.282372,0.090000,-0.347594
3.800000,4.770000,4.480000,-30.800000,1.296685,0.170000,-0.354724
3.500000,4.810000,4.520000,-31.200000,1.306774,0.150000,-0.365419
3.600000,4.810000,4.560000,-30.600000,1.316230,0.110000,-0.345811
3.500000,4.930000,4.600000,-33.200000,1.325669,0.150000,-0.377897
3.500000,4.910000,4.640000,-30.600000,1.335160,0.130000,-0.349376
3.500000,4.970000,4.680000,-30.400000,1.344579,0.130000,-0.356506
3.600000,4.950000,4.720000,-30.600000,1.353877,0.150000,-0.360071
3.600000,5.030000,4.760000,-30.800000,1.363257,0.150000,-0.354724
3.600000,5.070000,4.800000,-30.800000,1.375850,0.150000,-0.352941
3.800000,5.110000,4.840000,-30.800000,1.392781,0.210000,-0.363636
3.500000,5.070000,4.880000,-30.800000,1.402237,0.170000,-0.358289
3.500000,5.190000,4.920000,-30.800000,1.411556,0.130000,-0.356506
3.700000,5.210000,4.960000,-30.600000,1.420868,0.170000,-0.356506
3.700000,5.290000,5.000000,-31.200000,1.430238,0.170000,-0.352941
3.500000,5.330000,5.040000,-31.000000,1.439617,0.110000,-0.360071
3.600000,5.350000,5.080000,-30.800000,1.448923,0.070000,-0.356506
3.600000,5.370000,5.120000,-31.200000,1.458275,0.190000,-0.365419
