# Date: 20200623
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_BARE_004
# Fit of Tap:
#	Ic = 35.5 +/- 4.1e+02 A
#	n = 64.7 +/- 5.3e+03 
#	Vc = 6 uV
#	Vfloor = 1.76 +/- 0.01 uV
#	R = 0.0145 +/- 0.00059 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.270000,0.000000,-30.800000,0.076362,0.210000,-0.338681
1.900000,0.270000,0.040000,-31.400000,0.115696,0.190000,-0.336898
1.700000,0.290000,0.080000,-31.200000,0.125924,0.210000,-0.351159
1.700000,0.190000,0.120000,-31.200000,0.135573,0.150000,-0.342246
1.800000,0.270000,0.160000,-30.800000,0.145059,0.190000,-0.345811
1.800000,0.290000,0.200000,-31.000000,0.154626,0.170000,-0.344029
1.900000,0.350000,0.240000,-31.600000,0.164053,0.130000,-0.345811
1.700000,0.510000,0.280000,-31.000000,0.173683,0.250000,-0.342246
1.700000,0.390000,0.320000,-31.400000,0.183513,0.150000,-0.336898
1.700000,0.410000,0.360000,-31.600000,0.193110,0.190000,-0.345811
1.600000,0.490000,0.400000,-31.200000,0.202655,0.170000,-0.340463
1.800000,0.630000,0.440000,-31.000000,0.223901,0.190000,-0.354724
1.900000,0.590000,0.480000,-31.000000,0.233569,0.170000,-0.340463
1.700000,0.630000,0.520000,-31.200000,0.243006,0.210000,-0.351159
1.800000,0.550000,0.560000,-31.200000,0.252547,0.130000,-0.347594
2.000000,0.690000,0.600000,-31.000000,0.276858,0.210000,-0.347594
1.500000,0.770000,0.640000,-30.800000,0.287230,0.170000,-0.342246
1.800000,0.830000,0.680000,-31.400000,0.296808,0.190000,-0.336898
1.800000,0.870000,0.720000,-31.000000,0.306335,0.250000,-0.351159
1.600000,0.890000,0.760000,-31.400000,0.315800,0.230000,-0.344029
1.600000,0.870000,0.800000,-31.400000,0.325306,0.090000,-0.347594
1.700000,0.930000,0.840000,-30.800000,0.334894,0.170000,-0.338681
1.900000,1.030000,0.880000,-31.400000,0.344506,0.170000,-0.349376
1.600000,0.990000,0.920000,-31.000000,0.353946,0.150000,-0.347594
1.900000,1.130000,0.960000,-31.400000,0.363506,0.190000,-0.342246
2.000000,1.070000,1.000000,-31.200000,0.373014,0.210000,-0.352941
2.000000,1.190000,1.040000,-31.200000,0.382580,0.210000,-0.344029
1.700000,1.210000,1.080000,-31.200000,0.392046,0.130000,-0.347594
1.900000,1.230000,1.120000,-31.200000,0.411821,0.210000,-0.345811
1.800000,1.270000,1.160000,-31.200000,0.421458,0.190000,-0.336898
1.700000,1.350000,1.200000,-32.000000,0.431660,0.150000,-0.335116
