# Date: 20200623
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_BARE_004
# Fit of Tap:
#	Ic = 172 +/- 0.014 A
#	n = 38.5 +/- 0.24 
#	Vc = 6 uV
#	Vfloor = 2.89 +/- 0.0057 uV
#	R = 0.0001 +/- 2.8e-06 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.700000,0.210000,0.000000,-31.200000,0.027111,0.130000,-0.376114
2.900000,0.270000,0.040000,-31.200000,0.037186,0.170000,-0.377897
2.900000,0.250000,0.080000,-31.200000,0.046910,0.150000,-0.352941
2.900000,0.210000,0.120000,-31.000000,0.056576,0.210000,-0.383244
2.500000,0.290000,0.160000,-30.800000,0.066230,0.130000,-0.376114
2.800000,0.290000,0.200000,-31.400000,0.075727,0.150000,-0.377897
2.900000,0.470000,0.240000,-30.800000,0.085299,0.150000,-0.379679
2.900000,0.410000,0.280000,-31.200000,0.094760,0.150000,-0.372549
2.900000,0.470000,0.320000,-31.400000,0.104325,0.150000,-0.374332
2.900000,0.410000,0.360000,-31.800000,0.113837,0.090000,-0.370766
3.100000,0.450000,0.400000,-31.000000,0.123324,0.190000,-0.374332
2.800000,0.530000,0.440000,-31.200000,0.132770,0.150000,-0.372549
3.000000,0.590000,0.480000,-31.400000,0.142297,0.130000,-0.370766
2.900000,0.690000,0.520000,-31.400000,0.151783,0.130000,-0.374332
2.800000,0.730000,0.560000,-31.400000,0.176503,0.130000,-0.370766
3.200000,0.690000,0.600000,-31.200000,0.186794,0.190000,-0.376114
2.800000,0.790000,0.640000,-31.200000,0.196385,0.150000,-0.374332
2.800000,0.810000,0.680000,-31.200000,0.205974,0.210000,-0.381462
2.800000,0.870000,0.720000,-31.000000,0.215478,0.210000,-0.370766
2.900000,0.870000,0.760000,-31.200000,0.225116,0.150000,-0.376114
2.800000,0.930000,0.800000,-31.200000,0.245565,0.190000,-0.370766
2.700000,0.970000,0.840000,-31.000000,0.255338,0.170000,-0.367201
2.700000,1.030000,0.880000,-31.400000,0.264871,0.070000,-0.368984
2.900000,1.030000,0.920000,-30.800000,0.274384,0.170000,-0.368984
2.800000,1.110000,0.960000,-31.200000,0.283957,0.130000,-0.365419
2.700000,1.150000,1.000000,-31.400000,0.293463,0.150000,-0.363636
3.000000,1.130000,1.040000,-32.000000,0.303545,0.150000,-0.372549
