# Date: 20200623
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_PbSn_002
# Fit of Tap:
#	Ic = 79.7 +/- 0.53 A
#	n = 44 +/- 7.1 
#	Vc = 6 uV
#	Vfloor = 2.95 +/- 0.028 uV
#	R = 0.0477 +/- 0.00067 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.600000,0.310000,0.000000,-31.400000,0.058307,0.190000,-0.377897
2.700000,0.250000,0.040000,-31.200000,0.091464,0.150000,-0.370766
2.900000,0.250000,0.080000,-31.200000,0.100995,0.150000,-0.367201
2.900000,0.250000,0.120000,-31.400000,0.110359,0.170000,-0.368984
2.600000,0.290000,0.160000,-31.400000,0.119795,0.170000,-0.368984
2.800000,0.270000,0.200000,-31.200000,0.129156,0.130000,-0.367201
2.800000,0.390000,0.240000,-31.000000,0.139132,0.170000,-0.383244
2.900000,0.370000,0.280000,-30.400000,0.148727,0.170000,-0.372549
2.700000,0.390000,0.320000,-31.600000,0.158098,0.130000,-0.379679
2.700000,0.470000,0.360000,-31.000000,0.176979,0.170000,-0.377897
2.500000,0.530000,0.400000,-31.400000,0.191975,0.170000,-0.379679
2.600000,0.550000,0.440000,-31.400000,0.202172,0.290000,-0.372549
2.800000,0.530000,0.480000,-31.200000,0.211705,0.250000,-0.383244
2.700000,0.590000,0.520000,-31.000000,0.221063,0.130000,-0.370766
2.900000,0.650000,0.560000,-31.200000,0.241124,0.170000,-0.379679
2.600000,0.770000,0.600000,-30.800000,0.250648,0.170000,-0.376114
2.600000,0.770000,0.640000,-31.400000,0.260038,0.190000,-0.385027
2.700000,0.850000,0.680000,-31.200000,0.269389,0.150000,-0.381462
2.600000,0.850000,0.720000,-31.600000,0.278775,0.190000,-0.386809
2.800000,0.870000,0.760000,-31.000000,0.288137,0.190000,-0.385027
2.700000,0.930000,0.800000,-31.200000,0.297575,0.190000,-0.383244
2.600000,0.990000,0.840000,-31.200000,0.306936,0.150000,-0.388592
2.600000,0.830000,0.880000,-31.200000,0.316283,0.170000,-0.383244
2.800000,1.070000,0.920000,-31.200000,0.325739,0.190000,-0.386809
2.700000,1.070000,0.960000,-31.400000,0.335083,0.170000,-0.379679
2.800000,1.110000,1.000000,-30.800000,0.344483,0.210000,-0.392157
2.600000,1.130000,1.040000,-31.200000,0.353895,0.170000,-0.381462
2.500000,1.210000,1.080000,-31.400000,0.363252,0.070000,-0.386809
2.900000,1.270000,1.120000,-31.000000,0.372684,0.170000,-0.383244
2.800000,1.270000,1.160000,-30.400000,0.382023,0.170000,-0.377897
2.800000,1.470000,1.200000,-31.400000,0.391941,0.150000,-0.383244
2.700000,1.330000,1.240000,-31.000000,0.401423,0.150000,-0.383244
2.800000,1.430000,1.280000,-30.800000,0.410855,0.210000,-0.379679
2.700000,1.450000,1.320000,-31.200000,0.420200,0.210000,-0.368984
2.700000,1.470000,1.360000,-31.000000,0.429636,0.230000,-0.377897
2.800000,1.630000,1.400000,-31.400000,0.442048,0.210000,-0.383244
2.600000,1.630000,1.440000,-31.200000,0.458810,0.190000,-0.386809
2.600000,1.630000,1.480000,-31.200000,0.477807,0.190000,-0.377897
2.600000,1.690000,1.520000,-31.200000,0.492811,0.190000,-0.377897
2.700000,1.730000,1.560000,-31.200000,0.502970,0.150000,-0.368984
2.500000,1.710000,1.600000,-31.200000,0.512369,0.190000,-0.368984
2.900000,1.830000,1.640000,-31.000000,0.521787,0.150000,-0.377897
2.800000,1.830000,1.680000,-31.400000,0.531168,0.270000,-0.368984
2.600000,1.930000,1.720000,-31.600000,0.540496,0.170000,-0.368984
2.700000,1.770000,1.760000,-31.000000,0.549926,0.190000,-0.365419
2.600000,1.970000,1.800000,-31.200000,0.559283,0.210000,-0.367201
2.700000,2.010000,1.840000,-30.800000,0.568739,0.170000,-0.358289
2.600000,1.990000,1.880000,-31.000000,0.578136,0.170000,-0.377897
2.800000,2.130000,1.920000,-30.800000,0.587550,0.170000,-0.368984
2.600000,2.110000,1.960000,-31.200000,0.596884,0.090000,-0.374332
2.700000,2.130000,2.000000,-30.600000,0.606222,0.170000,-0.379679
2.800000,2.210000,2.040000,-30.400000,0.615642,0.170000,-0.379679
2.800000,2.250000,2.080000,-31.200000,0.625019,0.190000,-0.383244
