# Date: 20200623
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_PbSn_003
# Fit of Tap:
#	Ic = 176 +/- 0.014 A
#	n = 38.4 +/- 0.24 
#	Vc = 6 uV
#	Vfloor = 1.79 +/- 0.0061 uV
#	R = 0.0001 +/- 0.00012 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.800000,0.210000,0.000000,-31.200000,0.036317,0.110000,-0.344029
1.800000,0.230000,0.040000,-31.200000,0.049416,0.130000,-0.344029
1.700000,0.290000,0.080000,-30.800000,0.059837,0.170000,-0.354724
1.500000,0.250000,0.120000,-31.000000,0.069275,0.170000,-0.345811
1.600000,0.330000,0.160000,-31.200000,0.078822,0.310000,-0.344029
1.800000,0.370000,0.200000,-31.400000,0.088286,0.250000,-0.351159
1.800000,-0.110000,0.240000,-30.800000,0.097917,0.130000,-0.342246
1.700000,0.410000,0.280000,-31.200000,0.107430,0.130000,-0.344029
1.500000,0.370000,0.320000,-31.200000,0.116936,0.070000,-0.338681
1.800000,0.510000,0.360000,-31.000000,0.126379,0.150000,-0.345811
1.800000,0.530000,0.400000,-30.800000,0.135848,0.130000,-0.347594
1.500000,0.570000,0.440000,-32.400000,0.145269,0.170000,-0.342246
1.700000,0.630000,0.480000,-31.000000,0.154784,0.150000,-0.352941
1.900000,0.590000,0.520000,-31.200000,0.164205,-0.050000,-0.342246
1.600000,0.630000,0.560000,-31.400000,0.173767,0.150000,-0.347594
1.600000,0.710000,0.600000,-31.200000,0.183172,0.130000,-0.335116
1.800000,0.750000,0.640000,-31.000000,0.192678,0.130000,-0.354724
1.800000,0.810000,0.680000,-34.000000,0.202309,0.070000,-0.363636
1.500000,0.870000,0.720000,-30.400000,0.222959,0.210000,-0.352941
1.800000,0.930000,0.760000,-31.200000,0.232438,0.090000,-0.349376
1.700000,0.990000,0.800000,-31.200000,0.241870,0.130000,-0.347594
1.700000,0.970000,0.840000,-31.200000,0.251282,0.130000,-0.342246
1.500000,1.030000,0.880000,-31.400000,0.260811,0.150000,-0.345811
1.600000,1.030000,0.920000,-31.000000,0.270196,0.170000,-0.338681
1.800000,1.110000,0.960000,-31.400000,0.279692,0.090000,-0.342246
