# Date: 20200623
# Operator: RDP
# Notes: 
# Tap_cm: 3.0
# Sample: AW_PbSn_004
# Fit of Tap:
#	Ic = 176 +/- 0.016 A
#	n = 39.2 +/- 0.27 
#	Vc = 6 uV
#	Vfloor = 2.38 +/- 0.0065 uV
#	R = 0.0001 +/- 7.1e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.500000,0.190000,0.000000,-31.200000,0.059143,0.130000,-0.356506
2.600000,0.250000,0.040000,-31.200000,0.094189,0.010000,-0.354724
2.600000,0.250000,0.080000,-31.200000,0.113037,0.270000,-0.351159
2.400000,0.190000,0.120000,-31.400000,0.127483,0.130000,-0.360071
2.700000,0.250000,0.160000,-31.200000,0.137706,0.090000,-0.361854
2.700000,0.270000,0.200000,-31.400000,0.147088,0.150000,-0.356506
2.700000,0.370000,0.240000,-31.400000,0.156477,0.170000,-0.365419
2.600000,0.330000,0.280000,-31.200000,0.165769,0.150000,-0.356506
2.900000,0.170000,0.320000,-31.800000,0.175160,0.150000,-0.360071
2.800000,0.410000,0.360000,-31.200000,0.184709,0.070000,-0.354724
2.600000,0.510000,0.400000,-31.200000,0.194052,0.030000,-0.365419
2.800000,0.550000,0.440000,-31.400000,0.203462,0.170000,-0.363636
2.700000,0.570000,0.480000,-31.200000,0.212782,0.170000,-0.356506
2.600000,0.690000,0.520000,-31.200000,0.222127,0.110000,-0.361854
2.800000,0.650000,0.560000,-31.400000,0.242504,0.130000,-0.360071
2.600000,0.670000,0.600000,-32.400000,0.251904,0.090000,-0.363636
2.700000,0.770000,0.640000,-31.600000,0.261272,0.190000,-0.356506
3.000000,0.790000,0.680000,-31.200000,0.270804,0.070000,-0.361854
2.600000,0.870000,0.720000,-31.200000,0.280126,0.110000,-0.352941
2.700000,0.910000,0.760000,-31.400000,0.289532,0.150000,-0.356506
2.700000,0.910000,0.800000,-31.200000,0.298856,0.090000,-0.356506
2.600000,0.930000,0.840000,-31.000000,0.308153,0.130000,-0.367201
2.500000,0.990000,0.880000,-31.200000,0.317487,0.090000,-0.349376
2.600000,1.010000,0.920000,-31.600000,0.326804,0.110000,-0.358289
2.500000,1.170000,0.960000,-31.200000,0.336145,0.230000,-0.360071
2.700000,1.110000,1.000000,-31.200000,0.345586,0.150000,-0.356506
2.700000,1.070000,1.040000,-31.400000,0.354959,0.190000,-0.363636
2.500000,1.170000,1.080000,-31.200000,0.364261,0.190000,-0.356506
2.400000,1.250000,1.120000,-31.400000,0.373644,0.210000,-0.363636
2.500000,1.310000,1.160000,-31.400000,0.382958,0.210000,-0.365419
2.600000,1.330000,1.200000,-31.600000,0.392262,0.110000,-0.367201
2.400000,1.410000,1.240000,-31.200000,0.401635,0.110000,-0.354724
2.700000,1.310000,1.280000,-32.800000,0.425231,0.170000,-0.365419
2.700000,1.470000,1.320000,-31.200000,0.435523,0.110000,-0.354724
2.800000,1.430000,1.360000,-32.200000,0.455174,0.190000,-0.352941
2.700000,1.530000,1.400000,-31.400000,0.464694,0.190000,-0.349376
2.400000,1.570000,1.440000,-31.200000,0.474035,0.150000,-0.361854
2.500000,1.650000,1.480000,-31.400000,0.483417,0.150000,-0.365419
2.900000,1.650000,1.520000,-31.400000,0.492765,0.190000,-0.365419
2.700000,1.710000,1.560000,-31.200000,0.502049,0.010000,-0.361854
2.600000,1.750000,1.600000,-31.400000,0.511366,0.130000,-0.358289
2.700000,1.830000,1.640000,-30.600000,0.520742,0.150000,-0.367201
2.700000,1.870000,1.680000,-31.400000,0.530050,0.150000,-0.365419
2.700000,1.970000,1.720000,-31.400000,0.539447,0.170000,-0.376114
2.900000,1.870000,1.760000,-31.400000,0.548761,0.130000,-0.367201
2.600000,1.970000,1.800000,-31.200000,0.558059,0.210000,-0.376114
2.600000,2.030000,1.840000,-31.600000,0.567458,0.090000,-0.363636
2.500000,2.070000,1.880000,-31.400000,0.576778,0.190000,-0.368984
2.600000,2.190000,1.920000,-31.400000,0.586099,0.210000,-0.372549
2.700000,2.130000,1.960000,-31.400000,0.595480,0.190000,-0.363636
2.700000,2.070000,2.000000,-31.600000,0.604782,0.170000,-0.368984
2.600000,2.190000,2.040000,-31.000000,0.614081,0.130000,-0.360071
2.700000,2.270000,2.080000,-31.400000,0.623438,0.150000,-0.365419
2.700000,2.310000,2.120000,-31.600000,0.632748,0.170000,-0.352941
2.800000,2.330000,2.160000,-31.400000,0.642060,0.190000,-0.363636
2.600000,2.410000,2.200000,-31.800000,0.661808,0.150000,-0.363636
2.600000,2.390000,2.240000,-31.200000,0.672076,0.150000,-0.365419
2.600000,2.430000,2.280000,-31.200000,0.681922,0.150000,-0.363636
2.900000,2.470000,2.320000,-31.000000,0.691620,0.170000,-0.363636
2.600000,2.550000,2.360000,-31.000000,0.701079,0.110000,-0.349376
2.800000,2.610000,2.400000,-31.200000,0.725818,0.130000,-0.374332
2.600000,2.630000,2.440000,-31.400000,0.736014,0.150000,-0.368984
2.500000,2.630000,2.480000,-31.400000,0.745637,0.170000,-0.363636
2.800000,2.690000,2.520000,-31.400000,0.755043,0.130000,-0.370766
2.600000,2.730000,2.560000,-31.200000,0.764655,0.130000,-0.358289
2.500000,2.730000,2.600000,-31.200000,0.774069,0.210000,-0.368984
2.300000,2.870000,2.640000,-31.200000,0.783559,0.110000,-0.367201
2.400000,2.890000,2.680000,-31.200000,0.792969,0.210000,-0.368984
2.600000,2.910000,2.720000,-31.000000,0.802479,0.030000,-0.363636
2.400000,2.930000,2.760000,-31.400000,0.811890,0.150000,-0.363636
2.500000,2.990000,2.800000,-31.000000,0.821293,0.150000,-0.368984
