# Date: 20210329
# Operator: RDP
# Notes: CSMC
# Tap_cm: 5.0
# Sample: 751-N3_020
# Fit of Tap:
#	Ic = 135 +/- 0.056 A
#	n = 43.7 +/- 0.82 
#	Vc = 5 uV
#	Vfloor = 1.56 +/- 0.0062 uV
#	R = 0.00137 +/- 8.7e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.100000,0.190000,0.000000,-11.800000,0.036255,8.690000,-4.021390
1.100000,0.190000,0.055556,-11.600000,0.045909,9.230000,-4.602496
1.400000,0.230000,0.111111,-11.600000,0.057732,8.170000,-3.942959
1.400000,0.270000,0.166667,-11.800000,0.068115,9.170000,-4.237077
1.600000,0.310000,0.222222,-11.600000,0.079433,9.230000,-4.609626
1.500000,0.350000,0.277778,-11.800000,0.089750,8.110000,-3.811052
1.400000,0.330000,0.333333,-11.600000,0.101040,9.190000,-4.306595
1.200000,0.430000,0.388889,-11.400000,0.112338,9.150000,-4.577540
1.400000,0.510000,0.444444,-11.600000,0.123635,8.130000,-3.846702
1.200000,0.610000,0.500000,-11.600000,0.133916,9.230000,-4.360071
1.300000,0.590000,0.555556,-11.800000,0.145208,9.030000,-4.531194
1.500000,0.670000,0.611111,-11.800000,0.156530,8.130000,-3.807487
1.400000,0.670000,0.666667,-11.600000,0.166826,9.390000,-4.422460
1.600000,0.770000,0.722222,-11.600000,0.178153,8.950000,-4.484848
1.500000,0.830000,0.777778,-11.800000,0.189620,8.150000,-3.793226
1.200000,0.830000,0.833333,-11.600000,0.199967,9.450000,-4.450980
1.300000,0.930000,0.888889,-11.600000,0.211309,8.910000,-4.463458
1.300000,0.970000,0.944444,-12.400000,0.225274,8.330000,-4.048128
1.300000,1.050000,1.000000,-11.400000,0.233643,9.410000,-4.395722
1.600000,1.050000,1.055556,-11.600000,0.243930,8.730000,-4.360071
1.400000,1.110000,1.111111,-11.600000,0.255207,8.230000,-3.802139
1.300000,1.230000,1.166667,-11.800000,0.272251,8.190000,-3.798574
1.200000,1.290000,1.222222,-11.600000,0.279961,9.330000,-4.650624
1.300000,1.250000,1.277778,-11.600000,0.288284,8.270000,-3.805704
1.500000,1.370000,1.333333,-11.600000,0.299609,9.470000,-4.509804
1.500000,1.350000,1.388889,-11.800000,0.309905,8.630000,-4.262032
1.300000,1.430000,1.444444,-11.600000,0.321248,8.330000,-3.834225
1.500000,1.470000,1.500000,-11.800000,0.332555,9.470000,-4.550802
1.400000,1.550000,1.555556,-11.600000,0.342842,8.470000,-4.196078
1.600000,1.590000,1.611111,-11.400000,0.354130,8.450000,-3.864528
1.300000,1.630000,1.666667,-11.600000,0.365426,9.490000,-4.600713
1.300000,1.670000,1.722222,-11.800000,0.375734,8.410000,-4.128342
1.400000,1.770000,1.777778,-11.600000,0.387011,8.550000,-3.905526
