# Date: 20210329
# Operator: RDP
# Notes: CSMC
# Tap_cm: 5.0
# Sample: 751-N3_020
# Fit of Tap:
#	Ic = 135 +/- 0.047 A
#	n = 49.6 +/- 0.98 
#	Vc = 5 uV
#	Vfloor = 1.42 +/- 0.0069 uV
#	R = 0.0001 +/- 0.0027 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.370000,0.000000,-11.600000,0.027812,9.490000,-4.622103
1.200000,0.250000,0.055556,-11.600000,0.042339,9.210000,-4.559715
1.200000,0.270000,0.111111,-11.600000,0.052243,8.290000,-3.821747
1.600000,0.250000,0.166667,-11.800000,0.059974,9.390000,-4.609626
1.400000,0.310000,0.222222,-11.600000,0.067235,8.510000,-3.862745
1.400000,0.390000,0.277778,-11.800000,0.075547,9.250000,-4.545455
1.400000,0.410000,0.333333,-11.600000,0.086903,8.230000,-3.919786
1.500000,0.490000,0.388889,-11.600000,0.098206,9.030000,-4.162210
1.400000,0.490000,0.444444,-11.600000,0.108510,9.150000,-4.513369
1.600000,0.590000,0.500000,-11.600000,0.119805,8.230000,-3.875223
1.600000,0.590000,0.555556,-11.800000,0.131112,9.130000,-4.215686
1.500000,0.630000,0.611111,-11.600000,0.142457,9.250000,-4.538324
1.400000,0.710000,0.666667,-12.000000,0.152881,8.230000,-3.844920
1.400000,0.770000,0.722222,-11.800000,0.164213,9.110000,-4.251337
1.200000,0.790000,0.777778,-11.400000,0.174551,8.970000,-4.438503
1.300000,0.930000,0.833333,-11.800000,0.185862,8.190000,-3.819964
1.500000,0.930000,0.888889,-11.400000,0.197195,9.230000,-4.308378
1.700000,0.970000,0.944444,-11.800000,0.207521,8.850000,-4.377897
1.300000,0.990000,1.000000,-11.400000,0.218821,8.290000,-3.803922
1.500000,1.130000,1.055556,-11.600000,0.231861,8.930000,-4.099822
1.600000,1.130000,1.111111,-11.600000,0.241227,8.990000,-4.429590
1.400000,1.210000,1.166667,-11.600000,0.251560,8.290000,-3.816399
1.300000,1.390000,1.222222,-13.600000,0.263149,9.270000,-4.408200
1.500000,1.270000,1.277778,-11.600000,0.273591,8.770000,-4.299465
1.400000,1.310000,1.333333,-12.000000,0.284913,8.350000,-3.825312
1.500000,1.350000,1.388889,-11.800000,0.296239,9.450000,-4.440285
1.400000,1.390000,1.444444,-11.800000,0.306566,8.710000,-4.242424
1.400000,1.470000,1.500000,-11.600000,0.317878,8.350000,-3.828877
1.500000,1.530000,1.555556,-11.600000,0.329174,9.510000,-4.491979
1.500000,1.570000,1.611111,-11.600000,0.346491,9.350000,-4.406417
1.200000,1.650000,1.666667,-11.400000,0.356571,8.650000,-4.249554
1.000000,1.650000,1.722222,-11.800000,0.364313,9.110000,-4.245989
1.600000,1.730000,1.777778,-11.600000,0.372642,8.570000,-4.156863
1.600000,1.790000,1.833333,-11.800000,0.383950,8.470000,-3.878788
1.700000,1.850000,1.888889,-11.400000,0.395306,9.350000,-4.565062
1.700000,1.930000,1.944444,-11.400000,0.405693,8.550000,-4.130125
1.700000,1.950000,2.000000,-11.800000,0.417043,8.530000,-3.905526
1.500000,1.950000,2.055556,-11.400000,0.428456,9.510000,-4.573975
1.500000,2.030000,2.111111,-11.400000,0.441165,9.010000,-4.429590
1.300000,2.070000,2.166667,-11.600000,0.449682,8.670000,-3.969697
1.300000,2.130000,2.222222,-11.800000,0.460996,9.490000,-4.638146
1.600000,2.170000,2.277778,-11.600000,0.472343,8.490000,-4.119430
1.300000,2.310000,2.333333,-11.800000,0.482657,8.750000,-4.012478
1.500000,2.350000,2.388889,-11.600000,0.493957,9.490000,-4.639929
1.400000,2.350000,2.444444,-11.800000,0.505295,8.490000,-4.062389
1.200000,2.450000,2.500000,-11.600000,0.515615,8.830000,-4.062389
1.400000,2.490000,2.555556,-11.800000,0.526983,9.390000,-4.631016
1.200000,2.570000,2.611111,-11.600000,0.538293,8.390000,-4.039216
1.400000,2.610000,2.666667,-12.000000,0.548589,8.930000,-4.124777
1.500000,2.650000,2.722222,-11.800000,0.559881,9.350000,-4.614973
1.600000,2.670000,2.777778,-11.600000,0.571176,8.250000,-4.000000
1.500000,2.690000,2.833333,-11.600000,0.581509,9.050000,-4.194296
1.400000,2.810000,2.888889,-11.800000,0.592804,9.290000,-4.593583
1.300000,2.810000,2.944444,-11.400000,0.604104,8.250000,-3.950089
1.500000,2.910000,3.000000,-11.800000,0.615440,8.930000,-4.096257
1.600000,2.950000,3.055556,-11.800000,0.625735,9.190000,-4.557932
1.400000,3.010000,3.111111,-11.600000,0.637028,8.210000,-3.918004
1.500000,3.050000,3.166667,-11.600000,0.660524,9.430000,-4.632799
1.300000,3.090000,3.222222,-11.600000,0.671951,8.430000,-4.058824
1.600000,3.230000,3.277778,-12.200000,0.683272,8.650000,-3.953654
1.500000,3.210000,3.333333,-11.800000,0.693570,9.390000,-4.627451
1.500000,3.250000,3.388889,-11.600000,0.704879,8.370000,-4.023173
1.300000,3.310000,3.444444,-11.800000,0.716177,8.670000,-4.016043
1.500000,3.370000,3.500000,-12.000000,0.726454,9.290000,-4.609626
1.500000,3.430000,3.555556,-11.800000,0.737780,8.270000,-3.987522
1.400000,3.470000,3.611111,-11.800000,0.749076,8.850000,-4.067736
1.400000,3.550000,3.666667,-11.800000,0.760349,9.390000,-4.632799
1.600000,3.550000,3.722222,-11.800000,0.770623,8.230000,-3.948307
1.600000,3.610000,3.777778,-11.800000,0.781904,8.930000,-4.142602
1.400000,3.710000,3.833333,-11.800000,0.793179,9.330000,-4.609626
1.400000,3.750000,3.888889,-11.800000,0.803459,8.210000,-3.894831
1.400000,3.810000,3.944444,-11.800000,0.814758,9.090000,-4.210339
1.300000,3.870000,4.000000,-11.600000,0.826100,9.250000,-4.588235
1.400000,3.930000,4.055556,-11.600000,0.836384,8.210000,-3.859180
1.400000,4.010000,4.111111,-11.800000,0.849154,8.810000,-4.065954
1.400000,4.010000,4.166667,-11.600000,0.858508,9.090000,-4.495544
1.400000,4.070000,4.222222,-12.000000,0.869787,8.250000,-3.862745
1.400000,4.090000,4.277778,-11.600000,0.881073,9.150000,-4.272727
1.300000,4.150000,4.333333,-11.800000,0.892368,9.170000,-4.557932
1.400000,4.250000,4.388889,-11.600000,0.902730,8.230000,-3.846702
1.600000,4.310000,4.444444,-11.800000,0.914057,9.230000,-4.326203
1.300000,4.370000,4.500000,-11.600000,0.925384,9.070000,-4.508021
1.300000,4.390000,4.555556,-11.400000,0.935664,8.290000,-3.818182
1.300000,4.470000,4.611111,-11.800000,0.952554,8.270000,-3.823529
1.400000,4.470000,4.666667,-11.600000,0.960254,9.390000,-4.618538
1.400000,4.570000,4.722222,-11.800000,0.968545,8.290000,-3.830660
1.400000,4.590000,4.777778,-11.600000,0.979818,9.430000,-4.445633
1.600000,4.670000,4.833333,-11.600000,0.991091,8.930000,-4.392157
1.500000,4.750000,4.888889,-11.800000,1.001434,8.410000,-3.843137
1.600000,4.770000,4.944444,-11.800000,1.012722,9.510000,-4.500891
1.600000,4.810000,5.000000,-11.600000,1.023991,8.750000,-4.333333
1.600000,4.870000,5.055556,-11.600000,1.035294,8.290000,-3.834225
1.500000,4.910000,5.111111,-11.600000,1.047978,9.110000,-4.231729
1.400000,4.990000,5.166667,-11.600000,1.057332,8.850000,-4.333333
1.400000,5.010000,5.222222,-11.600000,1.067640,8.430000,-3.864528
1.600000,5.070000,5.277778,-11.400000,1.078917,9.510000,-4.547237
1.600000,5.090000,5.333333,-11.600000,1.090191,8.710000,-4.254902
1.300000,5.150000,5.388889,-11.600000,1.100460,8.570000,-3.894831
1.500000,5.250000,5.444444,-11.600000,1.111733,9.490000,-4.588235
