# Date: 20210329
# Operator: RDP
# Notes: CSMC
# Tap_cm: 5.0
# Sample: 751-N3_010
# Fit of Tap:
#	Ic = 83.9 A
#	n = 212 
#	Vc = 5 uV
#	Vfloor = 2.37 uV
#	R = 0.00106 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.400000,0.190000,0.000000,-11.600000,0.048947,9.150000,-4.310160
2.300000,0.210000,0.055556,-11.800000,0.070552,8.190000,-3.891266
2.500000,0.250000,0.111111,-11.400000,0.081481,9.330000,-4.420677
2.300000,0.250000,0.166667,-11.800000,0.092806,9.070000,-4.559715
2.300000,0.290000,0.222222,-11.600000,0.104102,8.190000,-3.884135
2.300000,0.350000,0.277778,-11.400000,0.114392,9.430000,-4.483066
2.400000,0.370000,0.333333,-11.400000,0.125699,9.010000,-4.518717
2.200000,0.470000,0.388889,-11.800000,0.136984,8.210000,-3.869875
2.100000,0.510000,0.444444,-11.600000,0.147266,9.490000,-4.529412
2.500000,0.530000,0.500000,-11.600000,0.158574,8.910000,-4.450980
2.200000,0.590000,0.555556,-11.200000,0.169900,8.270000,-3.877005
2.400000,0.670000,0.611111,-11.400000,0.180182,9.490000,-4.572193
2.100000,0.690000,0.666667,-11.200000,0.191495,8.750000,-4.385027
2.300000,0.750000,0.722222,-11.400000,0.202838,8.330000,-3.882353
2.200000,0.910000,0.777778,-11.600000,0.213239,9.530000,-4.597148
2.300000,0.870000,0.833333,-11.600000,0.226564,9.250000,-4.602496
2.300000,0.950000,0.888889,-11.600000,0.235947,8.350000,-3.880570
2.300000,0.970000,0.944444,-11.600000,0.246585,9.550000,-4.593583
2.400000,1.030000,1.000000,-11.600000,0.263760,9.510000,-4.550802
2.300000,1.030000,1.055556,-12.000000,0.271608,8.250000,-3.955437
2.100000,1.110000,1.111111,-11.600000,0.279984,9.550000,-4.595365
2.200000,1.210000,1.166667,-11.600000,0.290281,8.510000,-4.203209
2.300000,1.270000,1.222222,-11.800000,0.301691,8.450000,-3.928699
2.300000,1.310000,1.277778,-11.600000,0.312347,9.510000,-4.675579
2.100000,1.370000,1.333333,-11.600000,0.323601,8.490000,-4.208556
2.400000,1.450000,1.388889,-12.200000,0.334985,8.570000,-3.928699
2.100000,1.390000,1.444444,-11.600000,0.346063,9.590000,-4.654189
2.200000,1.510000,1.500000,-11.600000,0.356663,8.490000,-4.172906
2.300000,1.430000,1.555556,-11.800000,0.368049,8.590000,-3.948307
2.400000,1.550000,1.611111,-11.600000,0.378633,9.590000,-4.691622
2.500000,1.610000,1.666667,-11.600000,0.389999,8.510000,-4.160428
2.200000,1.630000,1.722222,-11.600000,0.400294,8.850000,-4.089127
2.500000,1.790000,1.777778,-11.600000,0.411612,9.490000,-4.698752
2.400000,1.790000,1.833333,-11.600000,0.422909,8.450000,-4.135472
2.500000,1.810000,1.888889,-11.600000,0.435555,8.390000,-3.898396
2.600000,1.870000,1.944444,-11.600000,0.444924,9.510000,-4.696970
2.200000,1.930000,2.000000,-14.000000,0.455276,8.270000,-4.021390
2.300000,1.990000,2.055556,-11.400000,0.466669,8.890000,-4.135472
2.300000,1.990000,2.111111,-11.600000,0.477968,9.430000,-4.693405
2.300000,2.070000,2.166667,-11.800000,0.488263,8.270000,-3.982175
2.300000,2.150000,2.222222,-11.600000,0.499562,8.990000,-4.192513
2.300000,2.230000,2.277778,-11.400000,0.510872,9.370000,-4.689840
2.100000,2.250000,2.333333,-11.600000,0.521164,8.190000,-3.942959
2.400000,2.290000,2.388889,-11.600000,0.532460,9.110000,-4.260250
2.300000,2.330000,2.444444,-11.600000,0.543749,9.350000,-4.661319
2.300000,2.450000,2.500000,-11.400000,0.560422,9.370000,-4.659537
2.200000,2.470000,2.555556,-11.600000,0.568128,8.570000,-3.950089
2.200000,2.490000,2.611111,-11.600000,0.576455,9.190000,-4.618538
2.400000,2.570000,2.666667,-11.600000,0.587755,8.250000,-3.926916
2.000000,2.630000,2.722222,-11.800000,0.599040,9.110000,-4.263815
2.300000,2.650000,2.777778,-11.600000,0.609371,9.150000,-4.579323
2.300000,2.750000,2.833333,-11.800000,0.620696,8.210000,-3.896613
2.100000,2.810000,2.888889,-11.600000,0.631994,9.190000,-4.326203
2.100000,2.830000,2.944444,-11.600000,0.644714,9.510000,-4.688057
2.200000,2.890000,3.000000,-11.800000,0.654128,8.070000,-3.905526
2.200000,2.970000,3.055556,-11.600000,0.664770,9.310000,-4.417112
2.600000,2.990000,3.111111,-11.600000,0.675595,9.010000,-4.538324
2.100000,3.110000,3.166667,-12.400000,0.686967,8.230000,-3.880570
2.200000,3.070000,3.222222,-11.600000,0.697562,9.430000,-4.483066
2.300000,3.170000,3.277778,-11.400000,0.708707,8.970000,-4.511586
2.300000,3.050000,3.333333,-11.600000,0.720164,8.210000,-3.880570
2.200000,3.290000,3.388889,-11.600000,0.730845,9.450000,-4.488414
2.200000,3.350000,3.444444,-13.200000,0.741739,8.850000,-4.461676
2.400000,3.390000,3.500000,-11.600000,0.753254,8.290000,-3.880570
