# Date: 20210329
# Operator: RDP
# Notes: CSMC
# Tap_cm: 5.0
# Sample: 751-N3_021
# Fit of Tap:
#	Ic = 62.7 +/- 0.0027 A
#	n = 940 +/- 56 
#	Vc = 5 uV
#	Vfloor = 1.8 +/- 0.0085 uV
#	R = 0.00292 +/- 0.00023 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.800000,-0.010000,0.000000,-12.000000,0.035621,8.190000,-3.866310
1.500000,0.210000,0.055556,-12.000000,0.065084,8.850000,-4.065954
1.700000,0.210000,0.111111,-11.600000,0.076161,9.430000,-4.664884
1.800000,0.390000,0.166667,-11.600000,0.086704,8.270000,-3.975045
1.600000,0.310000,0.222222,-11.600000,0.098490,8.830000,-4.065954
1.800000,0.350000,0.277778,-12.000000,0.109106,9.410000,-4.650624
1.700000,0.390000,0.333333,-12.200000,0.120651,8.270000,-4.030303
1.700000,0.430000,0.388889,-11.600000,0.131220,9.030000,-4.156863
1.700000,0.510000,0.444444,-11.800000,0.141760,9.250000,-4.622103
1.800000,0.650000,0.500000,-11.600000,0.153301,8.270000,-3.955437
1.700000,0.610000,0.555556,-11.600000,0.163963,9.110000,-4.242424
1.800000,0.670000,0.611111,-11.600000,0.175528,9.370000,-4.638146
1.500000,0.730000,0.666667,-11.600000,0.186067,8.230000,-3.900178
1.600000,0.790000,0.722222,-12.000000,0.197605,9.090000,-4.197861
1.700000,0.830000,0.777778,-11.400000,0.211144,9.570000,-4.618538
1.700000,0.850000,0.833333,-11.600000,0.218702,8.230000,-3.859180
1.700000,0.890000,0.888889,-11.800000,0.230232,9.230000,-4.317291
1.900000,0.990000,0.944444,-11.600000,0.240769,9.030000,-4.527629
1.500000,1.030000,1.000000,-11.800000,0.252319,8.230000,-3.860963
1.700000,1.050000,1.055556,-11.600000,0.262885,9.370000,-4.406417
1.900000,1.150000,1.111111,-11.600000,0.274481,9.130000,-4.557932
1.400000,1.190000,1.166667,-11.600000,0.285102,8.270000,-3.848485
1.700000,1.230000,1.222222,-11.600000,0.296667,9.290000,-4.360071
2.000000,1.310000,1.277778,-11.800000,0.307248,8.970000,-4.497326
2.000000,1.290000,1.333333,-11.200000,0.317987,8.330000,-3.873440
1.900000,1.390000,1.388889,-11.600000,0.335739,8.250000,-3.860963
1.900000,1.430000,1.444444,-11.600000,0.343762,9.550000,-4.661319
1.500000,1.450000,1.500000,-11.800000,0.351288,8.290000,-3.844920
1.600000,1.510000,1.555556,-11.400000,0.361815,9.530000,-4.545455
1.600000,1.590000,1.611111,-11.600000,0.373340,8.830000,-4.417112
1.600000,1.650000,1.666667,-11.600000,0.383903,8.350000,-3.864528
1.800000,1.690000,1.722222,-11.600000,0.396779,9.190000,-4.338681
1.700000,1.730000,1.777778,-11.600000,0.406410,8.790000,-4.358289
2.000000,1.770000,1.833333,-11.600000,0.417104,8.450000,-3.871658
1.500000,1.830000,1.888889,-11.600000,0.428697,9.450000,-4.522282
1.800000,1.930000,1.944444,-11.600000,0.439267,8.610000,-4.301248
1.600000,1.950000,2.000000,-11.800000,0.449835,8.490000,-3.909091
2.000000,1.970000,2.055556,-11.200000,0.461375,9.530000,-4.593583
1.700000,2.050000,2.111111,-11.600000,0.471945,8.530000,-4.206774
1.700000,2.090000,2.166667,-11.600000,0.483529,8.550000,-3.894831
1.800000,2.110000,2.222222,-11.600000,0.494082,9.510000,-4.654189
1.900000,2.190000,2.277778,-11.400000,0.505631,8.570000,-4.256684
1.700000,2.250000,2.333333,-11.600000,0.516179,8.610000,-3.942959
1.900000,2.290000,2.388889,-11.800000,0.526716,9.510000,-4.673797
1.900000,2.330000,2.444444,-11.400000,0.538249,8.490000,-4.156863
1.600000,2.430000,2.500000,-11.800000,0.548809,8.770000,-4.033868
1.900000,2.510000,2.555556,-11.800000,0.560388,9.510000,-4.668449
1.700000,2.550000,2.611111,-11.600000,0.570933,8.310000,-4.067736
1.800000,2.590000,2.666667,-11.600000,0.583804,8.450000,-3.880570
1.900000,2.570000,2.722222,-11.400000,0.593405,9.470000,-4.675579
1.700000,2.670000,2.777778,-11.600000,0.603965,8.270000,-4.026738
1.500000,2.730000,2.833333,-11.600000,0.615504,8.730000,-4.028520
1.700000,2.810000,2.888889,-11.600000,0.635145,8.210000,-3.848485
1.800000,2.870000,2.944444,-11.600000,0.643070,9.430000,-4.675579
1.900000,2.870000,3.000000,-11.800000,0.650569,8.470000,-3.869875
1.600000,2.950000,3.055556,-11.600000,0.659164,9.290000,-4.650624
1.600000,2.970000,3.111111,-11.800000,0.669779,8.190000,-3.928699
1.600000,3.010000,3.166667,-11.400000,0.681310,8.950000,-4.155080
1.700000,3.110000,3.222222,-11.800000,0.691858,9.250000,-4.634581
1.700000,3.150000,3.277778,-11.800000,0.703443,8.250000,-3.975045
1.900000,3.210000,3.333333,-11.400000,0.713987,9.130000,-4.258467
1.700000,3.290000,3.388889,-11.600000,0.725536,9.310000,-4.647059
1.600000,3.290000,3.444444,-11.600000,0.736064,8.210000,-3.898396
1.700000,3.350000,3.500000,-11.800000,0.747600,9.070000,-4.206774
1.700000,3.390000,3.555556,-11.800000,0.758126,9.130000,-4.593583
1.600000,3.510000,3.611111,-11.800000,0.770299,8.250000,-3.987522
1.600000,3.530000,3.666667,-11.400000,0.781812,8.830000,-4.092692
1.500000,3.550000,3.722222,-11.400000,0.791399,9.130000,-4.586453
1.500000,3.610000,3.777778,-11.800000,0.801988,8.230000,-3.853832
1.800000,3.650000,3.833333,-11.600000,0.813575,9.250000,-4.331551
2.100000,3.730000,3.888889,-11.600000,0.824124,9.050000,-4.522282
1.800000,3.770000,3.944444,-11.600000,0.835660,8.210000,-3.853832
1.700000,3.870000,4.000000,-11.600000,0.846216,9.430000,-4.422460
1.800000,3.890000,4.055556,-11.800000,0.856752,8.850000,-4.424242
1.700000,3.930000,4.111111,-11.600000,0.868290,8.250000,-3.855615
1.900000,3.970000,4.166667,-11.600000,0.878857,9.510000,-4.518717
1.700000,4.050000,4.222222,-11.400000,0.890426,8.930000,-4.477718
1.800000,4.150000,4.277778,-11.400000,0.900971,8.350000,-3.859180
1.600000,4.170000,4.333333,-11.800000,0.912760,9.430000,-4.449198
1.700000,4.150000,4.388889,-11.400000,0.923379,8.830000,-4.426025
2.000000,4.270000,4.444444,-11.600000,0.940862,9.070000,-4.531194
1.400000,4.310000,4.500000,-11.800000,0.948893,8.810000,-4.028520
1.800000,4.350000,4.555556,-12.000000,0.956385,8.790000,-4.372549
1.800000,4.470000,4.611111,-11.800000,0.969411,8.270000,-3.885918
1.900000,4.470000,4.666667,-11.600000,0.978055,9.570000,-4.590018
1.800000,4.530000,4.722222,-11.600000,0.989615,8.730000,-4.344029
