# Date: 20210329
# Operator: RDP
# Notes: CSMC
# Tap_cm: 5.0
# Sample: 751-N3_030
# Fit of Tap:
#	Ic = 62 +/- 0.16 A
#	n = 13 +/- 0.39 
#	Vc = 5 uV
#	Vfloor = 1.66 +/- 0.011 uV
#	R = 0.00636 +/- 0.00043 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.250000,0.000000,-9.800000,0.030418,8.870000,-4.176471
1.800000,0.230000,0.055556,-11.600000,0.037907,8.890000,-4.301248
1.600000,0.290000,0.111111,-11.600000,0.045165,8.850000,-4.262032
1.600000,0.250000,0.166667,-11.400000,0.053461,8.890000,-4.258467
1.700000,0.250000,0.222222,-11.400000,0.064794,8.850000,-4.162210
1.500000,0.330000,0.277778,-11.400000,0.076111,8.850000,-4.345811
1.600000,0.370000,0.333333,-11.800000,0.086408,8.850000,-4.249554
1.800000,0.410000,0.388889,-11.800000,0.097704,8.790000,-4.158645
2.000000,0.510000,0.444444,-11.600000,0.109047,8.930000,-4.342246
1.800000,0.510000,0.500000,-11.600000,0.119358,8.870000,-4.219251
1.700000,0.610000,0.555556,-11.800000,0.130691,8.850000,-4.172906
1.500000,0.670000,0.611111,-11.600000,0.141998,8.910000,-4.354724
1.600000,0.670000,0.666667,-11.400000,0.152315,8.830000,-4.212121
1.500000,0.770000,0.722222,-11.800000,0.163610,8.790000,-4.196078
1.600000,0.830000,0.777778,-11.800000,0.174901,8.870000,-4.358289
1.800000,0.850000,0.833333,-11.400000,0.186253,8.890000,-4.249554
1.700000,0.930000,0.888889,-11.400000,0.204949,8.950000,-4.319073
1.700000,0.950000,0.944444,-11.800000,0.212673,8.830000,-4.228164
1.800000,0.990000,1.000000,-11.800000,0.219984,8.910000,-4.249554
1.700000,1.050000,1.055556,-11.800000,0.233028,8.930000,-4.139037
1.600000,1.090000,1.111111,-11.600000,0.240329,8.930000,-4.354724
