# Date: 20210329
# Operator: RDP
# Notes: CSMC
# Tap_cm: 5.0
# Sample: 751-N3_030
# Fit of Tap:
#	Ic = 61.5 +/- 0.13 A
#	n = 20.5 +/- 0.72 
#	Vc = 5 uV
#	Vfloor = 1.68 +/- 0.011 uV
#	R = 0.00604 +/- 0.00038 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.800000,0.230000,0.000000,-11.600000,0.026018,8.830000,-4.176471
1.700000,0.270000,0.055556,-11.400000,0.033768,8.850000,-4.322638
1.800000,0.230000,0.111111,-11.600000,0.043341,8.810000,-4.153298
1.500000,0.290000,0.166667,-11.800000,0.053877,8.850000,-4.345811
1.900000,0.270000,0.222222,-11.800000,0.070912,8.870000,-4.340463
1.800000,0.290000,0.277778,-11.600000,0.078877,8.810000,-4.149733
1.600000,0.390000,0.333333,-11.600000,0.087503,8.950000,-4.342246
1.700000,0.410000,0.388889,-11.600000,0.098036,8.870000,-4.233512
1.400000,0.530000,0.444444,-12.000000,0.108585,8.850000,-4.206774
1.500000,0.570000,0.500000,-11.600000,0.120543,8.850000,-4.361854
1.700000,0.590000,0.555556,-11.600000,0.131196,8.870000,-4.240642
1.700000,0.690000,0.611111,-11.800000,0.141757,8.790000,-4.221034
1.300000,0.710000,0.666667,-11.600000,0.153344,8.870000,-4.363636
1.600000,0.710000,0.722222,-11.600000,0.163945,8.830000,-4.210339
1.700000,0.830000,0.777778,-11.800000,0.174519,8.830000,-4.229947
1.700000,0.910000,0.833333,-11.800000,0.186079,8.870000,-4.361854
1.500000,0.950000,0.888889,-11.400000,0.196689,8.850000,-4.185383
1.500000,0.950000,0.944444,-11.800000,0.209968,8.850000,-4.155080
1.500000,0.990000,1.000000,-11.600000,0.218578,8.930000,-4.354724
1.400000,1.070000,1.055556,-11.800000,0.230131,8.870000,-4.187166
1.600000,1.130000,1.111111,-11.800000,0.240693,8.830000,-4.247772
1.600000,1.190000,1.166667,-12.000000,0.252237,8.910000,-4.354724
1.600000,1.230000,1.222222,-11.600000,0.262787,8.870000,-4.172906
1.700000,1.290000,1.277778,-12.000000,0.274343,8.810000,-4.233512
1.600000,1.330000,1.333333,-11.400000,0.284924,8.950000,-4.347594
1.400000,1.370000,1.388889,-11.600000,0.296515,8.850000,-4.180036
1.500000,1.390000,1.444444,-11.600000,0.307066,8.890000,-4.263815
1.600000,1.470000,1.500000,-11.400000,0.317635,8.850000,-4.345811
1.600000,1.530000,1.555556,-11.600000,0.329193,8.890000,-4.160428
1.600000,1.610000,1.611111,-11.800000,0.339764,8.870000,-4.281640
1.700000,1.630000,1.666667,-11.600000,0.351308,8.930000,-4.342246
1.700000,1.730000,1.722222,-11.800000,0.371493,8.890000,-4.327986
1.300000,1.730000,1.777778,-11.600000,0.379590,8.950000,-4.163993
1.600000,1.790000,1.833333,-11.800000,0.387252,8.930000,-4.344029
1.600000,1.810000,1.888889,-11.800000,0.396410,8.710000,-4.163993
1.700000,1.930000,1.944444,-11.600000,0.407982,8.830000,-4.213904
1.700000,1.910000,2.000000,-11.800000,0.416857,8.910000,-4.310160
1.400000,1.950000,2.055556,-11.400000,0.428284,8.730000,-4.140820
1.800000,1.990000,2.111111,-11.400000,0.439217,8.870000,-4.290553
1.700000,2.070000,2.166667,-11.600000,0.450057,8.910000,-4.297683
1.700000,2.130000,2.222222,-13.000000,0.460694,8.870000,-4.137255
1.600000,2.250000,2.277778,-11.600000,0.471652,8.850000,-4.317291
1.700000,2.190000,2.333333,-11.600000,0.483030,8.930000,-4.285205
1.600000,2.550000,2.388889,-11.800000,0.493696,8.830000,-4.137255
1.700000,2.350000,2.444444,-11.600000,0.504622,8.890000,-4.320856
1.400000,2.430000,2.500000,-11.200000,0.515860,8.930000,-4.263815
1.400000,2.530000,2.555556,-11.400000,0.527634,8.850000,-4.142602
1.800000,2.530000,2.611111,-11.600000,0.538416,8.890000,-4.327986
1.600000,2.730000,2.666667,-13.200000,0.549324,8.870000,-4.279857
1.500000,2.610000,2.722222,-11.600000,0.560148,8.850000,-4.156863
1.600000,2.670000,2.777778,-11.800000,0.570876,8.930000,-4.363636
1.900000,2.750000,2.833333,-11.800000,0.585097,8.910000,-4.356506
1.500000,2.810000,2.888889,-11.600000,0.592796,8.830000,-4.169340
1.500000,2.810000,2.944444,-12.400000,0.604501,8.730000,-4.345811
1.500000,2.890000,3.000000,-12.000000,0.615521,8.910000,-4.249554
1.600000,2.970000,3.055556,-11.600000,0.626344,8.790000,-4.163993
1.500000,3.010000,3.111111,-13.600000,0.637093,8.910000,-4.354724
1.600000,3.070000,3.166667,-11.800000,0.647739,8.870000,-4.233512
1.600000,3.130000,3.222222,-11.600000,0.659516,8.830000,-4.183601
1.700000,3.170000,3.277778,-11.400000,0.677562,8.830000,-4.153298
1.500000,3.390000,3.333333,-12.800000,0.685630,8.910000,-4.354724
1.700000,3.210000,3.388889,-11.400000,0.693210,8.830000,-4.163993
1.600000,3.150000,3.444444,-12.000000,0.702871,8.890000,-4.365419
1.500000,3.390000,3.500000,-11.800000,0.713582,8.850000,-4.187166
1.600000,3.450000,3.555556,-11.600000,0.725394,8.870000,-4.197861
1.500000,3.510000,3.611111,-11.600000,0.735990,8.890000,-4.347594
1.500000,3.550000,3.666667,-12.200000,0.746579,8.870000,-4.180036
1.700000,3.550000,3.722222,-12.200000,0.758157,8.750000,-4.217469
1.600000,3.610000,3.777778,-11.600000,0.768715,8.890000,-4.352941
1.600000,3.690000,3.833333,-11.800000,0.781734,8.830000,-4.251337
1.700000,3.750000,3.888889,-11.600000,0.791323,8.770000,-4.222816
1.700000,3.850000,3.944444,-11.800000,0.801860,8.870000,-4.351159
1.400000,3.890000,4.000000,-11.600000,0.813455,8.790000,-4.194296
1.700000,3.930000,4.055556,-11.600000,0.824009,8.830000,-4.242424
1.700000,3.990000,4.111111,-11.600000,0.834769,8.870000,-4.345811
1.500000,3.890000,4.166667,-11.800000,0.846554,8.850000,-4.188948
1.800000,4.070000,4.222222,-11.800000,0.857237,8.830000,-4.242424
1.500000,4.090000,4.277778,-12.000000,0.868259,8.910000,-4.354724
1.700000,4.050000,4.333333,-11.600000,0.879076,8.870000,-4.165775
1.600000,4.230000,4.388889,-11.600000,0.889846,8.850000,-4.262032
1.600000,4.310000,4.444444,-11.800000,0.900654,8.930000,-4.329768
1.700000,4.290000,4.500000,-11.600000,0.912234,8.870000,-4.169340
1.600000,4.330000,4.555556,-11.400000,0.922800,8.830000,-4.297683
1.600000,4.470000,4.611111,-11.600000,0.934345,8.910000,-4.345811
1.700000,4.510000,4.666667,-11.600000,0.944943,8.810000,-4.153298
1.600000,4.550000,4.722222,-11.600000,0.955503,8.870000,-4.311943
1.700000,4.610000,4.777778,-11.800000,0.978483,8.850000,-4.163993
1.700000,4.610000,4.833333,-11.600000,0.990180,8.850000,-4.269162
1.800000,4.730000,4.888889,-11.400000,1.000783,8.930000,-4.344029
1.900000,4.790000,4.944444,-11.400000,1.011345,8.870000,-4.158645
1.700000,4.850000,5.000000,-11.600000,1.022898,8.870000,-4.285205
1.700000,4.850000,5.055556,-11.400000,1.033471,8.950000,-4.319073
1.800000,4.950000,5.111111,-11.600000,1.045053,8.850000,-4.153298
2.000000,4.970000,5.166667,-11.600000,1.055601,8.850000,-4.301248
1.800000,4.990000,5.222222,-11.400000,1.067149,8.930000,-4.327986
