# Date: 20210329
# Operator: RDP
# Notes: CSMC
# Tap_cm: 5.0
# Sample: 751-N3_033
# Fit of Tap:
#	Ic = 161 +/- 13 A
#	n = 7.18 +/- 1.4 
#	Vc = 5 uV
#	Vfloor = 2.64 +/- 0.0079 uV
#	R = 0.000857 +/- 0.00022 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.600000,-0.010000,0.000000,-11.400000,0.061461,8.910000,-4.262032
2.500000,0.230000,0.055556,-11.600000,0.089796,8.850000,-4.151515
2.900000,0.270000,0.111111,-11.600000,0.100653,8.890000,-4.336898
2.600000,0.250000,0.166667,-11.600000,0.112017,8.910000,-4.269162
2.600000,0.290000,0.222222,-11.800000,0.123375,8.850000,-4.146168
2.600000,0.290000,0.277778,-11.800000,0.133670,8.910000,-4.352941
2.600000,0.330000,0.333333,-11.400000,0.144977,8.930000,-4.262032
2.500000,0.470000,0.388889,-11.600000,0.156273,8.890000,-4.158645
2.500000,0.530000,0.444444,-11.600000,0.166571,8.930000,-4.360071
2.700000,0.550000,0.500000,-11.400000,0.177959,8.910000,-4.251337
2.600000,0.630000,0.555556,-11.600000,0.189265,8.830000,-4.181818
2.600000,0.710000,0.611111,-11.600000,0.201297,8.890000,-4.340463
2.800000,0.690000,0.666667,-11.400000,0.212689,8.910000,-4.315508
2.300000,0.790000,0.722222,-11.600000,0.222038,8.830000,-4.192513
2.500000,0.830000,0.777778,-11.800000,0.233374,8.890000,-4.367201
2.600000,0.890000,0.833333,-12.000000,0.243688,8.850000,-4.228164
2.500000,0.950000,0.888889,-11.600000,0.254993,8.810000,-4.213904
2.500000,0.990000,0.944444,-11.400000,0.266435,8.910000,-4.379679
2.500000,1.030000,1.000000,-11.600000,0.276781,8.930000,-4.228164
2.400000,1.070000,1.055556,-11.800000,0.288090,8.850000,-4.226381
2.400000,1.170000,1.111111,-11.600000,0.298399,8.930000,-4.381462
2.600000,1.210000,1.166667,-11.800000,0.309714,8.850000,-4.212121
2.500000,1.250000,1.222222,-11.600000,0.321036,8.830000,-4.237077
2.500000,1.350000,1.277778,-11.600000,0.332333,8.890000,-4.377897
2.600000,1.330000,1.333333,-11.600000,0.342667,8.830000,-4.192513
2.500000,1.370000,1.388889,-11.800000,0.353979,8.850000,-4.244207
2.400000,1.470000,1.444444,-11.600000,0.370736,8.850000,-4.245989
2.500000,1.450000,1.500000,-11.400000,0.378461,8.990000,-4.288770
2.700000,1.550000,1.555556,-12.000000,0.386795,8.850000,-4.269162
2.500000,1.650000,1.611111,-12.000000,0.399460,8.930000,-4.368984
2.500000,1.570000,1.666667,-11.400000,0.408817,8.910000,-4.172906
2.500000,1.670000,1.722222,-11.400000,0.420119,8.830000,-4.262032
2.500000,1.770000,1.777778,-11.400000,0.430410,8.930000,-4.347594
2.500000,1.770000,1.833333,-11.600000,0.441748,8.910000,-4.160428
