# Date: 20210413
# Operator: RDP
# Notes: OLD
# Tap_cm: 5.0
# Sample: Ni-SC_002
# Fit of Tap:
#	Ic = 49.2 A
#	n = 150 
#	Vc = 5 uV
#	Vfloor = 3.08 uV
#	R = 0.00595 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
3.000000,0.290000,0.000000,-9.800000,0.040318,8.850000,-4.326203
3.000000,0.270000,0.083333,-9.400000,0.074111,8.830000,-4.333333
3.300000,0.290000,0.166667,-9.400000,0.089713,8.870000,-4.336898
3.100000,0.350000,0.250000,-9.800000,0.106195,8.910000,-4.342246
3.000000,0.410000,0.333333,-9.400000,0.121833,8.830000,-4.345811
3.200000,0.430000,0.416667,-9.400000,0.138458,8.830000,-4.345811
3.000000,0.530000,0.500000,-9.400000,0.153958,8.830000,-4.324421
3.000000,0.630000,0.583333,-9.200000,0.170426,8.870000,-4.320856
3.100000,0.710000,0.666667,-9.600000,0.194860,8.730000,-4.222816
3.000000,0.730000,0.750000,-9.600000,0.205001,8.850000,-4.351159
2.900000,0.790000,0.833333,-9.600000,0.217568,8.750000,-4.222816
3.100000,0.970000,0.916667,-9.800000,0.238564,8.890000,-4.360071
3.100000,1.030000,1.000000,-9.800000,0.250084,8.830000,-4.187166
2.900000,1.050000,1.083333,-9.400000,0.265683,8.790000,-4.162210
3.000000,1.150000,1.166667,-9.800000,0.282241,8.810000,-4.160428
3.200000,1.250000,1.250000,-9.400000,0.297776,8.770000,-4.149733
3.100000,1.310000,1.333333,-9.800000,0.314273,8.750000,-4.156863
3.100000,1.370000,1.416667,-9.600000,0.329762,8.730000,-4.181818
2.900000,1.510000,1.500000,-9.400000,0.346207,8.730000,-4.192513
2.900000,1.570000,1.583333,-9.600000,0.361775,8.710000,-4.229947
3.000000,1.650000,1.666667,-9.800000,0.378498,8.750000,-4.221034
3.100000,1.710000,1.750000,-9.400000,0.394009,8.750000,-4.242424
3.200000,1.790000,1.833333,-9.400000,0.409489,8.750000,-4.272727
2.900000,1.870000,1.916667,-9.200000,0.425965,8.750000,-4.290553
2.900000,1.970000,2.000000,-9.400000,0.445534,8.750000,-4.217469
2.600000,2.010000,2.083333,-9.400000,0.458107,8.790000,-4.317291
3.100000,2.110000,2.166667,-9.200000,0.473631,8.830000,-4.340463
3.100000,2.190000,2.250000,-9.400000,0.497845,8.790000,-4.147950
3.100000,2.210000,2.333333,-9.400000,0.507989,8.770000,-4.324421
3.100000,2.290000,2.416667,-9.400000,0.521573,8.930000,-4.349376
3.000000,2.410000,2.500000,-9.600000,0.538020,8.890000,-4.354724
3.300000,2.470000,2.583333,-9.400000,0.553526,8.830000,-4.342246
3.300000,2.510000,2.666667,-9.400000,0.569961,8.850000,-4.327986
3.100000,2.690000,2.750000,-9.400000,0.586495,8.850000,-4.322638
3.100000,2.750000,2.833333,-9.600000,0.601919,8.790000,-4.276292
2.800000,2.810000,2.916667,-9.800000,0.618584,8.810000,-4.274510
2.900000,2.870000,3.000000,-9.600000,0.634193,8.730000,-4.231729
3.100000,3.010000,3.083333,-9.800000,0.653897,8.810000,-4.345811
3.100000,3.030000,3.166667,-9.200000,0.665576,8.730000,-4.155080
3.300000,3.130000,3.250000,-9.400000,0.682077,8.690000,-4.149733
3.100000,3.210000,3.333333,-9.400000,0.697597,8.710000,-4.139037
3.200000,3.270000,3.416667,-9.400000,0.714067,8.710000,-4.144385
3.000000,3.390000,3.500000,-9.600000,0.729536,8.710000,-4.169340
2.800000,3.530000,3.583333,-9.800000,0.746007,8.650000,-4.178253
2.900000,3.570000,3.666667,-9.600000,0.761556,8.710000,-4.215686
2.900000,3.610000,3.750000,-9.400000,0.778024,8.650000,-4.206774
2.900000,3.690000,3.833333,-9.400000,0.802635,8.790000,-4.285205
3.000000,3.770000,3.916667,-10.000000,0.812839,8.690000,-4.167558
3.000000,3.830000,4.000000,-9.800000,0.826321,8.770000,-4.269162
2.700000,3.910000,4.083333,-9.400000,0.842044,8.730000,-4.299465
3.000000,4.030000,4.166667,-9.800000,0.861873,8.710000,-4.206774
3.000000,4.090000,4.250000,-9.600000,0.873692,8.830000,-4.335116
3.000000,4.170000,4.333333,-9.800000,0.890223,8.790000,-4.331551
3.200000,4.290000,4.416667,-9.200000,0.905810,8.870000,-4.349376
3.000000,4.350000,4.500000,-9.600000,0.922330,8.850000,-4.352941
3.000000,4.370000,4.583333,-9.800000,0.937786,8.890000,-4.347594
3.000000,4.490000,4.666667,-9.400000,0.954269,8.950000,-4.336898
3.100000,4.590000,4.750000,-9.400000,0.969704,8.850000,-4.301248
2.800000,4.670000,4.833333,-9.800000,0.986199,8.870000,-4.295900
3.000000,4.730000,4.916667,-9.800000,1.001736,8.770000,-4.251337
2.800000,4.810000,5.000000,-9.800000,1.018189,8.770000,-4.249554
3.500000,4.910000,5.083333,-9.600000,1.033715,8.790000,-4.203209
3.300000,4.930000,5.166667,-9.200000,1.050202,8.770000,-4.197861
3.100000,5.030000,5.250000,-9.600000,1.071071,8.890000,-4.345811
3.000000,5.170000,5.333333,-9.800000,1.095290,8.690000,-4.206774
3.200000,5.150000,5.416667,-9.400000,1.105564,8.850000,-4.338681
3.200000,5.250000,5.500000,-9.400000,1.115042,8.890000,-4.140820
2.700000,5.350000,5.583333,-9.600000,1.129620,8.650000,-4.163993
3.000000,5.510000,5.666667,-9.400000,1.146094,8.690000,-4.174688
3.000000,5.490000,5.750000,-9.400000,1.161641,8.730000,-4.213904
3.100000,5.610000,5.833333,-9.200000,1.178106,8.710000,-4.212121
3.000000,5.630000,5.916667,-9.600000,1.193649,8.730000,-4.240642
3.200000,5.750000,6.000000,-9.800000,1.210152,8.690000,-4.244207
3.100000,5.810000,6.083333,-9.400000,1.225739,8.750000,-4.279857
3.100000,5.930000,6.166667,-9.800000,1.242199,8.710000,-4.276292
2.900000,6.010000,6.250000,-9.600000,1.257724,8.730000,-4.304813
3.100000,6.030000,6.333333,-9.600000,1.281866,8.670000,-4.139037
3.300000,6.030000,6.416667,-9.200000,1.291315,8.770000,-4.297683
3.000000,6.150000,6.500000,-9.400000,1.305788,8.830000,-4.340463
3.200000,6.430000,6.583333,-9.800000,1.322253,8.810000,-4.342246
3.000000,6.350000,6.666667,-9.600000,1.337751,8.830000,-4.338681
3.300000,6.450000,6.750000,-9.400000,1.354198,8.830000,-4.342246
2.800000,6.470000,6.833333,-9.400000,1.369748,8.830000,-4.311943
3.100000,6.710000,6.916667,-9.600000,1.393837,8.710000,-4.242424
3.300000,6.650000,7.000000,-9.400000,1.403998,8.830000,-4.336898
3.300000,6.790000,7.083333,-9.600000,1.417580,8.790000,-4.226381
2.800000,6.830000,7.166667,-9.600000,1.434059,8.790000,-4.221034
3.300000,6.870000,7.250000,-9.400000,1.449516,8.730000,-4.169340
3.300000,7.010000,7.333333,-9.600000,1.465989,8.710000,-4.153298
2.900000,7.110000,7.416667,-9.600000,1.491109,8.790000,-4.306595
3.300000,7.170000,7.500000,-9.800000,1.500613,8.730000,-4.204991
3.100000,7.330000,7.583333,-9.400000,1.514046,8.710000,-4.128342
3.000000,7.330000,7.666667,-9.600000,1.529508,8.670000,-4.163993
3.100000,7.390000,7.750000,-9.400000,1.545940,8.670000,-4.178253
3.100000,7.470000,7.833333,-9.800000,1.562801,8.650000,-4.163993
2.900000,7.630000,7.916667,-9.600000,1.578443,8.690000,-4.196078
3.200000,7.670000,8.000000,-9.400000,1.593930,8.670000,-4.221034
3.400000,7.850000,8.083333,-9.400000,1.610417,8.710000,-4.229947
3.300000,7.830000,8.166667,-9.200000,1.626094,8.770000,-4.263815
2.700000,7.870000,8.250000,-9.800000,1.641727,8.750000,-4.297683
3.000000,8.050000,8.333333,-9.800000,1.658224,8.730000,-4.295900
3.000000,8.110000,8.416667,-9.600000,1.673800,8.770000,-4.327986
3.300000,8.170000,8.500000,-9.200000,1.708795,8.730000,-4.270945
3.100000,8.250000,8.583333,-9.800000,1.724581,8.790000,-4.294118
3.200000,8.250000,8.666667,-9.800000,1.741055,8.790000,-4.308378
3.100000,8.370000,8.750000,-9.800000,1.756598,8.830000,-4.329768
3.200000,8.490000,8.833333,-9.600000,1.773142,8.810000,-4.331551
3.200000,8.570000,8.916667,-9.600000,1.788691,8.870000,-4.344029
3.100000,8.630000,9.000000,-9.400000,1.805154,8.810000,-4.347594
3.000000,8.690000,9.083333,-9.600000,1.820677,8.870000,-4.333333
3.100000,8.730000,9.166667,-9.200000,1.837139,8.850000,-4.336898
3.200000,8.790000,9.250000,-9.200000,1.852641,8.830000,-4.304813
3.200000,8.950000,9.333333,-9.200000,1.869178,8.850000,-4.303030
3.000000,9.070000,9.416667,-10.000000,1.890589,8.790000,-4.331551
2.900000,9.090000,9.500000,-9.800000,1.901162,8.770000,-4.244207
3.300000,9.130000,9.583333,-9.600000,1.916687,8.790000,-4.194296
3.400000,9.230000,9.666667,-9.200000,1.933164,8.750000,-4.180036
3.300000,9.350000,9.750000,-9.400000,1.948660,8.730000,-4.155080
3.300000,9.370000,9.833333,-9.400000,1.965110,8.750000,-4.133690
3.300000,9.510000,9.916667,-9.400000,1.994569,8.690000,-4.201426
3.100000,9.550000,10.000000,-9.000000,2.004846,8.870000,-4.324421
3.000000,9.550000,10.083333,-9.600000,2.014274,8.750000,-4.131907
3.300000,9.690000,10.166667,-9.600000,2.028780,8.730000,-4.183601
2.900000,9.790000,10.250000,-9.800000,2.045217,8.730000,-4.185383
3.100000,9.870000,10.333333,-9.600000,2.060740,8.710000,-4.222816
3.300000,10.030000,10.416667,-9.200000,2.077179,8.770000,-4.228164
3.400000,10.090000,10.500000,-9.200000,2.097677,8.750000,-4.135472
3.300000,10.010000,10.583333,-9.200000,2.109249,8.730000,-4.272727
3.100000,10.190000,10.666667,-9.600000,2.124833,8.810000,-4.310160
2.900000,10.290000,10.750000,-9.400000,2.141381,8.830000,-4.320856
3.100000,10.350000,10.833333,-9.400000,2.156845,8.790000,-4.336898
3.300000,10.450000,10.916667,-9.600000,2.173315,8.790000,-4.349376
3.200000,10.650000,11.000000,-9.400000,2.188775,8.910000,-4.365419
3.000000,10.590000,11.083333,-9.400000,2.205232,8.890000,-4.363636
