# Date: 20210413
# Operator: RDP
# Notes: OLD
# Tap_cm: 5.0
# Sample: Ni-SC_002
# Fit of Tap:
#	Ic = 75.4 +/- 0.056 A
#	n = 25 +/- 0.62 
#	Vc = 5 uV
#	Vfloor = 3.15 +/- 0.013 uV
#	R = 0.000964 +/- 0.00034 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.600000,0.270000,0.000000,-9.800000,0.027712,8.790000,-4.345811
3.200000,0.290000,0.083333,-10.000000,0.043425,8.850000,-4.358289
3.100000,0.290000,0.166667,-10.600000,0.059144,8.830000,-4.354724
2.900000,0.290000,0.250000,-11.800000,0.073523,8.910000,-4.340463
3.000000,0.390000,0.333333,-12.400000,0.089857,8.910000,-4.338681
2.800000,0.450000,0.416667,-9.600000,0.107744,8.910000,-4.351159
3.200000,0.610000,0.500000,-9.200000,0.123712,8.910000,-4.347594
3.000000,0.630000,0.583333,-9.200000,0.140134,8.910000,-4.342246
3.000000,0.690000,0.666667,-9.400000,0.155198,8.810000,-4.267380
3.000000,0.790000,0.750000,-9.400000,0.171362,8.850000,-4.235294
3.200000,0.850000,0.833333,-9.400000,0.187331,8.830000,-4.203209
3.100000,0.970000,0.916667,-9.400000,0.203436,8.830000,-4.181818
3.100000,0.970000,1.000000,-9.600000,0.219462,8.770000,-4.160428
3.000000,1.110000,1.083333,-9.400000,0.253591,8.770000,-4.190731
3.200000,1.170000,1.166667,-9.600000,0.270579,8.730000,-4.210339
2.900000,1.290000,1.250000,-9.400000,0.285463,8.810000,-4.149733
3.200000,1.330000,1.333333,-9.400000,0.301896,8.810000,-4.156863
2.900000,1.390000,1.416667,-9.800000,0.317540,8.770000,-4.147950
3.300000,1.430000,1.500000,-9.600000,0.334004,8.770000,-4.142602
3.200000,1.550000,1.583333,-10.000000,0.349498,8.690000,-4.192513
3.000000,1.590000,1.666667,-9.600000,0.365932,8.770000,-4.190731
3.000000,1.710000,1.750000,-9.600000,0.381383,8.770000,-4.224599
3.000000,1.790000,1.833333,-9.400000,0.397777,8.750000,-4.235294
3.200000,1.850000,1.916667,-9.600000,0.413172,8.830000,-4.272727
3.000000,1.930000,2.000000,-9.600000,0.435941,8.810000,-4.156863
2.800000,2.010000,2.083333,-9.400000,0.445424,8.830000,-4.290553
3.100000,2.110000,2.166667,-9.400000,0.461839,8.830000,-4.304813
3.000000,2.190000,2.250000,-9.800000,0.477249,8.810000,-4.335116
3.200000,2.270000,2.333333,-9.600000,0.493741,8.890000,-4.335116
3.000000,2.370000,2.416667,-9.800000,0.510153,8.850000,-4.347594
3.100000,2.490000,2.500000,-9.600000,0.525520,8.910000,-4.354724
2.800000,2.510000,2.583333,-9.800000,0.548936,8.790000,-4.213904
3.100000,2.590000,2.666667,-9.800000,0.559049,8.890000,-4.354724
3.000000,2.650000,2.750000,-9.000000,0.573611,8.930000,-4.327986
3.200000,2.810000,2.833333,-9.600000,0.590033,8.910000,-4.322638
2.800000,2.830000,2.916667,-9.600000,0.605476,8.850000,-4.276292
2.900000,2.890000,3.000000,-9.400000,0.621855,8.790000,-4.265597
3.000000,2.970000,3.083333,-9.400000,0.641208,8.850000,-4.352941
3.400000,3.010000,3.166667,-9.400000,0.653669,8.830000,-4.201426
3.000000,3.110000,3.250000,-9.200000,0.670055,8.850000,-4.188948
3.000000,3.230000,3.333333,-9.400000,0.685429,8.750000,-4.162210
3.400000,3.330000,3.416667,-9.400000,0.701799,8.770000,-4.151515
3.000000,3.370000,3.500000,-9.600000,0.717174,8.810000,-4.165775
3.000000,3.510000,3.583333,-9.600000,0.733615,8.810000,-4.156863
2.800000,3.550000,3.666667,-9.800000,0.750005,8.790000,-4.178253
3.100000,3.630000,3.750000,-9.400000,0.765383,8.750000,-4.224599
3.100000,3.690000,3.833333,-9.800000,0.781806,8.810000,-4.233512
3.000000,3.790000,3.916667,-9.600000,0.797188,8.770000,-4.262032
3.000000,3.870000,4.000000,-9.800000,0.813717,8.750000,-4.267380
3.100000,3.970000,4.083333,-9.600000,0.851061,8.810000,-4.147950
