# Date: 20210413
# Operator: RDP
# Notes: OLD
# Tap_cm: 5.0
# Sample: Ni-SC_002
# Fit of Tap:
#	Ic = 75.3 +/- 0.057 A
#	n = 26.2 +/- 0.65 
#	Vc = 5 uV
#	Vfloor = 3.11 +/- 0.012 uV
#	R = 0.00267 +/- 0.00032 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.800000,0.190000,0.000000,-9.400000,0.027704,8.790000,-4.171123
3.200000,0.270000,0.083333,-9.800000,0.044211,8.750000,-4.174688
3.000000,0.290000,0.166667,-9.800000,0.059678,8.790000,-4.162210
3.200000,0.350000,0.250000,-9.800000,0.076158,8.770000,-4.158645
2.800000,0.390000,0.333333,-10.000000,0.091567,8.750000,-4.183601
3.100000,0.550000,0.416667,-9.800000,0.108013,8.710000,-4.190731
3.000000,0.570000,0.500000,-9.600000,0.123392,8.730000,-4.237077
2.800000,0.670000,0.583333,-9.600000,0.139854,8.730000,-4.235294
3.000000,0.690000,0.666667,-9.600000,0.155252,8.770000,-4.267380
3.000000,0.770000,0.750000,-9.400000,0.171639,8.750000,-4.274510
3.000000,0.910000,0.833333,-9.600000,0.197372,8.850000,-4.288770
3.100000,0.970000,0.916667,-9.600000,0.207503,8.670000,-4.208556
2.800000,0.990000,1.000000,-9.800000,0.220156,8.830000,-4.313725
3.200000,1.070000,1.083333,-9.600000,0.239581,8.730000,-4.231729
3.300000,1.170000,1.166667,-9.600000,0.252085,8.850000,-4.342246
2.800000,1.310000,1.250000,-9.600000,0.267528,8.850000,-4.354724
2.900000,1.350000,1.333333,-9.400000,0.284009,8.890000,-4.354724
3.100000,1.350000,1.416667,-9.400000,0.299413,8.930000,-4.338681
2.900000,1.510000,1.500000,-9.600000,0.315875,8.850000,-4.351159
2.900000,1.570000,1.583333,-9.400000,0.331328,8.890000,-4.319073
2.900000,1.610000,1.666667,-9.600000,0.347704,8.910000,-4.303030
3.000000,1.710000,1.750000,-9.600000,0.364156,8.830000,-4.286988
2.900000,1.810000,1.833333,-9.600000,0.379518,8.830000,-4.237077
3.000000,1.870000,1.916667,-9.400000,0.395974,8.830000,-4.235294
3.000000,1.910000,2.000000,-9.400000,0.411380,8.810000,-4.185383
3.100000,2.030000,2.083333,-9.600000,0.427882,8.770000,-4.181818
2.800000,2.170000,2.166667,-9.800000,0.447205,8.830000,-4.283422
3.000000,2.210000,2.250000,-10.000000,0.459733,8.750000,-4.156863
3.200000,2.270000,2.333333,-9.600000,0.475229,8.710000,-4.174688
