# Date: 20210413
# Operator: RDP
# Notes: OLD
# Tap_cm: 5.0
# Sample: Ni-SC_004
# Fit of Tap:
#	Ic = 104 +/- 0.11 A
#	n = 28 +/- 1 
#	Vc = 5 uV
#	Vfloor = 3.04 +/- 0.016 uV
#	R = 0.00242 +/- 0.00032 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.900000,0.250000,0.000000,-12.000000,0.025677,8.890000,-4.101604
2.800000,0.250000,0.166667,-12.000000,0.041155,8.650000,-4.146168
2.800000,0.390000,0.333333,-9.400000,0.059422,8.690000,-4.094474
3.000000,0.550000,0.500000,-9.800000,0.074827,8.590000,-4.139037
2.700000,0.710000,0.666667,-9.400000,0.091299,8.570000,-4.151515
2.900000,0.910000,0.833333,-9.800000,0.114704,8.950000,-4.409982
2.800000,0.950000,1.000000,-9.800000,0.124784,8.610000,-4.140820
2.900000,1.170000,1.166667,-9.600000,0.139287,8.650000,-4.201426
3.000000,1.290000,1.333333,-9.400000,0.154681,8.730000,-4.244207
2.700000,1.470000,1.500000,-9.800000,0.171049,8.690000,-4.262032
2.800000,1.650000,1.666667,-9.600000,0.186480,8.830000,-4.320856
2.800000,1.850000,1.833333,-9.400000,0.211581,8.690000,-4.178253
2.900000,1.850000,2.000000,-9.800000,0.220986,8.750000,-4.263815
3.000000,2.110000,2.166667,-9.600000,0.235431,8.870000,-4.379679
2.800000,2.210000,2.333333,-9.400000,0.250818,8.990000,-4.433155
2.900000,2.450000,2.500000,-9.800000,0.267269,8.990000,-4.436720
2.800000,2.550000,2.666667,-9.800000,0.282805,9.030000,-4.442068
2.900000,2.750000,2.833333,-9.400000,0.299331,9.010000,-4.438503
2.700000,2.910000,3.000000,-9.800000,0.314758,8.930000,-4.420677
2.900000,3.010000,3.166667,-9.600000,0.331162,8.870000,-4.399287
2.900000,3.190000,3.333333,-9.400000,0.346558,8.730000,-4.326203
2.900000,3.330000,3.500000,-9.600000,0.362667,8.750000,-4.283422
2.700000,3.550000,3.666667,-9.400000,0.379631,8.750000,-4.308378
2.900000,3.670000,3.833333,-9.400000,0.395633,8.730000,-4.256684
2.800000,3.890000,4.000000,-9.600000,0.430145,8.850000,-4.347594
2.900000,4.010000,4.166667,-9.400000,0.446635,8.790000,-4.335116
2.900000,4.170000,4.333333,-9.600000,0.462650,8.730000,-4.278075
3.100000,4.290000,4.500000,-9.600000,0.478643,8.710000,-4.222816
2.800000,4.430000,4.666667,-9.600000,0.494069,8.650000,-4.142602
2.800000,4.650000,4.833333,-9.200000,0.510556,8.650000,-4.135472
2.700000,4.810000,5.000000,-9.400000,0.526023,8.670000,-4.117647
3.000000,4.950000,5.166667,-9.600000,0.542629,8.730000,-4.121212
2.900000,5.090000,5.333333,-9.800000,0.558074,8.630000,-4.140820
2.800000,5.290000,5.500000,-9.600000,0.574525,8.610000,-4.144385
2.900000,5.430000,5.666667,-9.800000,0.589963,8.610000,-4.178253
3.000000,5.570000,5.833333,-9.400000,0.609569,8.690000,-4.105169
3.000000,5.690000,6.000000,-9.600000,0.622061,8.670000,-4.204991
3.000000,5.870000,6.166667,-9.400000,0.638532,8.690000,-4.213904
2.800000,6.070000,6.333333,-9.200000,0.653944,8.730000,-4.265597
2.800000,6.170000,6.500000,-9.600000,0.670432,8.770000,-4.274510
2.800000,6.350000,6.666667,-9.400000,0.686838,8.790000,-4.286988
3.000000,6.530000,6.833333,-9.600000,0.714374,8.890000,-4.408200
3.000000,6.650000,7.000000,-9.600000,0.724582,8.630000,-4.133690
2.800000,6.730000,7.166667,-9.600000,0.733908,9.010000,-4.417112
3.000000,6.990000,7.333333,-9.400000,0.750364,8.970000,-4.417112
3.000000,7.210000,7.500000,-9.400000,0.766756,9.010000,-4.418895
3.100000,7.250000,7.666667,-9.200000,0.782343,9.010000,-4.427807
3.000000,7.490000,7.833333,-9.200000,0.798886,9.050000,-4.433155
2.800000,7.650000,8.000000,-9.800000,0.818384,8.910000,-4.372549
2.900000,7.730000,8.166667,-9.600000,0.830886,8.930000,-4.408200
2.800000,8.010000,8.333333,-9.600000,0.846478,8.810000,-4.349376
2.800000,8.170000,8.500000,-9.600000,0.863386,8.850000,-4.361854
3.000000,8.210000,8.666667,-9.600000,0.878893,8.790000,-4.269162
2.900000,8.430000,8.833333,-9.200000,0.894366,8.670000,-4.176471
3.000000,8.610000,9.000000,-9.800000,0.910799,8.690000,-4.160428
2.900000,8.710000,9.166667,-9.200000,0.926254,8.690000,-4.112299
2.800000,8.910000,9.333333,-9.400000,0.942655,8.670000,-4.103387
2.800000,9.090000,9.500000,-10.000000,0.958055,8.630000,-4.114082
2.800000,9.230000,9.666667,-9.800000,0.974532,8.590000,-4.122995
2.800000,9.330000,9.833333,-9.800000,0.989935,8.650000,-4.183601
2.700000,9.570000,10.000000,-9.800000,1.023667,8.610000,-4.176471
2.900000,9.690000,10.166667,-10.000000,1.040509,8.630000,-4.172906
3.000000,9.910000,10.333333,-9.800000,1.055971,8.610000,-4.188948
3.000000,9.990000,10.500000,-9.400000,1.071474,8.710000,-4.226381
3.200000,10.130000,10.666667,-9.200000,1.087892,8.730000,-4.233512
3.300000,10.350000,10.833333,-9.400000,1.104368,8.750000,-4.235294
2.800000,10.510000,11.000000,-9.600000,1.119756,8.810000,-4.279857
3.000000,10.650000,11.166667,-9.800000,1.136153,8.850000,-4.297683
2.900000,10.850000,11.333333,-9.600000,1.151574,8.930000,-4.365419
3.000000,10.970000,11.500000,-9.800000,1.167975,8.950000,-4.372549
3.100000,11.110000,11.666667,-9.400000,1.184424,8.930000,-4.381462
3.400000,11.330000,11.833333,-9.400000,1.210399,8.670000,-4.140820
3.100000,11.470000,12.000000,-9.400000,1.227833,8.730000,-4.183601
2.800000,11.630000,12.166667,-9.800000,1.239622,8.670000,-4.190731
3.000000,11.730000,12.333333,-9.800000,1.249015,9.010000,-4.438503
2.800000,11.950000,12.500000,-9.400000,1.263457,8.850000,-4.383244
2.700000,12.090000,12.666667,-9.600000,1.279895,8.670000,-4.360071
3.100000,12.250000,12.833333,-9.600000,1.295580,8.750000,-4.278075
3.000000,12.390000,13.000000,-9.200000,1.319610,8.790000,-4.283422
2.700000,12.490000,13.166667,-9.600000,1.329866,8.790000,-4.349376
3.000000,12.670000,13.333333,-9.400000,1.344366,8.690000,-4.167558
3.000000,12.850000,13.500000,-9.200000,1.359765,8.670000,-4.105169
3.000000,13.030000,13.666667,-9.600000,1.376239,8.690000,-4.096257
2.900000,13.150000,13.833333,-9.600000,1.391616,8.650000,-4.092692
3.100000,13.350000,14.000000,-9.600000,1.411535,8.690000,-4.210339
3.100000,13.510000,14.166667,-9.800000,1.424015,8.650000,-4.139037
2.800000,13.650000,14.333333,-9.400000,1.439389,8.630000,-4.169340
2.900000,13.870000,14.500000,-9.800000,1.455776,8.630000,-4.178253
3.200000,13.970000,14.666667,-9.600000,1.472180,8.630000,-4.180036
3.300000,14.170000,14.833333,-9.400000,1.487565,8.730000,-4.217469
3.100000,14.330000,15.000000,-9.400000,1.503962,8.710000,-4.235294
2.800000,14.450000,15.166667,-9.400000,1.520407,8.830000,-4.251337
3.100000,14.670000,15.333333,-9.400000,1.535941,8.790000,-4.295900
3.200000,14.750000,15.500000,-9.400000,1.551494,8.890000,-4.365419
3.200000,14.930000,15.666667,-9.600000,1.567911,8.910000,-4.374332
3.100000,15.090000,15.833333,-9.600000,1.584378,8.950000,-4.386809
3.100000,15.270000,16.000000,-9.600000,1.612387,8.750000,-4.306595
3.200000,15.470000,16.166667,-9.400000,1.634107,8.970000,-4.397504
3.100000,15.610000,16.333333,-10.000000,1.650699,8.930000,-4.399287
3.300000,15.750000,16.500000,-9.400000,1.666154,8.990000,-4.442068
3.100000,15.870000,16.666667,-9.600000,1.682067,9.030000,-4.442068
3.200000,16.070000,16.833333,-9.200000,1.698009,9.030000,-4.434938
3.000000,16.190000,17.000000,-9.400000,1.714508,8.970000,-4.420677
2.900000,16.330000,17.166667,-9.400000,1.730899,8.970000,-4.413547
2.800000,16.530000,17.333333,-9.400000,1.746335,8.850000,-4.360071
3.100000,16.670000,17.500000,-9.600000,1.762713,8.810000,-4.340463
3.200000,16.830000,17.666667,-9.400000,1.778234,8.730000,-4.244207
3.100000,17.030000,17.833333,-9.800000,1.794831,8.690000,-4.254902
3.100000,17.150000,18.000000,-9.800000,1.814794,8.970000,-4.442068
3.200000,17.250000,18.166667,-9.600000,1.826366,8.670000,-4.131907
3.300000,17.490000,18.333333,-9.400000,1.842773,8.670000,-4.121212
