# Date: 20210413
# Operator: RDP
# Notes: OLD
# Tap_cm: 5.0
# Sample: Ni-SC_004
# Fit of Tap:
#	Ic = 104 +/- 0.1 A
#	n = 27.6 +/- 0.92 
#	Vc = 5 uV
#	Vfloor = 2.76 +/- 0.015 uV
#	R = 0.00457 +/- 0.0003 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.400000,0.170000,0.000000,-9.600000,0.041124,8.930000,-4.427807
2.600000,0.210000,0.166667,-9.600000,0.052036,8.670000,-4.094474
2.500000,0.350000,0.333333,-9.800000,0.061184,9.010000,-4.358289
2.900000,0.490000,0.500000,-12.000000,0.073817,8.970000,-4.408200
2.700000,0.690000,0.666667,-12.200000,0.090383,8.970000,-4.413547
2.800000,0.890000,0.833333,-12.200000,0.105934,8.830000,-4.349376
2.800000,1.070000,1.000000,-9.400000,0.124838,8.950000,-4.418895
2.500000,1.150000,1.166667,-9.600000,0.140827,8.930000,-4.397504
2.500000,1.290000,1.333333,-9.400000,0.156877,8.830000,-4.372549
2.600000,1.450000,1.500000,-9.400000,0.172845,8.830000,-4.326203
2.700000,1.590000,1.666667,-9.800000,0.188909,8.730000,-4.281640
2.700000,1.770000,1.833333,-9.400000,0.204906,8.710000,-4.229947
2.700000,1.890000,2.000000,-9.400000,0.225624,9.010000,-4.427807
2.700000,2.070000,2.166667,-9.400000,0.236730,8.710000,-4.131907
2.500000,2.290000,2.333333,-9.400000,0.252710,8.790000,-4.114082
2.600000,2.410000,2.500000,-9.600000,0.268761,8.730000,-4.105169
2.600000,2.570000,2.666667,-9.800000,0.285334,8.730000,-4.103387
2.700000,2.690000,2.833333,-9.400000,0.300971,8.670000,-4.124777
2.700000,2.890000,3.000000,-10.000000,0.326099,9.110000,-4.420677
2.700000,2.970000,3.166667,-9.400000,0.336893,8.750000,-4.121212
2.500000,3.150000,3.333333,-9.800000,0.348993,8.670000,-4.167558
2.800000,3.370000,3.500000,-9.600000,0.364079,8.830000,-4.221034
2.300000,3.530000,3.666667,-9.800000,0.380099,8.890000,-4.244207
2.800000,3.670000,3.833333,-9.800000,0.396093,8.830000,-4.272727
2.600000,3.910000,4.000000,-9.200000,0.421213,8.730000,-4.171123
2.800000,3.970000,4.166667,-9.200000,0.431318,8.730000,-4.192513
2.600000,4.170000,4.333333,-9.800000,0.444284,8.970000,-4.352941
2.800000,4.310000,4.500000,-9.600000,0.460361,9.030000,-4.385027
2.700000,4.490000,4.666667,-9.400000,0.476352,9.010000,-4.408200
2.800000,4.590000,4.833333,-9.800000,0.492403,9.050000,-4.422460
2.600000,4.790000,5.000000,-9.600000,0.508362,9.010000,-4.424242
2.800000,4.930000,5.166667,-9.600000,0.524413,8.990000,-4.409982
2.600000,5.050000,5.333333,-9.600000,0.541063,8.950000,-4.417112
